Rank,Player,Age,Points,Tournaments Played
1,Mate Pavic,28,"12,080",33
2,Nikola Mektic,32,"11,110",35
3,Nicolas Mahut,39,"8,780",29
4,Horacio Zeballos,36,"8,180",26
5,Marcel Granollers,35,"7,768",27
6,Pierre-Hugues Herbert,30,"7,490",25
7,Robert Farah,34,"7,325",28
8,Juan Sebastian Cabal,35,"7,235",27
9,Joe Salisbury,29,"7,190",30
10,Rajeev Ram,37,"7,190",30
11,Filip Polasek,36,"6,320",33
12,Ivan Dodig,36,"6,255",31
13,Bruno Soares,39,"6,075",27
14,Wesley Koolhof,32,"5,460",34
15,Kevin Krawietz,29,"5,320",38
16,Neal Skupski,31,"5,135",39
17,Lukasz Kubot,39,"5,130",32
18,Marcelo Melo,37,"5,040",34
19,Edouard Roger-Vasselin,37,"5,035",35
20,Michael Venus,33,"5,030",30
21,Horia Tecau,36,"4,880",26
22,Jamie Murray,35,"4,610",39
23,Raven Klaasen,38,"3,900",38
24,Andreas Mies,30,"3,598",33
25,John Peers,33,"3,595",31
26,Jurgen Melzer,40,"3,368",32
27,Jean-Julien Rojer,39,"3,300",33
28,Maximo Gonzalez,38,"3,260",32
29,Simone Bolelli,35,"3,010",42
30,Luke Saville,27,"2,971",52
31,Tim Puetz,33,"2,965",34
32,Joran Vliegen,28,"2,920",45
33,Sander Gille,30,"2,920",48
34,Matwe Middelkoop,37,"2,825",49
35,Andrey Golubev,34,"2,796",50
36,Fabrice Martin,34,"2,775",53
37,Franko Skugor,33,"2,705",37
38,Ben McLachlan,29,"2,698",44
39,Nikola Cacic,30,"2,648",57
40,Henri Kontinen,31,"2,645",26
41,Rohan Bopanna,41,"2,635",40
42,Max Purcell,23,"2,632",45
43,Oliver Marach,41,"2,545",40
44,Philipp Oswald,35,"2,540",44
45,Gonzalo Escobar,32,"2,405",56
46,Marcelo Arevalo,30,"2,378",45
47,Ariel Behar,31,"2,355",62
48,Austin Krajicek,31,"2,330",37
49,Alexander Bublik,24,"2,325",23
50,Marcus Daniell,31,"2,320",46
51,Hugo Nys,30,"2,313",54
52,Marcelo Demoliner,32,"2,265",43
53,Tomislav Brkic,31,"2,225",57
