Rank,Player,Age,Points,Tournaments Played
1,Rajeev Ram,38,"7,030",18
2,Joe Salisbury,30,"6,940",16
3T,Wesley Koolhof,33,"6,920",22
3T,Neal Skupski,33,"6,920",22
5T,Marcelo Arevalo,32,"5,380",22
5T,Jean-Julien Rojer,41,"5,380",22
7,Mate Pavic,29,"5,275",25
8,Nikola Mektic,34,"5,070",24
9,Austin Krajicek,32,"4,540",28
10,Ivan Dodig,38,"4,530",26
11,Harri Heliovaara,33,"3,925",25
12,Lloyd Glasspool,29,"3,880",26
13,Horacio Zeballos,37,"3,560",20
14,Jan Zielinski,26,"3,510",24
15,Rohan Bopanna,42,"3,410",26
16,Marcel Granollers,36,"3,380",18
17,Michael Venus,35,"3,220",23
18,Andreas Mies,32,"3,045",26
19,Hugo Nys,32,"3,010",30
20,John Isner,37,"2,960",6
21,Juan Sebastian Cabal,36,"2,940",19
22,Matwe Middelkoop,39,"2,915",30
23,Kevin Krawietz,31,"2,865",22
24,Edouard Roger-Vasselin,39,"2,650",29
25,Robert Farah,36,"2,640",18
26,Tim Puetz,35,"2,595",19
27,Rafael Matos,27,"2,480",27
28,David Vega Hernandez,28,"2,480",32
29,Santiago Gonzalez,40,"2,470",28
30,Maximo Gonzalez,39,"2,425",23
31,Jason Kubler,29,"2,355",11
32,Hubert Hurkacz,26,"2,330",12
33,Rinky Hijikata,22,"2,283",17
34,Simone Bolelli,37,"2,270",23
35,Andres Molteni,34,"2,260",28
36,Matthew Ebden,35,"2,205",27
37,Jamie Murray,37,"2,180",28
38,Marcelo Melo,39,"2,150",26
39,Fabio Fognini,35,"2,000",20
40,Nick Kyrgios,27,"1,940",10
41,Fabrice Martin,36,"1,935",31
42,John Peers,34,"1,890",26
43,Nathaniel Lammons,29,"1,745",35
44,Gonzalo Escobar,34,"1,705",28
45,Fabien Reboul,27,"1,700",40
46,Robin Haase,35,"1,674",27
47,Jackson Withrow,29,"1,656",34
48,Sadio Doumbia,32,"1,636",34
49,Jack Sock,30,"1,635",5
50,Thanasi Kokkinakis,26,"1,620",11
51,Andrey Golubev,35,"1,575",25
52,Francisco Cabral,26,"1,567",30
53,Ariel Behar,33,"1,565",28
54,Sander Gille,32,"1,531",30
55,Joran Vliegen,29,"1,505",27
56,Alexander Erler,25,"1,501",32
57,Lucas Miedler,26,"1,488",34
58,Andrea Vavassori,27,"1,438",24
59,Max Purcell,24,"1,421",26
60,Tomislav Brkic,32,"1,415",28
61,Nicolas Barrientos,35,"1,395",32
62,Nicolas Mahut,41,"1,365",26
63,Henry Patten,26,"1,345",33
64,Julian Cash,26,"1,345",35
65,Andre Goransson,28,"1,315",30
66,Nikola Cacic,32,"1,295",24
67,Miguel Angel Reyes-Varela,35,"1,245",31
68,Aleksandr Nedovyesov,36,"1,241",28
69,Philipp Oswald,37,"1,231",34
70,Raven Klaasen,40,"1,225",18
71,Albano Olivetti,31,"1,172",36
72,Guillermo Duran,34,"1,115",27
73,Daniel Evans,32,"1,095",12
74,David Pel,31,"1,094",29
75,Lorenzo Sonego,27,"1,080",11
76,Adam Pavlasek,28,"1,067",30
77,Ben McLachlan,30,"1,065",31
78,Luke Saville,29,"1,059",25
79,Yuki Bhambri,30,"1,038",28
80,Saketh Myneni,35,"1,022",30
81,Roman Jebavy,33,994,33
82,Jeevan Nedunchezhiyan,34,991,37
83,Guido Andreozzi,31,986,20
84,Aisam-Ul-Haq Qureshi,42,986,24
85,Robert Galloway,30,986,33
86,Hunter Reese,30,958,32
87,Sander Arends,31,956,27
88,Cristian Rodriguez,32,955,30
89,John-Patrick Smith,34,927,31
90,Ivan Sabanov,30,926,36
91,Mackenzie McDonald,27,925,11
92,N.Sriram Balaji,32,921,29
93,Romain Arneodo,30,920,31
94,Luis David Martinez,33,909,38
95,Matej Sabanov,30,896,37
96,Diego Hidalgo,29,886,28
97,Jonathan Eysseric,32,879,35
98,Patrik Niklas-Salminen,25,842,32
99,William Blumberg,25,840,15
100,Diego Schwartzman,30,825,12
101,Sam Weissborn,31,821,31
102,Bart Stevens,25,821,33
103,Jonny O'Mara,27,820,26
104,Dustin Brown,38,819,25
105,Marcelo Demoliner,34,811,12
106,Pedro Martinez,25,790,19
107,Vladyslav Manafov,29,784,31
108,Jeremy Chardy,36,765,3
109,Reese Stalder,26,762,31
110,Sergio Martos Gornes,28,750,37
111,Fabian Fallert,25,738,32
112,Victor Vlad Cornea,29,732,35
113,Nuno Borges,26,725,11
114,Hans Hach Verdugo,33,722,33
115,Denis Shapovalov,23,720,9
116,Tommy Paul,25,720,12
117,Maxime Cressy,25,710,9
118,Ruben Gonzales,37,707,33
119,Treat Huey,37,703,20
120,Andrew Harris,28,698,24
121,Oleg Prihodko,25,694,35
122,Szymon Walkow,27,680,35
123,Hendrik Jebens,27,677,36
124,Stefanos Tsitsipas,24,675,10
125,Sem Verbeek,28,665,28
126,Marco Bortolotti,32,659,32
127,Denys Molchanov,35,650,30
128,Dan Added,23,649,25
129,Arjun Kadhe,29,640,33
130,Karol Drzewiecki,27,639,36
131,Petros Tsitsipas,22,636,39
132,Feliciano Lopez,41,630,5
133,Benjamin Bonzi,26,630,7
134,Botic van de Zandschulp,27,625,11
135,Ramkumar Ramanathan,28,625,30
136,Adrian Mannarino,34,615,9
137,Igor Zelenay,40,596,17
138,Alex Lawson,29,594,35
139,Fernando Romboli,34,589,29
140,Zdenek Kolar,26,580,22
141,Luciano Darderi,21,568,14
142,Max Schnur,30,566,24
143,MinKyu Song,32,562,21
144,Yun seong Chung,24,560,18
145,Franko Skugor,35,554,24
146,Artem Sitak,37,542,34
147,Alexander Zverev,25,540,4
148,Joao Sousa,33,540,12
149,Marek Gengel,27,521,26
150,Arthur Rinderknech,27,520,8
151,JiSung Nam,29,520,20
152,Federico Zeballos,34,511,36
153,Theo Arribage,22,511,39
154,Boris Arias,29,503,36
155,Divij Sharan,36,501,30
156,Yu Hsiou Hsu,23,481,24
157,Purav Raja,37,477,24
158,Anirudh Chandrasekar,24,477,36
159,Viktor Durasovic,25,473,20
160,Luke Johnson,28,471,26
161,Andrey Rublev,25,470,13
162,Evan King,30,462,35
163,Jan-Lennard Struff,32,460,7
164,Taylor Fritz,25,450,4
165,Cameron Norrie,27,450,8
166,Maximilian Neuchrist,31,448,23
167,Andrew Paulson,21,448,25
168,Ivan Liutarevich,27,445,33
169,Kaichi Uchida,28,443,18
170,Yuta Shimizu,23,442,21
171,Neil Oberleitner,23,439,30
172,Constantin Frantzen,24,433,38
173,Steve Johnson,33,430,6
174,Piotr Matuszewski,24,422,35
175,Christian Harrison,28,418,10
176,Oriol Roca Batalla,29,417,24
177,Luca Sanchez,23,416,34
178,Michael Geerts,28,415,24
179,Marc Polmans,25,412,9
180,Aslan Karatsev,29,405,11
181,Alexander Bublik,25,405,13
182,Manuel Guinard,27,391,11
183,Nicolas Mejia,23,390,22
184,Jesper de Jong,22,386,17
