Rank,Player,Age,Points,Tournaments Played
1,Mate Pavic,27,"10,820",32
2,Nikola Mektic,32,"9,580",33
3,Robert Farah,34,"8,450",28
4,Juan Sebastian Cabal,35,"8,360",27
5,Horacio Zeballos,36,"7,360",26
6,Nicolas Mahut,39,"7,210",29
7,Joe Salisbury,29,"6,920",29
8,Rajeev Ram,37,"6,920",29
9,Ivan Dodig,36,"6,915",29
10,Filip Polasek,35,"6,890",32
11,Marcel Granollers,35,"6,845",26
12,Bruno Soares,39,"6,800",27
13,Wesley Koolhof,32,"6,270",34
14,Edouard Roger-Vasselin,37,"5,690",34
15,Michael Venus,33,"5,640",30
16,Kevin Krawietz,29,"5,610",38
17,Lukasz Kubot,39,"5,310",31
18,Marcelo Melo,37,"5,280",34
19,Neal Skupski,31,"5,225",39
20,Pierre-Hugues Herbert,30,"5,215",24
21,Jamie Murray,35,"4,700",37
22,Andreas Mies,30,"4,620",33
23,Horia Tecau,36,"4,485",25
24,Raven Klaasen,38,"4,420",36
25,John Peers,32,"4,120",30
26,Jurgen Melzer,40,"4,025",33
27,Jean-Julien Rojer,39,"3,840",32
28,Fabrice Martin,34,"3,840",50
29,Joran Vliegen,27,"3,260",44
30,Jeremy Chardy,34,"3,193",24
31,Henri Kontinen,30,"3,050",26
32,Oliver Marach,40,"3,025",39
33,Sander Gille,30,"2,990",46
34,Philipp Oswald,35,"2,750",41
35,Luke Saville,27,"2,691",49
36,Matwe Middelkoop,37,"2,690",46
37,Franko Skugor,33,"2,615",36
38,Tim Puetz,33,"2,515",34
39,Robin Haase,34,"2,507",27
40,Rohan Bopanna,41,"2,485",40
41,Marcus Daniell,31,"2,470",43
42,Maximo Gonzalez,37,"2,455",29
43,Ben McLachlan,29,"2,440",43
44,Austin Krajicek,30,"2,430",35
45,Marcelo Arevalo,30,"2,408",45
46,Max Purcell,23,"2,276",41
47T,Bob Bryan,43,"2,250",15
47T,Mike Bryan,43,"2,250",15
49,Gonzalo Escobar,32,"2,210",50
50,Marcelo Demoliner,32,"2,195",42
51,Ariel Behar,31,"2,195",56
52,Aisam-Ul-Haq Qureshi,41,"2,140",43
53,Nikola Cacic,30,"2,131",53
54,Simone Bolelli,35,"2,100",39
55,Hugo Nys,30,"2,098",51
56,Dominic Inglot,35,"2,090",40
57,Santiago Gonzalez,38,"2,090",42
58,Daniel Evans,31,"2,055",22
59,Denis Shapovalov,22,"2,030",19
60,Jan-Lennard Struff,31,"1,935",22
61,Ken Skupski,38,"1,926",30
62,Andres Molteni,33,"1,875",44
63,Luke Bambridge,26,"1,828",42
64,Alex de Minaur,22,"1,730",17
65,Pablo Carreno Busta,29,"1,725",12
66,Tomislav Brkic,31,"1,724",52
67,Jonathan Erlich,44,"1,683",46
68,Andrey Rublev,23,"1,660",19
69,Hubert Hurkacz,24,"1,650",21
70,Jonny O'Mara,26,"1,643",34
71,John-Patrick Smith,32,"1,621",38
72,Matthew Ebden,33,"1,605",22
73,Frederik Nielsen,37,"1,578",37
74,Divij Sharan,35,"1,560",50
75,Andrea Vavassori,26,"1,530",51
76,Diego Schwartzman,28,"1,515",19
77,Nicholas Monroe,39,"1,514",55
78,Jackson Withrow,27,"1,493",51
79,Andre Goransson,27,"1,474",58
80,Andrei Vasilevski,30,"1,451",50
81,Feliciano Lopez,39,"1,420",17
82,Andrey Golubev,33,"1,408",47
83,Benoit Paire,32,"1,407",33
84,Felix Auger-Aliassime,20,"1,395",17
85,David Pel,29,"1,354",47
86,Nathaniel Lammons,27,"1,321",64
87,Harri Heliovaara,31,"1,315",47
88,Guido Pella,31,"1,305",22
89,Rafael Matos,25,"1,290",50
90,Artem Sitak,35,"1,275",56
91,Karen Khachanov,25,"1,270",17
92,Mikhail Kukushkin,33,"1,260",10
93,Sander Arends,29,"1,259",52
94,Igor Zelenay,38,"1,245",44
95,Aleksandr Nedovyesov,34,"1,212",39
96,Joao Sousa,32,"1,193",23
97,Romain Arneodo,28,"1,173",59
98,Goncalo Oliveira,26,"1,150",56
99,Roman Jebavy,31,"1,149",45
100,Matt Reid,30,"1,141",44
101,Alexander Bublik,23,"1,125",21
102,Denys Molchanov,34,"1,119",53
103,Felipe Meligeni Alves,23,"1,114",43
104,Lloyd Glasspool,27,"1,097",46
105,Guillermo Duran,32,"1,065",34
106,Andre Begemann,36,"1,054",48
107,Andy Murray,34,"1,040",7
108,Robert Lindstedt,44,"1,039",34
109,Luis David Martinez,32,"1,037",65
110,Miguel Angel Reyes-Varela,33,"1,027",53
111,Taylor Fritz,23,"1,020",17
112,David Vega Hernandez,26,"1,000",64
113,Leonardo Mayer,34,982,18
114,Sem Verbeek,27,981,39
115,Hunter Reese,28,974,59
116,Dusan Lajovic,30,970,22
117,Marc Polmans,24,955,22
118,Alexander Zverev,24,950,15
119T,Ivan Sabanov,28,948,49
119T,Matej Sabanov,28,948,49
121,Orlando Luz,23,913,42
122,Treat Huey,35,903,38
123,Robert Galloway,28,902,45
124,Ramkumar Ramanathan,26,889,34
125,Fernando Romboli,32,887,62
126,Alex Lawson,27,865,55
127,Szymon Walkow,25,859,56
128,Fabien Reboul,25,858,51
129,Pablo Cuevas,35,848,20
130,Sadio Doumbia,30,848,58
131,Zdenek Kolar,24,823,40
132,Evan King,29,820,47
133,Albano Olivetti,29,815,51
