Rank,Player,Age,Points,Tournaments Played
1,Mate Pavic,28,"12,500",33
2,Nikola Mektic,32,"11,710",34
3,Nicolas Mahut,39,"8,940",29
4,Horacio Zeballos,36,"8,440",26
5,Marcel Granollers,35,"8,013",27
6,Joe Salisbury,29,"7,650",29
7,Rajeev Ram,37,"7,650",29
8,Robert Farah,34,"7,265",28
9,Pierre-Hugues Herbert,30,"7,250",22
10,Juan Sebastian Cabal,35,"7,175",27
11,Bruno Soares,39,"5,895",26
12,Ivan Dodig,36,"5,585",33
13,Kevin Krawietz,29,"5,500",37
14,Filip Polasek,36,"5,310",34
15,Edouard Roger-Vasselin,37,"5,135",34
16,Wesley Koolhof,32,"5,070",33
17,Neal Skupski,31,"4,925",40
18,Horia Tecau,36,"4,910",26
19,Lukasz Kubot,39,"4,880",32
20,Marcelo Melo,37,"4,880",34
21,Michael Venus,33,"4,785",30
22,Jamie Murray,35,"4,180",37
23,Raven Klaasen,38,"3,810",40
24,Andreas Mies,31,"3,441",33
25,John Peers,33,"3,415",31
26,Jurgen Melzer,40,"3,323",30
27,Maximo Gonzalez,38,"3,305",35
28,Matwe Middelkoop,37,"3,225",53
29,Luke Saville,27,"3,151",55
30,Ben McLachlan,29,"3,148",47
31,Joran Vliegen,28,"3,120",46
32,Sander Gille,30,"3,120",49
33,Tim Puetz,33,"3,055",34
34,Simone Bolelli,35,"3,055",43
35,Jean-Julien Rojer,40,"2,970",32
36,Marcelo Arevalo,30,"2,898",48
37,Fabrice Martin,34,"2,775",54
38,Andrey Golubev,34,"2,726",52
39,Franko Skugor,33,"2,715",35
40,Nikola Cacic,30,"2,635",56
41,Oliver Marach,41,"2,620",39
42,Max Purcell,23,"2,610",46
43,Marcus Daniell,31,"2,500",48
44,Austin Krajicek,31,"2,475",38
45,Henri Kontinen,31,"2,465",25
46,Philipp Oswald,35,"2,420",46
47,Gonzalo Escobar,32,"2,415",58
48,Rohan Bopanna,41,"2,410",40
49,Ariel Behar,31,"2,335",64
50,Alexander Bublik,24,"2,325",26
51,Marcelo Demoliner,32,"2,220",42
52,Tomislav Brkic,31,"2,190",57
53,Hugo Nys,30,"2,188",53
54,Santiago Gonzalez,38,"2,126",45
55,Jeremy Chardy,34,"2,106",23
56,Hubert Hurkacz,24,"2,040",23
57,Aisam-Ul-Haq Qureshi,41,"2,039",46
58,Jan-Lennard Struff,31,"2,025",21
59,Luke Bambridge,26,"1,963",44
60,Ken Skupski,38,"1,938",33
61,Daniel Evans,31,"1,876",22
62,Andres Molteni,33,"1,875",46
63,Dominic Inglot,35,"1,855",40
64,Robin Haase,34,"1,715",25
65,Jonathan Erlich,44,"1,713",48
66,Andre Goransson,27,"1,701",60
67,Felix Auger-Aliassime,21,"1,695",19
68,Denis Shapovalov,22,"1,685",18
