Rank,Player,Age,Points,Tournaments Played
1T,Wesley Koolhof,34,"7,280",23
1T,Neal Skupski,33,"7,280",23
3,Austin Krajicek,32,"5,950",27
4,Rajeev Ram,39,"5,702",19
5,Joe Salisbury,31,"5,612",18
6,Ivan Dodig,38,"5,530",25
7,Mate Pavic,29,"5,170",25
8T,Marcelo Arevalo,32,"4,975",23
8T,Jean-Julien Rojer,41,"4,975",23
10,Nikola Mektic,34,"4,920",24
11T,Lloyd Glasspool,29,"4,540",27
11T,Harri Heliovaara,33,"4,540",27
13,Rohan Bopanna,43,"3,960",27
14,Michael Venus,35,"3,470",25
15,Edouard Roger-Vasselin,39,"3,365",29
16,Kevin Krawietz,31,"3,280",24
17,Jan Zielinski,26,"3,235",26
18,Horacio Zeballos,37,"3,110",19
19,Fabrice Martin,36,"3,110",32
20,Santiago Gonzalez,40,"3,095",29
21,Matwe Middelkoop,39,"3,050",32
22,Matthew Ebden,35,"3,045",29
23,Maximo Gonzalez,39,"3,015",25
24,Andreas Mies,32,"2,950",25
25,Marcel Granollers,37,"2,930",19
26,Hugo Nys,32,"2,865",32
27,Tim Puetz,35,"2,835",20
28,Andres Molteni,35,"2,760",28
29,Jason Kubler,29,"2,370",12
30,Rafael Matos,27,"2,360",30
31,David Vega Hernandez,28,"2,360",32
32,Nathaniel Lammons,29,"2,350",35
33,Juan Sebastian Cabal,36,"2,340",20
34,Jamie Murray,37,"2,340",29
35,Jackson Withrow,29,"2,310",34
36,Alexander Erler,25,"2,290",34
37,Rinky Hijikata,22,"2,279",18
38,Lucas Miedler,26,"2,257",34
39,Nicolas Mahut,41,"2,055",27
40,Simone Bolelli,37,"2,045",24
41,Robert Farah,36,"2,040",20
42,Sander Gille,32,"2,026",28
43,Joran Vliegen,29,"2,000",26
44,John Peers,34,"2,000",28
45,Marcelo Melo,39,"1,990",30
46,Robin Haase,36,"1,891",27
47,Andrea Vavassori,27,"1,803",25
48,Fabio Fognini,35,"1,775",19
49,Fabien Reboul,27,"1,735",40
50,Sadio Doumbia,32,"1,680",30
51,Julian Cash,26,"1,645",37
52,Francisco Cabral,26,"1,612",28
53,Henry Patten,26,"1,600",32
54,Gonzalo Escobar,34,"1,590",28
55,Romain Arneodo,30,"1,510",32
56,Andre Goransson,28,"1,450",32
57,Nick Kyrgios,27,"1,445",7
58,Max Purcell,25,"1,393",25
59,Sam Weissborn,31,"1,371",29
60,Aleksandr Nedovyesov,36,"1,346",28
61,Nikola Cacic,32,"1,340",23
62,Hubert Hurkacz,26,"1,330",11
63,John Isner,37,"1,320",5
64,Ariel Behar,33,"1,306",29
65,Andrey Golubev,35,"1,305",24
66,Nicolas Barrientos,36,"1,305",32
67,Maxime Cressy,25,"1,300",13
68,Ben McLachlan,30,"1,300",33
69,Albano Olivetti,31,"1,287",36
70,Miguel Angel Reyes-Varela,35,"1,270",32
71,Tomislav Brkic,33,"1,235",24
72,Marcelo Demoliner,34,"1,227",17
73,Raven Klaasen,40,"1,225",16
74,Philipp Oswald,37,"1,210",35
75,Mackenzie McDonald,28,"1,195",13
76,Yuki Bhambri,30,"1,186",27
77,Daniel Evans,32,"1,185",12
78,Saketh Myneni,35,"1,180",29
79,Thanasi Kokkinakis,27,"1,170",9
80,Guillermo Duran,34,"1,165",28
81,David Pel,31,"1,123",31
82,Guido Andreozzi,31,"1,097",25
83,Adam Pavlasek,28,"1,068",31
84,Jeevan Nedunchezhiyan,34,"1,066",34
85,Luke Saville,29,"1,042",29
86,N.Sriram Balaji,33,"1,028",33
87,Robert Galloway,30,"1,025",33
88,Aisam-Ul-Haq Qureshi,43,992,28
89,Victor Vlad Cornea,29,989,37
90,Dustin Brown,38,973,32
91,Jack Sock,30,950,4
92,William Blumberg,25,920,17
93,Diego Hidalgo,30,916,29
94,Roman Jebavy,33,904,33
95,Lorenzo Sonego,27,900,9
96,Franko Skugor,35,889,29
97,Patrik Niklas-Salminen,26,886,33
98,Cristian Rodriguez,32,885,29
99,Sander Arends,31,882,26
100,Hunter Reese,30,879,31
101,Luis David Martinez,33,874,38
102,John-Patrick Smith,34,867,31
103,Dan Added,24,846,25
104,Bart Stevens,25,845,34
105,Vladyslav Manafov,30,839,33
106,Sergio Martos Gornes,28,828,37
107,Diego Schwartzman,30,825,12
108,Ivan Sabanov,30,819,36
109,Hendrik Jebens,27,813,35
110,Reese Stalder,26,806,31
111,Matej Sabanov,30,801,37
112,Jonathan Eysseric,32,785,36
113,Denys Molchanov,35,783,33
114,Jeremy Chardy,36,765,5
115,Botic van de Zandschulp,27,760,13
116,Pedro Martinez,25,760,20
117,Andrew Harris,29,753,28
118,Marco Bortolotti,32,737,30
119,Jonny O'Mara,28,732,25
120,Ruben Gonzales,37,732,32
121,Fabian Fallert,25,724,27
122,Tommy Paul,25,720,12
123,Sem Verbeek,29,699,28
124,Petros Tsitsipas,22,682,39
125,Karol Drzewiecki,27,677,37
126,Hans Hach Verdugo,33,675,36
127,Miomir Kecmanovic,23,670,10
128,Nuno Borges,26,655,10
129,Anirudh Chandrasekar,24,654,35
130,Constantin Frantzen,25,646,38
131,Oleg Prihodko,25,641,33
132,Arjun Kadhe,29,636,32
133,Benjamin Bonzi,26,630,7
134,Denis Shapovalov,24,630,8
135,Szymon Walkow,27,620,36
136,Adrian Mannarino,34,615,9
137,Joao Sousa,34,615,14
138,Evan King,31,606,36
139,Alex Lawson,29,599,36
140,Igor Zelenay,40,597,21
141,Federico Zeballos,34,595,35
142,Boris Arias,29,587,35
143,Yun seong Chung,25,585,18
144,Ramkumar Ramanathan,28,581,30
145,Luke Johnson,29,562,31
146,Fernando Romboli,34,560,32
147,Treat Huey,37,558,16
148,Vijay Sundar Prashanth,36,549,33
149,Zdenek Kolar,26,536,22
150,Maximilian Neuchrist,31,534,23
151,Divij Sharan,37,534,28
152,Arthur Rinderknech,27,520,7
153,Ivan Liutarevich,27,513,32
154,Theo Arribage,22,511,39
155,Luciano Darderi,21,506,13
156,Marek Gengel,27,503,23
157,Jordan Thompson,29,500,9
158,MinKyu Song,32,497,20
159,Stefanos Tsitsipas,24,495,9
160,Alexander Bublik,25,495,11
161,Ben Shelton,20,490,15
162,Purav Raja,37,484,25
163,Artem Sitak,37,483,37
164,Andrey Rublev,25,470,13
165,Andrea Pellegrino,26,455,15
166,Yuta Shimizu,23,453,21
167,JiSung Nam,29,447,21
168,Oriol Roca Batalla,29,442,26
169,Kaichi Uchida,28,441,19
170,Yu Hsiou Hsu,24,440,22
171,Piotr Matuszewski,25,438,36
172,Max Schnur,30,436,20
173,Michael Geerts,28,435,24
174,Steve Johnson,33,430,5
175,Jan-Lennard Struff,32,430,7
176,Michail Pervolarakis,26,424,19
177,Benjamin Lock,30,424,30
178,Luca Sanchez,24,416,37
179,Marc Polmans,25,412,9
180,Neil Oberleitner,23,408,30
181,Orlando Luz,25,405,19
182T,Toshihide Matsui,45,402,25
182T,Kaito Uesugi,27,402,25
184,Marcelo Zormann,26,401,24
185,Viktor Durasovic,26,399,24
186,Andrew Paulson,21,398,20
187,Jason Taylor,29,392,37
188,Tallon Griekspoor,26,385,10
189,Karen Khachanov,26,380,10
190,Nicolas Mejia,23,377,22
191,Skander Mansouri,27,376,27
192,Facundo Diaz Acosta,22,372,12
193,Christian Harrison,28,370,12
194,Tristan Schoolkate,22,366,26
195,Quentin Halys,26,363,16
196,Holger Rune,19,360,4
197T,Grigor Dimitrov,31,360,8
197T,Cameron Norrie,27,360,8
197T,Bruno Soares,41,360,8
200,Alex de Minaur,24,360,8
201,Jaume Munar,25,360,11
202,Manuel Guinard,27,348,11
203,Colin Sinclair,28,342,23
204,Kai Wehnelt,27,340,35
205,Petr Nouza,24,339,22
206,Hernan Casanova,29,327,20
207,Roman Andres Burruchaga,21,324,13
208,Tomas Martin Etcheverry,23,320,17
209,Daniel Cukierman,27,318,23
