Rank,Player,Age,Points,Tournaments Played
1,Nikola Mektic,32,"10,820",29
2,Mate Pavic,28,"10,775",29
3,Joe Salisbury,29,"8,890",27
4,Rajeev Ram,37,"8,730",26
5,Nicolas Mahut,39,"8,335",26
6,Pierre-Hugues Herbert,30,"7,260",21
7,Horacio Zeballos,36,"7,145",23
8,Marcel Granollers,35,"7,088",24
9,Filip Polasek,36,"6,330",31
10,Ivan Dodig,36,"5,445",29
11,Robert Farah,34,"5,115",25
12,Kevin Krawietz,29,"5,100",33
13,Bruno Soares,39,"4,945",24
14,Juan Sebastian Cabal,35,"4,935",24
15,Wesley Koolhof,32,"4,800",30
16,John Peers,33,"4,765",28
17,Michael Venus,34,"4,491",26
18,Horia Tecau,36,"4,410",21
19,Jamie Murray,35,"4,183",31
20,Neal Skupski,31,"4,080",35
21,Marcelo Melo,38,"3,890",32
22,Lukasz Kubot,39,"3,710",27
23,Edouard Roger-Vasselin,37,"3,645",25
24,Raven Klaasen,39,"3,540",36
25,Tim Puetz,33,"3,370",29
26,Maximo Gonzalez,38,"3,305",30
27,Luke Saville,27,"3,071",51
28,Fabrice Martin,35,"2,875",47
29,Max Purcell,23,"2,797",39
30,Simone Bolelli,36,"2,795",33
31,Joran Vliegen,28,"2,780",42
32,Sander Gille,30,"2,780",45
33,Matwe Middelkoop,38,"2,775",48
34,Marcelo Arevalo,31,"2,773",43
35,Andrey Golubev,34,"2,711",46
36,Jurgen Melzer,40,"2,598",26
37,Nikola Cacic,30,"2,570",52
38,Andreas Mies,31,"2,564",30
39,Ben McLachlan,29,"2,498",40
40,Santiago Gonzalez,38,"2,411",40
41,Jean-Julien Rojer,40,"2,350",28
42,Austin Krajicek,31,"2,340",36
43,Gonzalo Escobar,32,"2,315",51
44,Hubert Hurkacz,24,"2,290",23
45,Rohan Bopanna,41,"2,285",37
46,Oliver Marach,41,"2,275",36
47,Ariel Behar,31,"2,235",56
48,Tomislav Brkic,31,"2,215",49
49,Franko Skugor,34,"2,190",27
50,Hugo Nys,30,"2,141",47
51,Alexander Bublik,24,"2,100",25
52,Marcus Daniell,31,"2,070",41
53,Philipp Oswald,35,"2,055",40
54,Ken Skupski,38,"2,049",29
55,Andrey Rublev,24,"2,035",17
56,Henri Kontinen,31,"1,990",22
57,Steve Johnson,31,"1,980",12
58,Aisam-Ul-Haq Qureshi,41,"1,959",43
59,Andres Molteni,33,"1,950",39
60,Jeremy Chardy,34,"1,926",20
61,Matthew Ebden,33,"1,906",26
62,Jonathan Erlich,44,"1,763",43
63,Dominic Inglot,35,"1,720",35
64,Felix Auger-Aliassime,21,"1,695",16
65,Jonny O'Mara,26,"1,664",32
66,Andre Goransson,27,"1,656",54
67,Marcelo Demoliner,32,"1,655",39
68,Daniel Evans,31,"1,651",20
69,Jan-Lennard Struff,31,"1,640",17
70,Harri Heliovaara,32,"1,632",50
71,Benoit Paire,32,"1,613",31
72,John-Patrick Smith,32,"1,613",40
73,Andrea Vavassori,26,"1,542",59
74,Luke Bambridge,26,"1,523",35
75,Robin Haase,34,"1,505",24
76,Aleksandr Nedovyesov,34,"1,496",45
77,Rafael Matos,25,"1,451",50
78,Denis Shapovalov,22,"1,370",13
79T,Bob Bryan,43,"1,365",11
79T,Mike Bryan,43,"1,365",11
81,Andrei Vasilevski,30,"1,359",48
82,Sam Querrey,34,"1,325",12
83,Felipe Meligeni Alves,23,"1,281",42
84,Lloyd Glasspool,27,"1,274",45
85,Frederik Nielsen,38,"1,248",36
86,Matt Reid,31,"1,242",46
87,Pedro Martinez,24,"1,229",24
88,Karen Khachanov,25,"1,225",14
89,Roman Jebavy,31,"1,225",48
90,Sander Arends,30,"1,212",42
91,Romain Arneodo,29,"1,209",56
92,Nathaniel Lammons,28,"1,204",63
93,Aslan Karatsev,28,"1,179",17
94T,Ivan Sabanov,29,"1,157",53
94T,Matej Sabanov,29,"1,157",53
96,David Vega Hernandez,27,"1,139",59
97,Jackson Withrow,28,"1,137",53
98,Nicholas Monroe,39,"1,119",52
99,David Pel,30,"1,110",41
100,Jan Zielinski,24,"1,109",37
101,Orlando Luz,23,"1,107",44
102,Denys Molchanov,34,"1,105",52
103,Luis David Martinez,32,"1,087",67
104,Artem Sitak,35,"1,069",56
105,Hans Hach Verdugo,31,"1,065",41
106,Sem Verbeek,27,"1,037",44
107,Marc Polmans,24,"1,035",23
108,Hunter Reese,28,"1,027",55
109,Albano Olivetti,29,"1,022",53
110,Fabio Fognini,34,"1,003",15
111,Fernando Romboli,32,"1,000",62
112,Alex Lawson,27,989,57
113,Goncalo Oliveira,26,976,56
114,Miguel Angel Reyes-Varela,34,974,48
115,Divij Sharan,35,969,42
116,Andre Begemann,37,964,48
117,Robert Galloway,29,960,46
118,Szymon Walkow,26,956,56
119,Evan King,29,921,55
120,Fabien Reboul,26,908,61
121,Sadio Doumbia,31,908,66
122,Guillermo Duran,33,884,36
123,Dustin Brown,36,872,30
124,Ramkumar Ramanathan,26,868,33
125,Dominik Koepfer,27,819,17
126,Zdenek Kolar,25,818,40
127,Alexander Zverev,24,815,10
128,Max Schnur,28,810,40
129,Purav Raja,35,795,49
130,Jannik Sinner,20,790,12
131,Mikhail Kukushkin,33,788,7
132,Marc-Andrea Huesler,25,777,25
133,Alex de Minaur,22,775,17
134,Antoine Hoang,25,770,17
135,Antonio Sancic,32,750,29
136,Lorenzo Sonego,26,745,13
137,Pablo Andujar,35,740,8
138,Joao Sousa,32,721,21
139,Feliciano Lopez,40,720,13
140,Treat Huey,36,719,37
141,Stefanos Tsitsipas,23,710,13
142,Sergio Martos Gornes,27,703,60
143,Igor Zelenay,39,701,42
144,Reilly Opelka,24,700,9
145,Guido Pella,31,698,17
146,Cameron Norrie,26,698,17
147,Sam Weissborn,30,693,46
148,Jack Sock,29,690,11
149,Vasek Pospisil,31,670,9
150,Arthur Rinderknech,26,670,23
151,Jamie Cerretani,40,661,54
152,Peter Polansky,33,659,32
153,Pablo Cuevas,35,656,18
154,Christopher Rungkat,31,654,21
155,Sergio Galdos,31,654,41
156,Lucas Miedler,25,651,37
157,Radu Albot,31,643,23
158,Dennis Novikov,27,642,33
159,Thiago Monteiro,27,638,13
160,Diego Schwartzman,29,638,14
161,Frances Tiafoe,23,630,12
162,Adrian Mannarino,33,630,15
163,Casper Ruud,22,625,10
164,Karol Drzewiecki,25,625,52
165,Nicolas Barrientos,34,616,38
166,Manuel Guinard,25,614,38
167,Sergiy Stakhovsky,35,612,18
168,Alexander Erler,23,605,33
169,Benjamin Bonzi,25,594,26
170,Teymuraz Gabashvili,36,594,48
171,Luca Margaroli,29,589,62
172,Jaume Munar,24,582,17
173,Diego Hidalgo,28,575,43
174,Nathan Pasha,29,566,37
175,Federico Delbonis,31,560,15
176,Julian Lenz,28,549,30
177,Jesper de Jong,21,548,40
178,N.Sriram Balaji,31,542,50
179,Salvatore Caruso,28,532,13
180,Sebastian Korda,21,516,11
181,Tommy Paul,24,515,14
182,Federico Gaio,29,503,10
183,Emil Ruusuvuori,22,499,16
184,Roberto Quiroz,29,498,34
185,Christian Harrison,27,489,16
186,Jordan Thompson,27,488,16
187,Ruben Gonzales,36,477,44
188,Andy Murray,34,475,6
189,Taylor Fritz,23,473,13
190,Roberto Carballes Baena,28,469,14
191,Vitaliy Sachko,24,468,33
192,Jeevan Nedunchezhiyan,33,466,40
193,Dominic Stricker,19,458,12
194,Daniel Masur,26,458,27
195,Pablo Carreno Busta,30,455,9
196,Cheng-Peng Hsieh,30,451,23
197,John Millman,32,450,9
198,Lloyd Harris,24,450,10
199,Ricardas Berankis,31,450,12
200,Robert Lindstedt,44,450,24
201,Gregoire Barrere,27,448,16
202,Leonardo Mayer,34,443,13
203,Leander Paes,48,436,18
204,John Isner,36,430,5
205,Dusan Lajovic,31,428,22
206,Marco Bortolotti,30,428,53
207,Hunter Johnson,27,426,54
208,JiSung Nam,28,423,28
209,Benjamin Lock,28,421,55
210,Carlos Gomez-Herrera,31,416,26
211,Arjun Kadhe,27,415,45
212,Alejandro Gomez,30,409,37
213,Dan Added,22,406,38
214,JC Aragone,26,400,32
215,Francisco Cabral,24,396,48
216,Facundo Bagnis,31,393,12
217,Andrea Pellegrino,24,393,34
218,Adrian Menendez-Maceiras,35,391,27
219,Ruben Bemelmans,33,388,18
220,Vladyslav Manafov,28,388,46
221,James Duckworth,29,380,6
222,MinKyu Song,31,372,24
223,Cristian Rodriguez,31,372,36
224,Christopher Eubanks,25,370,13
225,Ante Pavic,32,370,29
226,William Blumberg,23,360,4
227,Petros Tsitsipas,21,359,50
228,Mark Vervoort,31,358,46
229,Mitchell Krueger,27,357,19
230,Nuno Borges,24,352,19
231,Martin Cuevas,29,350,31
232,Quentin Halys,24,346,19
233,Bart Stevens,23,346,40
234,Dominic Thiem,28,345,6
235,Facundo Mena,29,342,32
236,Nick Kyrgios,26,338,9
237,Tristan Lamasine,28,336,24
238,Nino Serdarusic,24,334,20
239,Cristian Garin,25,333,19
240,Pavel Kotov,22,333,26
241,Mackenzie McDonald,26,331,17
242,Stefano Travaglia,29,323,18
243,Sekou Bangoura,29,321,31
244,Alejandro Davidovich Fokina,22,320,7
245,Andrej Martin,32,319,17
246,Liam Broady,27,318,21
247,Renzo Olivo,29,317,19
248,Marin Cilic,33,315,10
249,Viktor Troicki,35,313,6
250,Tomas Barrios Vera,23,311,18
251,Juan Ignacio Londero,28,308,14
252,Federico Coria,29,308,20
253,Florin Mergea,36,307,15
254,Federico Zeballos,33,303,47
255,Martin Redlicki,26,301,30
256,Skander Mansouri,26,299,40
257,Adil Shamasdin,39,296,29
258,Julian Ocleppo,24,296,37
259,Mao-Xin Gong,34,294,18
260,Yu Hsiou Hsu,22,293,38
261,Fabian Fallert,24,292,36
262,Thiago Agustin Tirante,20,291,26
263,Ruan Roelofse,31,290,31
264,Giulio Zeppieri,19,286,20
265,Denis Yevseyev,28,284,48
266,Tennys Sandgren,30,283,12
267,Jonathan Eysseric,31,280,33
268,Enzo Couacaud,26,279,19
269,Gerard Granollers,32,276,24
