Rank,Player,Age,Points,Tournaments Played
1,Mate Pavic,27,"10,220",33
2,Nicolas Mahut,39,"9,380",29
3,Nikola Mektic,32,"9,290",35
4,Robert Farah,34,"8,325",28
5,Juan Sebastian Cabal,35,"8,235",27
6,Pierre-Hugues Herbert,30,"7,490",25
7,Horacio Zeballos,36,"7,220",27
8,Ivan Dodig,36,"6,765",31
9,Filip Polasek,35,"6,740",33
10,Marcel Granollers,35,"6,693",27
11,Joe Salisbury,29,"6,650",30
12,Rajeev Ram,37,"6,650",30
13,Bruno Soares,39,"6,075",27
14,Wesley Koolhof,32,"5,850",34
15,Edouard Roger-Vasselin,37,"5,635",35
16,Michael Venus,33,"5,390",30
17,Lukasz Kubot,39,"5,130",32
18,Neal Skupski,31,"5,045",39
19,Marcelo Melo,37,"5,040",34
20,Kevin Krawietz,29,"5,020",38
21,Horia Tecau,36,"4,940",26
22,Jamie Murray,35,"4,520",39
23,Raven Klaasen,38,"4,260",38
24,John Peers,32,"4,025",31
25,Jurgen Melzer,40,"3,925",33
26,Andreas Mies,30,"3,620",33
27,Jean-Julien Rojer,39,"3,570",33
28,Joran Vliegen,27,"3,170",45
29,Sander Gille,30,"3,170",47
30,Oliver Marach,40,"2,935",40
31,Philipp Oswald,35,"2,830",44
32,Luke Saville,27,"2,826",52
33,Henri Kontinen,31,"2,825",26
34,Franko Skugor,33,"2,795",37
35,Matwe Middelkoop,37,"2,780",48
36,Maximo Gonzalez,37,"2,720",32
37,Fabrice Martin,34,"2,685",51
38,Rohan Bopanna,41,"2,635",41
39,Tim Puetz,33,"2,600",34
40,Andrey Golubev,33,"2,579",48
41,Marcus Daniell,31,"2,545",46
42,Marcelo Arevalo,30,"2,498",45
43,Max Purcell,23,"2,492",44
44,Robin Haase,34,"2,462",27
45,Nikola Cacic,30,"2,408",55
46,Simone Bolelli,35,"2,380",41
47,Ben McLachlan,29,"2,378",44
48,Hugo Nys,30,"2,368",52
49,Marcelo Demoliner,32,"2,355",43
50,Alexander Bublik,24,"2,325",23
51,Austin Krajicek,31,"2,305",36
52,Gonzalo Escobar,32,"2,295",53
53,Ariel Behar,31,"2,265",59
54,Santiago Gonzalez,38,"2,216",45
55,Aisam-Ul-Haq Qureshi,41,"2,151",46
56,Jan-Lennard Struff,31,"2,025",22
57,Tomislav Brkic,31,"2,020",55
58,Jeremy Chardy,34,"2,016",25
59T,Bob Bryan,43,"1,980",14
59T,Mike Bryan,43,"1,980",14
61,Dominic Inglot,35,"1,965",41
62,Denis Shapovalov,22,"1,955",19
63,Hubert Hurkacz,24,"1,950",23
64,Daniel Evans,31,"1,921",22
65,Andres Molteni,33,"1,920",47
66,Ken Skupski,38,"1,894",31
67,Luke Bambridge,26,"1,873",43
68,Alex de Minaur,22,"1,865",17
69,Pablo Carreno Busta,29,"1,725",11
70,Matthew Ebden,33,"1,700",24
71,Felix Auger-Aliassime,20,"1,695",19
72,Jonathan Erlich,44,"1,673",49
73,John-Patrick Smith,32,"1,667",41
74,Andrey Rublev,23,"1,660",20
75,Jonny O'Mara,26,"1,598",35
76,Divij Sharan,35,"1,560",51
77,Benoit Paire,32,"1,503",34
78,Andrea Vavassori,26,"1,482",55
79,Jackson Withrow,27,"1,469",53
80,Andre Goransson,27,"1,461",59
81,Andrei Vasilevski,30,"1,405",52
82,Frederik Nielsen,37,"1,376",38
83,Harri Heliovaara,32,"1,376",50
84,David Pel,29,"1,354",48
85,Aleksandr Nedovyesov,34,"1,344",41
86,Nathaniel Lammons,27,"1,333",66
87,Nicholas Monroe,39,"1,332",57
88,Romain Arneodo,28,"1,328",60
89,Rafael Matos,25,"1,303",53
90,Matt Reid,30,"1,297",46
91,Karen Khachanov,25,"1,270",17
92,Sander Arends,29,"1,269",55
93,Joao Sousa,32,"1,193",24
94,Pedro Martinez,24,"1,187",25
95,Artem Sitak,35,"1,172",57
96,Goncalo Oliveira,26,"1,163",59
97,Roman Jebavy,31,"1,133",47
98,Igor Zelenay,38,"1,125",45
99,Lloyd Glasspool,27,"1,122",47
100,Felipe Meligeni Alves,23,"1,114",44
101,Marc Polmans,24,"1,091",24
102,Luis David Martinez,32,"1,088",69
103,Feliciano Lopez,39,"1,080",17
104,Andre Begemann,36,"1,070",49
105,Reilly Opelka,23,"1,065",11
106,Denys Molchanov,34,"1,044",54
107,Miguel Angel Reyes-Varela,34,"1,037",53
108,Taylor Fritz,23,"1,020",18
109,Sem Verbeek,27,981,41
110,Fabien Reboul,25,974,55
111,Robert Galloway,28,973,48
112,Sadio Doumbia,30,969,62
113,Orlando Luz,23,951,46
114,Alexander Zverev,24,950,15
115T,Ivan Sabanov,29,950,50
115T,Matej Sabanov,29,950,50
117,David Vega Hernandez,27,943,66
118,Robert Lindstedt,44,938,34
119,Leonardo Mayer,34,937,19
120,Hunter Reese,28,934,61
121,Alex Lawson,27,911,58
122,Guillermo Duran,33,908,34
123,Mikhail Kukushkin,33,900,10
124,Ramkumar Ramanathan,26,896,37
125,Szymon Walkow,25,889,60
126,Treat Huey,35,876,38
127,Zdenek Kolar,24,868,43
128,Fernando Romboli,32,868,65
129,Albano Olivetti,29,862,53
130,Diego Schwartzman,28,840,19
131,Pablo Cuevas,35,836,21
132,Pablo Andujar,35,830,11
133,Andy Murray,34,790,7
134,Sam Weissborn,29,781,52
135,Evan King,29,780,50
136,JiSung Nam,27,766,30
137,Jack Sock,28,755,10
138,Fabio Fognini,34,755,15
139,Sergiy Stakhovsky,35,741,20
140,Steve Johnson,31,735,11
141,Radu Albot,31,735,23
142,Nathan Pasha,28,722,43
143,Adrian Mannarino,32,720,18
144,Guido Pella,31,720,23
145,Max Schnur,28,717,36
146,Peter Polansky,33,716,37
147,MinKyu Song,30,713,28
148,Stefanos Tsitsipas,22,710,16
149,Purav Raja,35,710,49
150,Antoine Hoang,25,706,20
151,Hans Hach Verdugo,31,705,45
152,Ante Pavic,32,699,36
153,Karol Drzewiecki,25,696,53
154,Cameron Norrie,25,675,18
155,Christopher Rungkat,31,669,26
156,Luca Margaroli,29,668,65
157,Antonio Sancic,32,661,28
158,Teymuraz Gabashvili,36,659,52
159,Jan Zielinski,24,644,38
160,Daniel Masur,26,642,35
161,Dominik Koepfer,27,639,15
162,Julian Lenz,28,620,29
163,Florin Mergea,36,612,24
164,Lorenzo Sonego,26,610,14
165,Dusan Lajovic,30,610,22
166,Benjamin Bonzi,25,609,31
167,Dennis Novikov,27,609,33
168,Sergio Martos Gornes,26,604,59
169,Roberto Carballes Baena,28,596,18
170,Federico Delbonis,30,590,11
171,N.Sriram Balaji,31,587,49
172,Jaume Munar,24,581,14
173,Manuel Guinard,25,578,43
174,Cheng-Peng Hsieh,29,576,28
175,Sergio Galdos,31,556,44
176,Jamie Cerretani,39,551,52
177,Dustin Brown,36,544,21
178,Marc-Andrea Huesler,25,544,27
179,Novak Djokovic,34,540,8
180,Sam Querrey,33,540,14
181,Gerard Granollers,32,535,33
182,Tommy Paul,24,530,16
183,Federico Gaio,29,523,15
184,Salvatore Caruso,28,503,12
185,Christopher Eubanks,25,502,14
186,Arthur Rinderknech,25,500,22
187,Mao-Xin Gong,33,485,24
188,Thiago Monteiro,27,483,14
189,Nicolas Barrientos,34,483,29
190,Tristan Lamasine,28,482,25
191,Leander Paes,48,481,20
192,Vasek Pospisil,31,475,7
193,Adil Shamasdin,39,467,34
194,Mackenzie McDonald,26,466,16
195,Ze Zhang,30,466,24
196,Ruben Bemelmans,33,465,23
197,Carlos Gomez-Herrera,31,459,21
198,Dan Added,22,459,43
199,JC Aragone,26,456,30
200,Christian Harrison,27,453,14
201,Frances Tiafoe,23,450,11
202,Miomir Kecmanovic,21,450,14
203,Andrea Pellegrino,24,449,33
204,Aslan Karatsev,27,446,14
205,Casper Ruud,22,445,11
206,Jesper de Jong,21,444,39
207,Martin Redlicki,25,436,35
208,Dominic Thiem,27,435,8
209,Tennys Sandgren,29,433,15
210,Roberto Quiroz,29,428,30
211,Matteo Berrettini,25,425,11
212,Lukas Rosol,35,424,16
213,Cristian Garin,25,423,23
214,Sekou Bangoura,29,422,31
215,Jeevan Nedunchezhiyan,32,409,37
216,Oriol Roca Batalla,28,407,33
217,Gregoire Barrere,27,403,14
218,Juan Ignacio Londero,27,398,17
219,Enzo Couacaud,26,396,22
220,Ruan Roelofse,31,392,31
221,Alejandro Davidovich Fokina,22,390,9
222,Roberto Maytin,32,390,21
223,Guido Andreozzi,29,388,11
224,Facundo Bagnis,31,388,17
225,Saketh Myneni,33,383,15
226,James Duckworth,29,380,4
227,Adrian Menendez-Maceiras,35,377,23
228,Mischa Zverev,33,375,20
229,Emil Ruusuvuori,22,374,15
230,Quentin Halys,24,373,25
231,Viktor Troicki,35,372,10
232,Ryan Harrison,29,371,7
233,Facundo Mena,28,367,30
234,Mitchell Krueger,27,361,21
235,John Isner,36,360,7
236,Marin Cilic,32,360,10
237,Diego Hidalgo,28,360,39
238,Vladyslav Manafov,28,359,47
239,Scott Puodziunas,31,358,36
240,Daniil Medvedev,25,355,8
241,Sebastian Korda,20,354,12
242,Tsung-Hua Yang,30,352,32
243,Zhe Li,34,344,18
244,Martin Cuevas,29,342,33
245,Lucas Miedler,25,342,34
246,Kimmer Coppejans,27,340,23
247,Jordan Thompson,27,338,16
248,Arjun Kadhe,27,331,35
249,Maxime Cressy,24,329,29
250,Pavel Kotov,22,328,22
251,Vitaliy Sachko,23,327,37
252,Ruben Gonzales,35,324,36
253,Inigo Cervantes,31,322,22
254,Liam Broady,27,321,23
255,Toshihide Matsui,43,321,25
256,Denis Yevseyev,28,320,50
257,John Millman,32,315,10
258,Lukas Klein,23,315,12
259,Paolo Lorenzi,39,308,15
260,Marco Bortolotti,30,308,48
261,Skander Mansouri,25,305,39
