Rank,Player,Age,Points,Tournaments Played
1,Robert Farah,33,"8,440",22
2,Juan Sebastian Cabal,34,"8,440",23
3,Horacio Zeballos,35,"6,930",24
4,Nicolas Mahut,38,"6,430",24
5,Mate Pavic,27,"6,040",28
6,Bruno Soares,38,"5,520",23
7,Joe Salisbury,28,"5,490",27
8,Michael Venus,33,"5,450",25
9,Marcel Granollers,34,"5,420",24
10,Rajeev Ram,36,"5,400",25
11,Wesley Koolhof,31,"5,200",29
12T,Lukasz Kubot,38,"5,140",28
12T,Marcelo Melo,37,"5,140",28
14,Ivan Dodig,35,"5,100",27
15,Filip Polasek,35,"5,030",27
16,Nikola Mektic,31,"4,940",28
17,Raven Klaasen,38,"4,840",27
18,Edouard Roger-Vasselin,36,"4,650",30
19,Kevin Krawietz,28,"4,615",32
20,Andreas Mies,30,"4,580",32
21,Pierre-Hugues Herbert,29,"4,120",17
22,Horia Tecau,35,"4,070",24
23,Jean-Julien Rojer,39,"4,070",28
24,Fabrice Martin,34,"3,845",37
25,Jamie Murray,34,"3,725",33
26,John Peers,32,"3,570",27
27,Neal Skupski,30,"3,525",34
28,Oliver Marach,40,"3,450",30
29,Jurgen Melzer,39,"3,235",31
30,Franko Skugor,33,"3,150",28
31T,Bob Bryan,42,"3,020",16
31T,Mike Bryan,42,"3,020",16
33,Jeremy Chardy,33,"2,905",18
34,Henri Kontinen,30,"2,890",23
35,Robin Haase,33,"2,859",24
36,Rohan Bopanna,40,"2,440",32
37,Joran Vliegen,27,"2,420",32
38,Luke Saville,26,"2,417",37
39,Austin Krajicek,30,"2,340",27
40,Philipp Oswald,34,"2,320",32
41,Max Purcell,22,"2,319",34
42,Maximo Gonzalez,37,"2,190",25
43,Sander Gille,29,"2,135",35
44,Marcelo Demoliner,31,"2,090",33
45,Marcus Daniell,30,"2,070",33
46,Santiago Gonzalez,37,"2,018",32
47,Matwe Middelkoop,37,"2,000",36
48,Denis Shapovalov,21,"1,985",17
49,Ben McLachlan,28,"1,945",36
50,Diego Schwartzman,28,"1,905",18
51,Jan-Lennard Struff,30,"1,900",20
52,Aisam-Ul-Haq Qureshi,40,"1,875",34
53,Pablo Carreno Busta,29,"1,815",12
54,Frederik Nielsen,37,"1,790",27
55,Marcelo Arevalo,30,"1,782",32
56,Nikola Cacic,29,"1,749",39
57,Ken Skupski,37,"1,738",27
58,Jonny O'Mara,25,"1,733",29
59,Alex de Minaur,21,"1,730",14
60,Dominic Inglot,34,"1,725",30
61,Tim Puetz,32,"1,700",27
62,Luke Bambridge,25,"1,660",33
63,Divij Sharan,34,"1,635",37
64,Feliciano Lopez,39,"1,555",16
65,Andres Molteni,32,"1,555",36
66,Ariel Behar,30,"1,506",46
67,Hugo Nys,29,"1,498",39
68,Simone Bolelli,35,"1,435",32
69,Gonzalo Escobar,31,"1,406",37
70,Guido Pella,30,"1,395",20
71,Jonathan Erlich,43,"1,377",35
72,Igor Zelenay,38,"1,335",35
73,Nicholas Monroe,38,"1,314",43
74,Joao Sousa,31,"1,305",18
75,Mikhail Kukushkin,32,"1,260",9
76,Artem Sitak,34,"1,215",40
77,Sander Arends,29,"1,129",39
78,Goncalo Oliveira,25,"1,105",45
79,David Pel,29,"1,095",37
80,Karen Khachanov,24,"1,090",16
81,Robert Lindstedt,43,"1,088",31
82,Jackson Withrow,27,"1,087",33
83,Andrei Vasilevski,29,"1,071",34
84,Andrey Rublev,23,"1,050",15
85,Andre Goransson,26,"1,049",41
86,Tomislav Brkic,30,"1,047",38
87,Alexander Bublik,23,"1,035",12
88,Benoit Paire,31,"1,028",25
89,Andrey Golubev,33,"1,018",31
90,Dusan Lajovic,30,"1,015",16
91,Guillermo Duran,32,"1,012",25
92,Matt Reid,30,998,33
93,Miguel Angel Reyes-Varela,33,982,43
94,Romain Arneodo,28,969,44
