Rank,Player,Age,Points,Tournaments Played
1T,Juan Sebastian Cabal,33,"8,170",21
1T,Robert Farah,32,"8,170",21
3,Nicolas Mahut,37,"7,180",19
4,Horacio Zeballos,34,"5,610",23
5,Lukasz Kubot,37,"5,090",25
6,Pierre-Hugues Herbert,28,"5,040",11
7,Marcelo Melo,36,"4,910",25
8,Kevin Krawietz,27,"4,660",30
9,Raven Klaasen,37,"4,595",25
10,Andreas Mies,29,"4,500",31
11,Michael Venus,32,"4,380",23
12,Filip Polasek,34,"4,290",26
13,Ivan Dodig,35,"4,270",28
14,Wesley Koolhof,30,"3,820",28
15,Nikola Mektic,31,"3,810",28
16,Edouard Roger-Vasselin,36,"3,770",26
17,Henri Kontinen,29,"3,750",22
18,Mate Pavic,26,"3,740",27
19,Horia Tecau,35,"3,650",23
20,Jean-Julien Rojer,38,"3,650",26
21,Joe Salisbury,27,"3,570",27
22,Rajeev Ram,35,"3,540",25
23,John Peers,31,"3,460",23
24,Bruno Soares,37,"3,410",23
25,Jamie Murray,33,"3,395",27
26,Fabrice Martin,33,"3,395",34
27,Marcel Granollers,33,"3,385",22
28T,Bob Bryan,41,"3,290",18
28T,Mike Bryan,41,"3,290",18
30,Jeremy Chardy,32,"3,235",21
31,Neal Skupski,30,"3,075",31
32,Oliver Marach,39,"3,060",29
33,Maximo Gonzalez,36,"2,980",21
34,Robin Haase,32,"2,740",21
35,Franko Skugor,32,"2,720",28
36,Jurgen Melzer,38,"2,445",30
37,Joran Vliegen,26,"2,141",29
38,Rohan Bopanna,39,"2,110",29
39,Joao Sousa,30,"2,070",20
40,Philipp Oswald,33,"2,060",27
41,Diego Schwartzman,27,"1,965",20
42,Austin Krajicek,29,"1,940",29
43,Luke Bambridge,24,"1,840",28
44,Sander Gille,29,"1,826",31
45,Marcus Daniell,30,"1,820",26
46,Ben McLachlan,27,"1,815",30
47,Frederik Nielsen,36,"1,790",25
48,Santiago Gonzalez,36,"1,763",30
49,Denis Shapovalov,20,"1,715",14
50,Marcelo Demoliner,31,"1,700",29
51,Feliciano Lopez,38,"1,645",15
52,Aisam-Ul-Haq Qureshi,39,"1,550",31
53,Divij Sharan,33,"1,548",30
54,Ken Skupski,36,"1,528",25
55,Matwe Middelkoop,36,"1,450",33
56,Andres Molteni,31,"1,425",30
57,Dominic Inglot,33,"1,415",27
58,Tim Puetz,32,"1,405",25
59,Jonny O'Mara,24,"1,373",27
60,Guido Pella,29,"1,350",22
61,Leonardo Mayer,32,"1,349",14
62,Artem Sitak,33,"1,345",34
63,Roman Jebavy,30,"1,276",34
64,Igor Zelenay,37,"1,255",31
65,Jan-Lennard Struff,29,"1,180",19
66,Jackson Withrow,26,"1,152",26
67,Jonathan Erlich,42,"1,152",27
68,Hugo Nys,28,"1,148",32
69,Nicolas Jarry,24,"1,145",13
70,Nikola Cacic,29,"1,136",29
71,Marcelo Arevalo,29,"1,125",29
72,Sander Arends,28,"1,114",34
73,Robert Lindstedt,42,"1,090",27
74,Cheng-Peng Hsieh,28,"1,071",29
75,Andrey Rublev,22,"1,050",12
76,Andrei Vasilevski,28,"1,021",29
77,Dominic Thiem,26,"1,020",8
78,Denys Molchanov,32,"1,020",31
79,Sam Querrey,32,"1,015",8
80,Pablo Carreno Busta,28,"1,015",10
81,Ariel Behar,30,"1,014",34
82,Luke Saville,26,"1,004",31
83,Karen Khachanov,23,"1,000",14
84,Gonzalo Escobar,30,992,31
85,Guillermo Duran,31,988,23
86,Simone Bolelli,34,981,23
87,Romain Arneodo,27,976,33
88,Max Purcell,21,969,29
89,Stefanos Tsitsipas,21,960,13
90,Andy Murray,32,950,6
91,Purav Raja,34,920,33
92,Ryan Harrison,27,900,5
93,David Pel,28,898,32
94,Radu Albot,30,895,22
95,Matt Reid,29,893,32
96,Nathaniel Lammons,26,870,39
97,Alexander Zverev,22,860,10
98,Christopher Rungkat,30,858,28
99,Goncalo Oliveira,24,854,37
100,Benoit Paire,30,848,23
101,Sam Weissborn,28,848,33
102,John-Patrick Smith,30,840,29
103,Fernando Romboli,31,840,40
104,Nicholas Monroe,37,839,40
105,Miguel Angel Reyes-Varela,32,838,36
106,Andre Begemann,35,808,33
107,Tomislav Brkic,29,805,27
108,Jeevan Nedunchezhiyan,31,787,32
109,Ante Pavic,30,783,31
110,Mischa Zverev,32,770,17
111,David Vega Hernandez,25,757,39
112,Mao-Xin Gong,32,750,25
113,Dusan Lajovic,29,745,14
114,Andre Goransson,25,741,30
115,JiSung Nam,26,733,23
116,Evan King,27,732,32
117,Ze Zhang,29,730,22
118,Jack Sock,27,720,5
119,Leander Paes,46,718,21
120,Pablo Cuevas,34,715,19
121,Taylor Fritz,22,705,11
122,Matthew Ebden,32,705,13
123,Jamie Cerretani,38,692,34
124,Hunter Reese,27,684,35
125,Robert Galloway,27,672,23
126,Federico Delbonis,29,670,7
127,Hans Hach Verdugo,30,669,33
128,MinKyu Song,29,645,23
129,Antonio Sancic,31,638,28
130,Andrea Vavassori,24,638,32
131,Ramkumar Ramanathan,25,608,18
132,Alex de Minaur,20,595,11
133,Luis David Martinez,30,581,36
134,Roberto Maytin,31,579,25
135,Fabio Fognini,32,575,10
136,Gerard Granollers,30,573,30
137,Novak Djokovic,32,570,6
138,N.Sriram Balaji,29,566,28
139,Luca Margaroli,27,560,39
140,Adil Shamasdin,37,545,28
141,Sem Verbeek,25,543,24
142,Mikhail Kukushkin,32,540,9
143,Orlando Luz,21,532,28
144,Guido Andreozzi,28,523,10
145,Harri Heliovaara,30,521,25
146,Nathan Pasha,27,508,28
147,Daniel Evans,29,495,10
148,Roberto Carballes Baena,26,495,14
149,Andrey Golubev,32,493,19
150,Florin Mergea,34,492,17
151,Thomaz Bellucci,32,485,5
152,Quentin Halys,23,485,16
153,Fabricio Neis,29,485,21
154,Teymuraz Gabashvili,34,469,27
155,JC Aragone,24,457,19
156,Alex Lawson,25,456,31
157,Benjamin Bonzi,23,455,19
158,Zhe Li,33,451,19
159,Kyle Edmund,25,450,7
160,Cameron Norrie,24,450,12
161,Treat Huey,34,448,19
162,Rogerio Dutra Silva,35,438,6
163,Tsung-Hua Yang,28,437,27
164,Szymon Walkow,24,436,31
165,Andrea Pellegrino,22,430,21
166,Aleksandr Nedovyesov,32,427,13
167,Dennis Novikov,26,424,20
168,Sergiy Stakhovsky,34,419,12
169,Toshihide Matsui,41,419,29
170,Fabien Reboul,24,416,23
171,Scott Puodziunas,30,406,32
172,Jaume Munar,22,405,11
173,Malek Jaziri,36,405,12
174,Sadio Doumbia,29,405,27
175T,Ivan Sabanov,27,405,28
175T,Matej Sabanov,27,405,28
177,Daniil Medvedev,23,400,8
178,Daniel Masur,25,399,15
179,Felipe Meligeni Alves,21,393,27
180,Reilly Opelka,22,390,8
181,Peter Polansky,31,381,22
182,John Isner,34,380,7
183,Tristan Lamasine,26,379,14
184,Darian King,27,375,11
185,Marc Polmans,22,375,13
186,Zdenek Kolar,23,364,19
187,Janko Tipsarevic,35,360,6
188,Miomir Kecmanovic,20,360,8
189,Nikoloz Basilashvili,27,360,10
190,Marc Lopez,37,360,11
191,Fernando Verdasco,36,360,11
192,Ruben Bemelmans,32,360,15
193,Pedro Martinez,22,358,19
194,Scott Clayton,25,358,26
195,Saketh Myneni,32,356,13
196,Martin Redlicki,24,352,23
197,Andreas Siljestrom,38,346,22
198,Max Schnur,26,343,18
199,Vishnu Vardhan,32,343,23
200,Sergio Martos Gornes,25,341,35
201,Ruan Roelofse,30,339,22
202,Guillermo Garcia-Lopez,36,337,10
203,Rafael Matos,24,332,26
204,Matteo Berrettini,23,330,10
205,Karol Drzewiecki,24,329,24
206,Ruben Gonzales,34,327,29
207,Sergio Galdos,30,326,23
208,Marcos Giron,26,325,9
209,Sekou Bangoura,28,316,23
210,Lucas Pouille,25,315,10
211,Casper Ruud,21,310,5
212,Facundo Bagnis,29,305,13
213,Nick Kyrgios,24,305,14
214,Skander Mansouri,24,305,24
215,Julian Lenz,26,301,14
216,Arjun Kadhe,26,300,21
217,Marius Copil,29,295,11
218,Viktor Troicki,33,294,4
219,Sanchai Ratiwatana,37,292,27
220,Gregoire Barrere,25,290,4
