Rank,Player,Age,Points,Tournaments Played
1,Robert Farah,34,"8,620",23
2,Juan Sebastian Cabal,34,"8,530",23
3,Horacio Zeballos,35,"7,330",25
4,Mate Pavic,27,"7,200",31
5,Wesley Koolhof,31,"6,680",31
6,Nikola Mektic,32,"6,580",31
7,Bruno Soares,38,"6,520",25
8,Nicolas Mahut,39,"6,475",24
9T,Lukasz Kubot,38,"5,880",28
9T,Marcelo Melo,37,"5,880",28
11,Marcel Granollers,34,"5,820",25
12,Joe Salisbury,28,"5,780",27
13,Michael Venus,33,"5,720",26
14,Edouard Roger-Vasselin,37,"5,720",33
15,Rajeev Ram,36,"5,690",25
16,Ivan Dodig,36,"5,250",28
17,Filip Polasek,35,"5,180",28
18,Raven Klaasen,38,"4,930",28
19,Kevin Krawietz,29,"4,795",33
20,Andreas Mies,30,"4,760",33
21,Jurgen Melzer,39,"4,365",33
22,Horia Tecau,36,"4,205",24
23,Jamie Murray,34,"4,185",35
24,Jean-Julien Rojer,39,"4,160",30
25,Pierre-Hugues Herbert,29,"4,120",18
26,Fabrice Martin,34,"4,025",40
27,Neal Skupski,31,"3,985",36
28,John Peers,32,"3,870",28
29,Oliver Marach,40,"3,630",32
30,Franko Skugor,33,"3,330",29
31,Henri Kontinen,30,"3,070",23
32T,Bob Bryan,42,"3,020",16
32T,Mike Bryan,42,"3,020",16
34,Jeremy Chardy,33,"2,995",19
35,Robin Haase,33,"2,899",24
36,Joran Vliegen,27,"2,760",34
37,Luke Saville,27,"2,567",40
38,Rohan Bopanna,40,"2,530",33
39,Sander Gille,30,"2,475",37
40,Max Purcell,22,"2,469",37
41,Austin Krajicek,30,"2,415",28
42,Philipp Oswald,35,"2,400",33
43,Maximo Gonzalez,37,"2,235",25
44,Marcelo Demoliner,32,"2,135",35
45,Marcus Daniell,31,"2,115",34
46,Matwe Middelkoop,37,"2,090",39
47,Ben McLachlan,28,"2,035",38
48,Santiago Gonzalez,37,"2,018",32
49,Denis Shapovalov,21,"1,985",17
50,Aisam-Ul-Haq Qureshi,40,"1,955",36
51,Marcelo Arevalo,30,"1,943",35
52,Diego Schwartzman,28,"1,905",18
53,Jan-Lennard Struff,30,"1,900",20
54,Pablo Carreno Busta,29,"1,815",12
55,Frederik Nielsen,37,"1,815",30
56,Nikola Cacic,30,"1,794",43
57,Ken Skupski,37,"1,783",28
58,Jonny O'Mara,25,"1,778",30
59,Dominic Inglot,34,"1,770",31
60,Ariel Behar,31,"1,756",48
61,Alex de Minaur,21,"1,730",15
62,Tim Puetz,33,"1,718",28
63,Luke Bambridge,26,"1,708",35
64,Divij Sharan,34,"1,680",40
65,Gonzalo Escobar,32,"1,656",41
66,Andres Molteni,32,"1,645",37
67,Hugo Nys,29,"1,588",42
68,Feliciano Lopez,39,"1,555",16
69,Simone Bolelli,35,"1,480",32
70,Jonathan Erlich,43,"1,442",39
71,Guido Pella,30,"1,395",20
72,Igor Zelenay,38,"1,370",37
73,Hubert Hurkacz,23,"1,360",15
74,Nicholas Monroe,38,"1,339",43
75,Joao Sousa,31,"1,305",18
76,Mikhail Kukushkin,33,"1,260",9
77,Felix Auger-Aliassime,20,"1,260",13
78,Artem Sitak,34,"1,260",43
79,David Pel,29,"1,220",40
80,Tomislav Brkic,30,"1,209",40
81,Karen Khachanov,24,"1,180",16
82,Andre Goransson,26,"1,178",44
83,Sander Arends,29,"1,174",42
84,Andrey Rublev,23,"1,140",15
85,Andrei Vasilevski,29,"1,136",38
86,Jackson Withrow,27,"1,135",37
87,Goncalo Oliveira,25,"1,130",47
88,Andrey Golubev,33,"1,128",35
89,Robert Lindstedt,43,"1,106",31
90,Alexander Bublik,23,"1,080",13
91,Andrea Vavassori,25,"1,080",39
92,Andre Begemann,36,"1,074",41
93,Guillermo Duran,32,"1,055",28
94,Benoit Paire,31,"1,028",25
95,Dusan Lajovic,30,"1,015",17
96,Miguel Angel Reyes-Varela,33,"1,011",45
97,Matt Reid,30,998,33
98,Romain Arneodo,28,998,47
99,Nathaniel Lammons,27,991,49
100,Harri Heliovaara,31,973,36
101,Christopher Rungkat,31,964,27
102,Stefanos Tsitsipas,22,960,14
103,Leonardo Mayer,33,959,15
104,Denys Molchanov,33,958,41
105,Fernando Romboli,32,956,53
106,Andy Murray,33,950,6
107,John-Patrick Smith,32,938,29
108,Taylor Fritz,23,930,15
109,Roman Jebavy,31,904,35
110,Sam Weissborn,29,900,41
111,Ramkumar Ramanathan,26,886,29
112,Cheng-Peng Hsieh,29,871,29
113,Dominic Thiem,27,870,8
114,Luis David Martinez,31,855,50
115,David Vega Hernandez,26,852,50
116,Pablo Cuevas,35,850,19
117,JiSung Nam,27,845,27
118,Matthew Ebden,33,825,14
119,Felipe Meligeni Alves,22,812,35
120,Reilly Opelka,23,810,10
121,Treat Huey,35,807,31
122,Ante Pavic,31,797,32
123,Hans Hach Verdugo,31,783,44
124,Orlando Luz,22,780,35
125,Purav Raja,35,776,38
126,Alex Lawson,26,770,44
127,MinKyu Song,30,768,27
128,Evan King,28,764,34
129,Radu Albot,31,760,22
130,Robert Galloway,28,753,34
131,Leander Paes,47,748,21
132,Hunter Reese,28,748,47
133,Marc Polmans,23,735,14
134,Aleksandr Nedovyesov,33,733,25
135,Antonio Sancic,32,725,28
136,Jack Sock,28,720,7
137,Zdenek Kolar,24,710,29
138,Luca Margaroli,28,710,51
139,Szymon Walkow,25,691,44
140,Steve Johnson,31,690,10
141,Lloyd Glasspool,27,687,35
142,Rafael Matos,25,687,39
143,N.Sriram Balaji,30,683,38
144,Nathan Pasha,28,670,31
145,Fabio Fognini,33,665,14
146,Sem Verbeek,26,649,28
147,Gerard Granollers,31,648,33
148,Florin Mergea,35,641,22
149,Teymuraz Gabashvili,35,639,40
150,Daniel Evans,30,630,16
151,Roberto Carballes Baena,27,628,13
152,Fabien Reboul,25,627,38
153,Mao-Xin Gong,33,624,24
154,Karol Drzewiecki,25,623,39
155,Sadio Doumbia,30,614,44
156,Albano Olivetti,29,608,38
157,Ze Zhang,30,579,20
158T,Ivan Sabanov,28,577,38
158T,Matej Sabanov,28,577,38
160,Novak Djokovic,33,570,7
161,Jamie Cerretani,39,545,40
162,Dennis Novikov,27,544,26
163,Benjamin Bonzi,24,539,24
164,Roberto Maytin,32,534,21
165,Arthur Rinderknech,25,529,19
