Rank,Player,Age,Points,Tournaments Played
1,Joe Salisbury,30,"8,903",25
2,Rajeev Ram,38,"8,653",23
3,Mate Pavic,28,"6,940",25
4,Horacio Zeballos,36,"6,910",21
5,Marcel Granollers,36,"6,798",20
6,Nikola Mektic,33,"6,605",26
7,Nicolas Mahut,40,"6,540",25
8,Pierre-Hugues Herbert,31,"5,680",15
9,Tim Puetz,34,"5,146",22
10,John Peers,33,"4,935",24
11,Michael Venus,34,"4,916",26
12,Kevin Krawietz,30,"4,483",25
13T,Juan Sebastian Cabal,36,"4,450",23
13T,Robert Farah,35,"4,450",23
15,Wesley Koolhof,33,"4,420",25
16,Filip Polasek,36,"4,410",27
17,Neal Skupski,32,"3,715",29
18,Bruno Soares,40,"3,420",20
19,Simone Bolelli,36,"3,401",28
20,Jean-Julien Rojer,40,"3,370",28
21,Horia Tecau,37,"3,360",14
22,Jamie Murray,36,"3,348",26
23,Santiago Gonzalez,39,"3,145",36
24,Marcelo Arevalo,31,"3,105",32
25,Rohan Bopanna,42,"2,885",29
26,Andrey Golubev,34,"2,882",39
27,Max Purcell,24,"2,794",28
28,John Isner,36,"2,700",8
29,Ivan Dodig,37,"2,695",31
30,Nick Kyrgios,26,"2,688",9
31,Andreas Mies,31,"2,681",30
32,Maximo Gonzalez,38,"2,616",23
33,Matthew Ebden,34,"2,559",19
34,Thanasi Kokkinakis,26,"2,488",6
35,Andres Molteni,34,"2,385",35
36,Matwe Middelkoop,38,"2,378",38
37,Sander Gille,31,"2,360",35
38,Austin Krajicek,31,"2,350",31
39,Joran Vliegen,28,"2,245",32
40,Fabio Fognini,34,"2,218",17
41,Ben McLachlan,29,"2,136",35
42,Marcelo Melo,38,"2,078",29
43,Fabrice Martin,35,"2,048",36
44,Edouard Roger-Vasselin,38,"2,045",22
45,Raven Klaasen,39,"2,026",28
46,Hubert Hurkacz,25,"2,000",18
47,Gonzalo Escobar,33,"1,945",41
48,Ariel Behar,32,"1,945",47
49,Hugo Nys,31,"1,924",36
50,Tomislav Brkic,32,"1,830",36
51,Nikola Cacic,31,"1,830",38
52,Aisam-Ul-Haq Qureshi,42,"1,809",36
53,Steve Johnson,32,"1,715",12
54,Harri Heliovaara,32,"1,706",35
55,Pedro Martinez,24,"1,682",22
56,Jack Sock,29,"1,655",11
57,Robin Haase,35,"1,625",21
58,Rafael Matos,26,"1,584",44
59,Philipp Oswald,36,"1,570",31
60,Aleksandr Nedovyesov,35,"1,541",36
61,Marcus Daniell,32,"1,509",25
62,Luke Saville,28,"1,505",40
63,Oliver Marach,41,"1,490",19
64,Jan Zielinski,25,"1,444",33
65,Denis Shapovalov,23,"1,425",12
66,Alexander Bublik,24,"1,400",26
67,Feliciano Lopez,40,"1,395",10
68,Andrey Rublev,24,"1,390",14
69,Hans Hach Verdugo,32,"1,387",36
70,David Vega Hernandez,27,"1,379",44
71,Andre Goransson,27,"1,353",39
72,Lloyd Glasspool,28,"1,243",30
73,Lukasz Kubot,39,"1,224",17
74,Roman Jebavy,32,"1,222",41
75,Jonathan Erlich,45,"1,201",30
76,Nathaniel Lammons,28,"1,187",46
77,Stefanos Tsitsipas,23,"1,175",13
78,Sam Querrey,34,"1,170",10
79,Aslan Karatsev,28,"1,167",17
80,Marcelo Demoliner,33,"1,150",20
81,Jonny O'Mara,27,"1,142",27
82,Andrea Vavassori,26,"1,139",46
83,Ramkumar Ramanathan,27,"1,124",29
84,Jackson Withrow,28,"1,098",40
85,Felipe Meligeni Alves,24,"1,093",37
86,Benoit Paire,32,"1,091",21
87,Hunter Reese,29,"1,083",38
88,Alexander Zverev,25,"1,080",10
