Rank,Player,Age,Points,Tournaments Played
1,Robert Farah,33,"8,380",21
2,Juan Sebastian Cabal,34,"8,380",22
3,Horacio Zeballos,35,"6,750",24
4,Nicolas Mahut,38,"6,135",23
5,Joe Salisbury,28,"5,490",27
6,Rajeev Ram,36,"5,400",25
7,Marcel Granollers,34,"5,240",24
8,Michael Venus,32,"5,155",23
9T,Lukasz Kubot,38,"5,140",26
9T,Marcelo Melo,37,"5,140",26
11,Mate Pavic,27,"5,020",27
12,Filip Polasek,35,"4,930",26
13,Ivan Dodig,35,"4,920",27
14,Raven Klaasen,37,"4,680",25
15,Wesley Koolhof,31,"4,570",29
16,Kevin Krawietz,28,"4,510",31
17,Andreas Mies,30,"4,475",31
18,Bruno Soares,38,"4,320",23
19,Nikola Mektic,31,"4,220",28
20,Horia Tecau,35,"4,070",24
21,Jean-Julien Rojer,39,"4,070",27
22,Edouard Roger-Vasselin,36,"4,060",28
23,Fabrice Martin,34,"3,845",35
24,Pierre-Hugues Herbert,29,"3,690",15
25,Oliver Marach,40,"3,450",28
26,John Peers,32,"3,440",25
27,Jamie Murray,34,"3,365",31
28,Neal Skupski,30,"3,255",32
29T,Bob Bryan,42,"3,020",16
29T,Mike Bryan,42,"3,020",16
31,Franko Skugor,33,"2,970",27
32,Jeremy Chardy,33,"2,905",18
33,Henri Kontinen,30,"2,890",23
34,Robin Haase,33,"2,859",24
35,Jurgen Melzer,39,"2,735",29
36,Joran Vliegen,27,"2,420",32
37,Rohan Bopanna,40,"2,380",31
38,Luke Saville,26,"2,352",34
39,Austin Krajicek,30,"2,250",27
40,Max Purcell,22,"2,244",31
41,Sander Gille,29,"2,135",34
42,Philipp Oswald,34,"2,105",28
43,Maximo Gonzalez,37,"2,055",23
44,Denis Shapovalov,21,"1,985",16
45,Santiago Gonzalez,37,"1,973",29
46,Diego Schwartzman,28,"1,905",18
47,Jan-Lennard Struff,30,"1,900",20
48,Marcelo Demoliner,31,"1,835",31
