Rank,Player,Year Turned Pro,Weight (kg),Height (cm),City of Birthplace,Country of Birthplace,Hand,Backhand,Coach1,Coach2
1T,Wesley Koolhof,2008,78kg,180cm,Zevenaar,Netherlands,Zevenaar,Netherlands,Rob Morgan,Mariusz Fyrstenberg
1T,Neal Skupski,2012,82kg,183cm,Liverpool,England,Liverpool,England,Ken Skupski,Louis Cayer
3,Austin Krajicek,2012,79kg,188cm,Tampa,"FL, USA",Tampa,"FL, USA",Philip Farmer,
4,Ivan Dodig,2004,81kg,183cm,Medjugorje,Bosnia-Herzegovina,Medjugorje,Bosnia-Herzegovina,Mladen Dodig,
5,Rajeev Ram,2004,84kg,193cm,Denver,"CO, USA",Denver,"CO, USA",Bryan Smith,
6,Joe Salisbury,2014,83kg,191cm,London,England,London,England,Justin Sherring,David O'Hare
7,Jan Zielinski,2019,83kg,180cm,Warsaw,Poland,Warsaw,Poland,Mariusz Fyrstenberg,
