Rank,Player,Age,Points,Tournaments Played
1,Joe Salisbury,30,"7,350",20
2,Rajeev Ram,38,"7,190",20
3,Neal Skupski,32,"6,790",25
4,Wesley Koolhof,33,"6,690",24
5,Jean-Julien Rojer,41,"5,170",27
6,Marcelo Arevalo,31,"5,050",23
7,Michael Venus,34,"4,680",24
8,Tim Puetz,34,"4,575",19
9,Mate Pavic,29,"4,450",25
10,Nikola Mektic,33,"4,245",24
11,Horacio Zeballos,37,"3,930",18
12,Marcel Granollers,36,"3,780",16
13,Nick Kyrgios,27,"3,560",9
14,Harri Heliovaara,33,"3,555",31
15,John Peers,34,"3,500",23
16T,Juan Sebastian Cabal,36,"3,475",21
16T,Robert Farah,35,"3,475",21
18,John Isner,37,"3,410",9
19,Ivan Dodig,37,"3,315",28
20,Lloyd Glasspool,28,"3,273",28
21,Thanasi Kokkinakis,26,"3,240",10
22,Rohan Bopanna,42,"3,200",27
23,Nicolas Mahut,40,"2,875",25
24,Simone Bolelli,36,"2,850",20
25,Matwe Middelkoop,39,"2,835",30
26,Filip Polasek,37,"2,815",18
27,Fabio Fognini,35,"2,775",17
28,Kevin Krawietz,30,"2,750",23
29,Austin Krajicek,32,"2,745",26
30,Andreas Mies,32,"2,730",28
31,Jamie Murray,36,"2,690",28
32,Santiago Gonzalez,39,"2,610",32
33,Matthew Ebden,34,"2,435",18
34,Pierre-Hugues Herbert,31,"2,400",10
35,Rafael Matos,26,"2,201",32
36,Max Purcell,24,"2,181",17
37,Hubert Hurkacz,25,"2,150",15
38,Jan Zielinski,25,"2,148",25
39,David Vega Hernandez,28,"2,045",34
40,Gonzalo Escobar,33,"1,945",29
41,Ariel Behar,32,"1,945",34
42,Marcelo Melo,39,"1,860",30
43,Andres Molteni,34,"1,830",30
44,Jack Sock,30,"1,815",8
45,Hugo Nys,31,"1,755",32
46,Edouard Roger-Vasselin,38,"1,725",26
47,Francisco Cabral,25,"1,647",31
48,Robin Haase,35,"1,552",21
49,Bruno Soares,40,"1,540",19
50,Jackson Withrow,29,"1,520",36
51,Andrea Vavassori,27,"1,460",28
52,Andrey Golubev,35,"1,455",26
53,Maximo Gonzalez,39,"1,425",20
54,Fabrice Martin,36,"1,420",30
55,Nathaniel Lammons,29,"1,410",38
56,Andrey Rublev,24,"1,390",13
57,Aisam-Ul-Haq Qureshi,42,"1,360",28
58,Denis Shapovalov,23,"1,350",13
59,Tomislav Brkic,32,"1,325",28
60,Aleksandr Nedovyesov,35,"1,298",27
61,Philipp Oswald,36,"1,275",28
62,Lorenzo Sonego,27,"1,240",13
63,Feliciano Lopez,41,"1,235",8
64,Stefanos Tsitsipas,24,"1,220",12
65,Fabien Reboul,27,"1,212",41
66,Ramkumar Ramanathan,27,"1,188",28
67,Nicolas Barrientos,35,"1,166",31
68,Luke Saville,28,"1,156",29
69,Alexander Erler,24,"1,156",33
70,Nikola Cacic,31,"1,140",25
71,Raven Klaasen,39,"1,125",22
72,Andre Goransson,28,"1,120",32
73,Sadio Doumbia,32,"1,114",35
74,Pedro Martinez,25,"1,105",20
75,Roman Jebavy,32,"1,105",32
76,Miguel Angel Reyes-Varela,35,"1,099",33
77,Diego Hidalgo,29,"1,087",32
78,Sander Gille,31,"1,081",29
79,Lucas Miedler,26,"1,076",32
80,Albano Olivetti,30,"1,075",36
81,Nuno Borges,25,"1,062",14
82,Jonny O'Mara,27,"1,062",24
83,Ben McLachlan,30,"1,035",30
84,William Blumberg,24,"1,020",16
85,Cristian Rodriguez,32,"1,012",30
86,Aslan Karatsev,29,"1,005",16
87,Denys Molchanov,35,946,30
88,Joran Vliegen,29,940,26
89,Robert Galloway,30,937,31
90,Sam Weissborn,30,934,31
91,John-Patrick Smith,33,927,29
92,Hans Hach Verdugo,32,914,33
93,Daniel Evans,32,895,14
94,Hunter Reese,29,895,30
95,Ivan Sabanov,30,874,33
96,Max Schnur,29,872,31
97,Matej Sabanov,30,870,35
98,David Pel,31,868,27
99,Adam Pavlasek,27,866,25
100,Saketh Myneni,34,858,27
101,Tommy Paul,25,855,16
102,Jonathan Eysseric,32,842,30
103,Treat Huey,37,822,24
104,Felipe Meligeni Alves,24,814,22
105,Szymon Walkow,27,790,32
106,Marcelo Demoliner,33,766,10
107,Alex Lawson,28,766,36
108,Marco Bortolotti,31,761,34
109,Luciano Darderi,20,758,21
110,Romain Arneodo,30,744,32
111,Henry Patten,26,739,28
112,Fernando Romboli,33,736,38
113,Dustin Brown,37,733,22
114,Yuki Bhambri,30,733,23
115,Julian Cash,26,726,30
116,Luis David Martinez,33,714,39
117,Diego Schwartzman,30,690,9
118,Igor Zelenay,39,673,20
119,Sergio Martos Gornes,27,670,37
120,Jeevan Nedunchezhiyan,33,665,32
121,N.Sriram Balaji,32,664,29
122,Victor Vlad Cornea,29,649,36
123,Zdenek Kolar,25,633,16
124,Alexander Zverev,25,630,8
125,Taylor Fritz,24,630,8
126,Fabian Fallert,25,625,32
127,Ken Skupski,39,623,17
128,Andrej Martin,33,621,20
129,Guillermo Duran,34,621,21
130,Quentin Halys,25,612,17
131,Steve Johnson,32,585,9
132,Bart Stevens,24,583,29
133,Arjun Kadhe,28,565,35
134,Artem Sitak,36,563,34
135,Evan King,30,561,35
136,Jan-Lennard Struff,32,560,8
137,Joao Sousa,33,557,8
138,Benjamin Bonzi,26,556,11
139,Ruben Gonzales,37,534,30
140,Sem Verbeek,28,533,22
141,Lloyd Harris,25,525,10
142,Vladyslav Manafov,29,523,28
143,Purav Raja,36,521,22
144,Sander Arends,31,515,17
145,Reese Stalder,25,495,30
146,Pablo Andujar,36,490,7
147,Divij Sharan,36,473,29
148,Oleg Prihodko,24,467,29
149,Dan Added,23,458,23
150,Cameron Norrie,27,450,8
151,Federico Delbonis,31,450,11
152,Jason Kubler,29,445,11
153,Manuel Guinard,26,445,15
154,Federico Zeballos,34,440,37
155,Luca Margaroli,30,436,36
156,Alexander Bublik,25,425,20
157,Yu Hsiou Hsu,23,422,26
158,Franko Skugor,35,421,18
159,Nicolas Mejia,22,421,22
160,Hendrik Jebens,27,420,33
161,Antonio Sancic,33,419,15
162,Sanjar Fayziev,28,415,33
163,Hernan Casanova,28,414,22
164,Gijs Brouwer,26,414,24
165,Nicholas Monroe,40,407,25
166,Mackenzie McDonald,27,405,12
167,Theo Arribage,21,404,38
168,Dane Sweeny,21,398,26
169,Karol Drzewiecki,26,398,29
170,Marek Gengel,27,396,27
171,Neil Oberleitner,23,388,28
172,Miomir Kecmanovic,23,385,6
173,Horia Tecau,37,380,4
174,Holger Rune,19,380,4
175,Jaume Munar,25,380,9
176,Daniel Masur,27,380,13
177,Ruben Bemelmans,34,379,13
178,Jesper de Jong,22,376,18
179,Markos Kalovelonis,28,373,27
180,Geoffrey Blancaneaux,24,372,21
181,Martin Cuevas,30,365,22
182,Andrew Harris,28,363,14
183,Andrew Paulson,20,363,26
184,Michail Pervolarakis,26,361,20
185,Alex de Minaur,23,360,10
186,Karen Khachanov,26,360,11
187,Benjamin Lock,29,360,35
188,Orlando Luz,24,356,19
189,Petros Tsitsipas,22,348,33
190,Goncalo Oliveira,27,346,23
191,Felix Auger-Aliassime,22,345,8
192,Christopher Rungkat,32,344,14
193,Enzo Couacaud,27,343,16
194,Patrik Niklas-Salminen,25,342,28
195,Nicolas Jarry,26,340,5
196,Arthur Rinderknech,27,340,8
197,Santiago Rodriguez Taverna,23,338,16
198,Renzo Olivo,30,336,13
199,Marcos Giron,29,335,7
200,Boris Arias,28,334,37
201,Roberto Quiroz,30,331,17
202,Kaichi Uchida,28,326,17
203,Grigoriy Lomakin,24,325,40
204,Andrea Collarini,30,322,23
205,Tomas Martin Etcheverry,23,319,21
206,Malek Jaziri,38,318,13
207,Murkel Dellien,25,317,30
208,Dominik Koepfer,28,315,5
209,Botic van de Zandschulp,26,315,11
210,Adrian Menendez-Maceiras,36,314,17
211,Piotr Matuszewski,24,311,31
212,Roman Andres Burruchaga,20,304,16
213,Oriol Roca Batalla,29,302,21
214,Vitaliy Sachko,25,301,20
215,Li Tu,26,298,19
216,Luca Sanchez,23,296,28
217,Maximilian Neuchrist,31,292,21
218,Grigor Dimitrov,31,290,7
219,Frances Tiafoe,24,290,9
220,Facundo Mena,30,287,16
221,Facundo Diaz Acosta,21,286,15
222,Oliver Marach,42,285,3
223,Viktor Durasovic,25,285,18
224,Christian Harrison,28,282,13
225,Alberto Barroso Campos,26,280,21
226,Michael Geerts,27,280,24
227,Jelle Sels,27,278,16
228,Roberto Carballes Baena,29,273,7
229,MinKyu Song,32,272,11
230,Adrian Mannarino,34,270,6
231,Sam Querrey,34,270,6
232,David Pichler,26,267,28
233,Alejandro Gomez,31,266,7
234,Inigo Cervantes,32,265,12
235,Sergio Galdos,32,264,19
236,Jamie Cerretani,40,258,28
237,Constantin Frantzen,24,258,29
238,Titouan Droguet,21,257,10
239,JiSung Nam,29,254,14
240,Tristan Schoolkate,21,254,26
241,Guido Andreozzi,31,253,13
242,Lukas Rosol,37,252,17
243,Kaito Uesugi,27,251,23
244,Kyrian Jacquet,21,250,9
245,Altug Celikbilek,26,250,12
