Rank,Player,Age,Points,Tournaments Played
1,Mate Pavic,28,"11,650",33
2,Nikola Mektic,32,"11,260",33
3,Joe Salisbury,29,"9,290",29
4,Rajeev Ram,37,"9,290",29
5,Nicolas Mahut,39,"9,240",29
6,Pierre-Hugues Herbert,30,"7,610",22
7,Horacio Zeballos,36,"7,600",26
8,Marcel Granollers,35,"7,173",26
9,Bruno Soares,39,"6,095",26
10,Filip Polasek,36,"5,990",33
11,Ivan Dodig,36,"5,765",32
12,Robert Farah,34,"5,355",28
13,Juan Sebastian Cabal,35,"5,265",27
14,Kevin Krawietz,29,"5,140",37
15,Edouard Roger-Vasselin,37,"5,075",32
16,Horia Tecau,36,"4,910",25
17,Lukasz Kubot,39,"4,790",32
18,Marcelo Melo,38,"4,745",34
19,Michael Venus,33,"4,740",30
20,Jamie Murray,35,"4,660",36
21,Wesley Koolhof,32,"4,650",33
22,Neal Skupski,31,"4,295",40
23,John Peers,33,"4,045",31
24,Raven Klaasen,38,"3,810",40
25,Maximo Gonzalez,38,"3,305",33
26,Luke Saville,27,"3,151",52
27,Tim Puetz,33,"3,048",31
28,Matwe Middelkoop,38,"3,045",50
29,Jurgen Melzer,40,"3,008",31
30,Simone Bolelli,35,"2,950",37
31,Max Purcell,23,"2,945",43
32,Ben McLachlan,29,"2,905",45
33,Andreas Mies,31,"2,901",33
34,Jean-Julien Rojer,40,"2,790",31
35,Joran Vliegen,28,"2,780",44
36,Sander Gille,30,"2,780",47
37,Marcelo Arevalo,30,"2,763",46
38,Andrey Golubev,34,"2,711",49
39,Franko Skugor,34,"2,670",34
40,Fabrice Martin,35,"2,625",52
41,Santiago Gonzalez,38,"2,546",44
42,Marcus Daniell,31,"2,500",45
43,Austin Krajicek,31,"2,475",37
44,Henri Kontinen,31,"2,465",26
45,Nikola Cacic,30,"2,465",55
46,Rohan Bopanna,41,"2,410",40
47,Hubert Hurkacz,24,"2,380",24
48,Philipp Oswald,35,"2,380",44
49,Gonzalo Escobar,32,"2,370",54
50,Alexander Bublik,24,"2,325",26
51,Oliver Marach,41,"2,305",40
52,Ariel Behar,31,"2,290",59
53,Tomislav Brkic,31,"2,190",53
54,Aisam-Ul-Haq Qureshi,41,"2,174",46
55,Hugo Nys,30,"2,158",49
56,Marcelo Demoliner,32,"2,115",42
57,Andres Molteni,33,"2,055",41
58,Jeremy Chardy,34,"2,016",23
59,Dominic Inglot,35,"1,945",39
60,Ken Skupski,38,"1,939",32
61,Matthew Ebden,33,"1,906",26
62,Steve Johnson,31,"1,890",13
63,Jan-Lennard Struff,31,"1,775",20
64,Jonathan Erlich,44,"1,763",46
65,Daniel Evans,31,"1,741",21
66,Andre Goransson,27,"1,706",57
67,Felix Auger-Aliassime,21,"1,695",19
68,Benoit Paire,32,"1,680",32
69,Andrey Rublev,23,"1,660",19
70,Luke Bambridge,26,"1,633",41
71,John-Patrick Smith,32,"1,616",40
72,Jonny O'Mara,26,"1,536",34
73,Andrea Vavassori,26,"1,519",60
74,Denis Shapovalov,22,"1,505",16
75,Harri Heliovaara,32,"1,504",52
76,Robin Haase,34,"1,490",24
77,Rafael Matos,25,"1,486",53
78,Karen Khachanov,25,"1,450",17
79,Aleksandr Nedovyesov,34,"1,446",48
80,Andrei Vasilevski,30,"1,435",51
81T,Bob Bryan,43,"1,410",12
81T,Mike Bryan,43,"1,410",12
83,Sam Querrey,33,"1,350",15
