Rank,Player,Age,Points,Tournaments Played
1,Mate Pavic,27,"9,760",32
2,Robert Farah,34,"9,270",28
3,Juan Sebastian Cabal,35,"9,180",27
4,Nikola Mektic,32,"8,160",33
5,Nicolas Mahut,39,"7,070",27
6,Bruno Soares,39,"6,980",27
7,Horacio Zeballos,35,"6,950",26
8,Filip Polasek,35,"6,810",31
9,Ivan Dodig,36,"6,710",29
10,Marcel Granollers,35,"6,345",26
11,Joe Salisbury,29,"6,230",29
12,Rajeev Ram,37,"6,230",29
13,Wesley Koolhof,32,"6,200",33
14,Edouard Roger-Vasselin,37,"5,820",33
15,Michael Venus,33,"5,675",27
16,Lukasz Kubot,38,"5,490",31
17,Marcelo Melo,37,"5,490",33
18,Kevin Krawietz,29,"5,405",37
19,Neal Skupski,31,"5,375",39
20,Raven Klaasen,38,"4,930",33
21,Pierre-Hugues Herbert,30,"4,885",22
22,Horia Tecau,36,"4,805",25
23,Andreas Mies,30,"4,720",33
24,Jamie Murray,35,"4,700",36
25,Fabrice Martin,34,"4,265",47
26,Jurgen Melzer,39,"4,240",33
27,Jean-Julien Rojer,39,"4,160",32
28,John Peers,32,"3,960",28
29,Jeremy Chardy,34,"3,618",24
30,Oliver Marach,40,"3,450",37
31,Henri Kontinen,30,"3,230",25
32,Joran Vliegen,27,"2,930",41
33,Philipp Oswald,35,"2,830",39
34,Luke Saville,27,"2,781",45
35,Sander Gille,30,"2,650",43
36,Franko Skugor,33,"2,615",33
37,Robin Haase,34,"2,552",27
38,Marcus Daniell,31,"2,470",40
39T,Bob Bryan,42,"2,430",16
39T,Mike Bryan,42,"2,430",16
41,Austin Krajicek,30,"2,430",33
42,Rohan Bopanna,41,"2,395",37
43,Matwe Middelkoop,37,"2,375",44
44,Maximo Gonzalez,37,"2,325",27
45,Max Purcell,23,"2,313",38
46,Marcelo Demoliner,32,"2,270",38
47,Ben McLachlan,28,"2,220",42
48,Nikola Cacic,30,"2,176",50
49,Gonzalo Escobar,32,"2,170",46
50,Ariel Behar,31,"2,165",52
51,Marcelo Arevalo,30,"2,093",42
52,Daniel Evans,30,"2,055",21
53,Santiago Gonzalez,38,"2,045",40
54,Aisam-Ul-Haq Qureshi,41,"2,035",40
55,Ken Skupski,38,"2,023",30
56,Jan-Lennard Struff,31,"1,980",22
57,Denis Shapovalov,22,"1,940",18
58,Tim Puetz,33,"1,940",32
59,Dominic Inglot,35,"1,895",38
60,Andres Molteni,33,"1,875",41
61,Diego Schwartzman,28,"1,860",19
62,Luke Bambridge,26,"1,828",40
63,Jonny O'Mara,26,"1,763",34
64,Simone Bolelli,35,"1,745",37
65,Frederik Nielsen,37,"1,740",34
66,Alex de Minaur,22,"1,730",17
67,Pablo Carreno Busta,29,"1,725",12
68,Tomislav Brkic,31,"1,708",49
69,Hugo Nys,30,"1,703",49
70,Divij Sharan,35,"1,680",47
71,Hubert Hurkacz,24,"1,650",20
72,Andrea Vavassori,25,"1,620",48
73,John-Patrick Smith,32,"1,591",35
74,Andrey Rublev,23,"1,570",18
75,Matthew Ebden,33,"1,545",20
76,Nicholas Monroe,39,"1,494",52
77,Jonathan Erlich,44,"1,462",44
78,Felix Auger-Aliassime,20,"1,440",16
79,Guido Pella,30,"1,440",22
80,Feliciano Lopez,39,"1,420",17
81,Jackson Withrow,27,"1,418",47
82,Andrey Golubev,33,"1,373",43
83,David Pel,29,"1,354",47
84,Joao Sousa,32,"1,350",23
85,Harri Heliovaara,31,"1,315",46
86,Andre Goransson,26,"1,297",53
87,Igor Zelenay,38,"1,290",43
88,Andrei Vasilevski,29,"1,283",45
89,Artem Sitak,35,"1,275",52
90,Benoit Paire,31,"1,272",31
91,Karen Khachanov,24,"1,270",17
92,Mikhail Kukushkin,33,"1,260",10
93,Sander Arends,29,"1,259",49
94,Goncalo Oliveira,26,"1,210",54
95,Nathaniel Lammons,27,"1,203",59
96,Matt Reid,30,"1,174",40
97,Denys Molchanov,33,"1,164",51
98,Romain Arneodo,28,"1,146",55
99,Guillermo Duran,32,"1,129",32
100,Alexander Bublik,23,"1,125",18
101,Robert Lindstedt,44,"1,123",34
102,Rafael Matos,25,"1,122",45
103,Aleksandr Nedovyesov,34,"1,101",35
104,Lloyd Glasspool,27,"1,097",44
105,Felipe Meligeni Alves,23,"1,086",39
106,Andre Begemann,36,"1,084",46
107,Luis David Martinez,31,"1,053",60
