Rank,Player,Age,Points,Tournaments Played
1,Robert Farah,33,"8,530",23
2,Juan Sebastian Cabal,34,"8,440",23
3,Horacio Zeballos,35,"7,180",25
4,Mate Pavic,27,"6,950",30
5,Wesley Koolhof,31,"6,590",31
6,Nicolas Mahut,38,"6,430",24
7,Bruno Soares,38,"6,430",25
8,Nikola Mektic,32,"6,330",30
9,Marcel Granollers,34,"5,775",25
10T,Lukasz Kubot,38,"5,700",28
10T,Marcelo Melo,37,"5,700",28
12,Joe Salisbury,28,"5,690",27
13,Michael Venus,33,"5,630",26
14,Rajeev Ram,36,"5,600",25
15,Edouard Roger-Vasselin,37,"5,570",33
16,Ivan Dodig,35,"5,100",27
17,Filip Polasek,35,"5,030",27
18,Raven Klaasen,38,"4,840",28
19,Kevin Krawietz,28,"4,715",33
20,Andreas Mies,30,"4,680",33
21,Jurgen Melzer,39,"4,275",33
22,Horia Tecau,35,"4,160",24
23,Pierre-Hugues Herbert,29,"4,120",17
24,Jamie Murray,34,"4,095",35
25,Jean-Julien Rojer,39,"4,070",29
26,Fabrice Martin,34,"3,935",39
27,Neal Skupski,31,"3,860",36
28,John Peers,32,"3,750",28
29,Oliver Marach,40,"3,540",31
30,Franko Skugor,33,"3,240",29
31T,Bob Bryan,42,"3,020",16
31T,Mike Bryan,42,"3,020",16
33,Henri Kontinen,30,"2,980",23
34,Jeremy Chardy,33,"2,905",18
35,Robin Haase,33,"2,884",24
36,Joran Vliegen,27,"2,680",34
37,Luke Saville,26,"2,538",40
38,Max Purcell,22,"2,444",37
39,Rohan Bopanna,40,"2,440",33
40,Sander Gille,29,"2,400",37
41,Austin Krajicek,30,"2,340",27
42,Philipp Oswald,34,"2,320",33
43,Maximo Gonzalez,37,"2,190",25
44,Marcelo Demoliner,31,"2,090",34
45,Marcus Daniell,31,"2,070",34
46,Matwe Middelkoop,37,"2,045",39
47,Santiago Gonzalez,37,"2,018",32
48,Ben McLachlan,28,"1,990",38
49,Denis Shapovalov,21,"1,985",17
50,Aisam-Ul-Haq Qureshi,40,"1,920",36
51,Diego Schwartzman,28,"1,905",18
52,Marcelo Arevalo,30,"1,903",35
53,Jan-Lennard Struff,30,"1,900",20
54,Pablo Carreno Busta,29,"1,815",12
55,Frederik Nielsen,37,"1,790",29
56,Ken Skupski,37,"1,768",28
57,Nikola Cacic,30,"1,749",42
58,Jonny O'Mara,25,"1,733",30
59,Alex de Minaur,21,"1,730",15
60,Dominic Inglot,34,"1,725",31
61,Tim Puetz,33,"1,700",28
62,Luke Bambridge,25,"1,663",35
63,Divij Sharan,34,"1,635",40
64,Feliciano Lopez,39,"1,555",16
65,Andres Molteni,32,"1,555",36
66,Hugo Nys,29,"1,555",42
67,Ariel Behar,31,"1,506",47
68,Simone Bolelli,35,"1,435",32
69,Gonzalo Escobar,31,"1,406",40
70,Jonathan Erlich,43,"1,397",37
71,Guido Pella,30,"1,395",20
72,Hubert Hurkacz,23,"1,360",15
73,Igor Zelenay,38,"1,335",37
74,Nicholas Monroe,38,"1,314",43
75,Joao Sousa,31,"1,305",18
76,Mikhail Kukushkin,33,"1,260",9
77,Felix Auger-Aliassime,20,"1,260",13
78,Artem Sitak,34,"1,215",43
79,Tomislav Brkic,30,"1,184",40
80,Karen Khachanov,24,"1,180",16
81,Andrey Rublev,23,"1,140",15
82,Jackson Withrow,27,"1,135",36
83,Sander Arends,29,"1,129",41
84,Goncalo Oliveira,25,"1,105",47
85,David Pel,29,"1,095",39
86,Andrei Vasilevski,29,"1,091",36
87,Robert Lindstedt,43,"1,088",31
88,Andrey Golubev,33,"1,083",34
89,Andre Goransson,26,"1,053",43
90,Alexander Bublik,23,"1,035",12
91,Guillermo Duran,32,"1,030",28
92,Andre Begemann,36,"1,029",40
93,Benoit Paire,31,"1,028",25
94,Dusan Lajovic,30,"1,015",17
95,Matt Reid,30,998,33
96,Andrea Vavassori,25,990,38
97,Romain Arneodo,28,983,47
98,Miguel Angel Reyes-Varela,33,982,45
99,Christopher Rungkat,30,964,27
100,Nathaniel Lammons,27,962,47
101,Stefanos Tsitsipas,22,960,14
102,Leonardo Mayer,33,959,15
103,Andy Murray,33,950,6
104,Denys Molchanov,33,943,39
105,John-Patrick Smith,31,938,29
106,Taylor Fritz,23,930,15
107,Fernando Romboli,31,927,53
108,Roman Jebavy,31,904,34
109,Sam Weissborn,29,882,40
110,Ramkumar Ramanathan,26,871,28
111,Cheng-Peng Hsieh,29,871,29
112,Dominic Thiem,27,870,8
113,Harri Heliovaara,31,868,34
114,Pablo Cuevas,34,850,19
115,JiSung Nam,27,830,27
116,David Vega Hernandez,26,827,49
117,Matthew Ebden,33,825,14
118,Reilly Opelka,23,810,10
119,Luis David Martinez,31,810,48
120,Felipe Meligeni Alves,22,797,35
121,Treat Huey,35,792,31
122,Ante Pavic,31,782,32
123,Orlando Luz,22,768,35
124,Purav Raja,35,761,37
125,Radu Albot,31,760,22
126,Hans Hach Verdugo,31,754,44
127,MinKyu Song,30,753,27
128,Evan King,28,749,33
129,Leander Paes,47,748,21
130,Marc Polmans,23,735,14
131,Aleksandr Nedovyesov,33,733,24
132,Hunter Reese,27,731,47
133,Alex Lawson,26,725,43
134,Jack Sock,28,720,7
135,Antonio Sancic,32,710,28
136,Robert Galloway,28,708,33
137,Steve Johnson,31,690,10
138,Zdenek Kolar,24,685,28
139,Rafael Matos,24,677,39
140,N.Sriram Balaji,30,668,38
141,Szymon Walkow,25,666,43
142,Fabio Fognini,33,665,14
143,Luca Margaroli,28,665,49
144,Nathan Pasha,28,655,30
145,Sem Verbeek,26,649,28
146,Gerard Granollers,31,648,33
147,Teymuraz Gabashvili,35,636,40
148,Daniel Evans,30,630,16
149,Roberto Carballes Baena,27,628,13
150,Mao-Xin Gong,33,624,24
151,Fabien Reboul,25,615,36
152,Lloyd Glasspool,27,612,34
153,Karol Drzewiecki,25,608,39
154,Sadio Doumbia,30,602,42
155,Florin Mergea,35,596,21
156,Albano Olivetti,29,583,37
157,Ze Zhang,30,579,20
158,Novak Djokovic,33,570,7
159T,Ivan Sabanov,28,567,37
159T,Matej Sabanov,28,567,37
161,Dennis Novikov,27,544,26
162,Benjamin Bonzi,24,539,24
163,Roberto Maytin,31,534,21
164,Jamie Cerretani,39,530,40
165,Arthur Rinderknech,25,529,19
166,Federico Gaio,28,523,13
167,Quentin Halys,24,520,21
168,Pedro Martinez,23,512,22
169,Federico Delbonis,30,510,8
170,Daniel Masur,26,507,27
171,Antoine Hoang,25,501,13
172,Jaume Munar,23,498,13
173,Jeevan Nedunchezhiyan,32,498,31
174,Alexander Zverev,23,495,15
175,Manuel Guinard,25,494,29
176,Max Schnur,27,491,23
177,Sergiy Stakhovsky,34,479,14
178,Peter Polansky,32,476,30
179,Sam Querrey,33,475,10
180,Tommy Paul,23,465,12
181,Sergio Martos Gornes,26,465,44
182,Gregoire Barrere,26,460,7
183,Tristan Lamasine,27,453,18
184,John Isner,35,450,7
185,Kyle Edmund,25,450,7
186,Adrian Mannarino,32,450,12
187,Cameron Norrie,25,450,12
188,Casper Ruud,22,445,9
189,Ruben Bemelmans,32,438,19
190,Salvatore Caruso,28,435,8
191,Julian Lenz,27,432,21
192,Vasek Pospisil,30,430,6
193,Andrea Pellegrino,23,430,27
194,Martin Redlicki,25,428,30
195,Oriol Roca Batalla,27,426,30
196,Adil Shamasdin,38,424,26
197,Mischa Zverev,33,420,21
198,Tsung-Hua Yang,29,416,29
199,Scott Puodziunas,31,412,35
200,Fabricio Neis,30,408,19
201,Christopher Eubanks,24,404,11
202,Enzo Couacaud,25,404,15
203,Saketh Myneni,33,401,12
204,Daniil Medvedev,24,400,7
205,Zhe Li,34,400,18
206,Guido Andreozzi,29,398,7
207,Toshihide Matsui,42,389,25
208,Sergio Galdos,30,378,32
209,Juan Ignacio Londero,27,375,17
210,Marc-Andrea Huesler,24,362,22
211,James Duckworth,28,360,3
212,Janko Tipsarevic,36,360,6
213,Jordan Thompson,26,360,13
214,Jan Zielinski,24,352,25
215,Sekou Bangoura,29,350,24
