Rank,Player,Age,Points,Tournaments Played
1,Austin Krajicek,33,"6,910",24
2T,Wesley Koolhof,34,"6,820",23
2T,Neal Skupski,33,"6,820",23
4,Ivan Dodig,38,"6,220",22
5,Rajeev Ram,39,"5,952",20
6,Joe Salisbury,31,"5,862",19
7,Jan Zielinski,26,"4,140",28
8,Harri Heliovaara,34,"4,085",25
9,Lloyd Glasspool,29,"4,085",26
10,Edouard Roger-Vasselin,39,"3,905",27
11,Rohan Bopanna,43,"3,750",26
12,Hugo Nys,32,"3,745",30
13,Santiago Gonzalez,40,"3,725",28
14T,Marcelo Arevalo,32,"3,560",23
14T,Jean-Julien Rojer,41,"3,560",23
16,Matthew Ebden,35,"3,540",27
17,Kevin Krawietz,31,"3,225",23
18,Michael Venus,35,"3,225",24
19,Andreas Mies,32,"3,215",25
20,Fabrice Martin,36,"3,200",31
21,Andres Molteni,35,"3,130",26
22T,Nikola Mektic,34,"3,125",23
22T,Mate Pavic,29,"3,125",23
24,Sander Gille,32,"3,113",28
25,Joran Vliegen,29,"3,042",25
26,Horacio Zeballos,38,"2,972",22
27,Matwe Middelkoop,39,"2,855",31
28,John Peers,34,"2,820",28
29,Tim Puetz,35,"2,805",22
30,Marcel Granollers,37,"2,792",22
31,Jason Kubler,30,"2,745",15
32,Maximo Gonzalez,39,"2,635",23
33,Jamie Murray,37,"2,500",26
34,Nathaniel Lammons,29,"2,450",34
35,Marcelo Melo,39,"2,430",30
36,Rinky Hijikata,22,"2,374",23
37,Robin Haase,36,"2,335",29
38,Alexander Erler,25,"2,320",34
39,Lucas Miedler,27,"2,275",34
40,Nicolas Mahut,41,"2,265",27
41,Simone Bolelli,37,"2,255",27
42,Jackson Withrow,29,"2,235",31
43,Andrea Vavassori,28,"2,103",27
44,Rafael Matos,27,"1,805",30
45,Fabien Reboul,27,"1,775",38
46,Sadio Doumbia,32,"1,699",28
47,Juan Sebastian Cabal,37,"1,650",19
48,David Vega Hernandez,29,"1,610",33
49,Fabio Fognini,36,"1,595",20
50,Francisco Cabral,26,"1,591",29
51,Aleksandr Nedovyesov,36,"1,585",27
52,Sam Weissborn,31,"1,509",29
53,Romain Arneodo,30,"1,507",32
54,Marcelo Demoliner,34,"1,484",22
55,Gonzalo Escobar,34,"1,450",27
56,Max Purcell,25,"1,443",23
57,Julian Cash,26,"1,425",35
58,Nick Kyrgios,28,"1,400",6
59,Andrey Rublev,25,"1,380",15
60,Henry Patten,27,"1,380",30
61,Albano Olivetti,31,"1,380",35
62,Daniel Evans,33,"1,365",14
63,Robert Farah,36,"1,350",19
64,Nikola Cacic,32,"1,330",23
65,Miguel Angel Reyes-Varela,36,"1,330",34
66,Ariel Behar,33,"1,326",29
67,Botic van de Zandschulp,27,"1,315",12
68,Andre Goransson,29,"1,315",31
69,Karen Khachanov,27,"1,290",10
70,Nicolas Barrientos,36,"1,245",32
71,Philipp Oswald,37,"1,242",33
72,Mackenzie McDonald,28,"1,240",14
73,Adam Pavlasek,28,"1,230",33
74,Ben McLachlan,31,"1,205",32
75,Yuki Bhambri,30,"1,200",30
76,Saketh Myneni,35,"1,200",31
77,Robert Galloway,30,"1,177",36
78,Maxime Cressy,26,"1,165",13
79,Guido Andreozzi,31,"1,132",30
80,Reese Stalder,26,"1,095",33
81,Tomislav Brkic,33,"1,055",18
82,Victor Vlad Cornea,29,"1,053",38
83,Guillermo Duran,35,"1,037",30
84,David Pel,31,"1,013",33
85,Denys Molchanov,36,995,33
86,Andrey Golubev,35,990,26
87,Luis David Martinez,34,975,39
88,Hendrik Jebens,27,970,38
89,Dan Added,24,954,25
90,Jack Sock,30,950,3
91,William Blumberg,25,950,19
92,Jeevan Nedunchezhiyan,34,946,32
93,John-Patrick Smith,34,920,32
94,N.Sriram Balaji,33,917,33
95,Dustin Brown,38,905,29
96,Thanasi Kokkinakis,27,900,7
97,Patrik Niklas-Salminen,26,900,33
98,Jonathan Eysseric,33,861,37
99,Constantin Frantzen,25,859,39
100,Sander Arends,31,857,27
101,Evan King,31,841,36
102,Raven Klaasen,40,820,10
103,Sergio Martos Gornes,28,809,38
104,Roman Jebavy,33,802,33
105,Jeremy Chardy,36,797,8
106,Vladyslav Manafov,30,794,37
107,Luke Saville,29,782,28
108,Petros Tsitsipas,22,770,39
109,Lorenzo Sonego,28,765,8
110,Karol Drzewiecki,27,761,37
111,Andrew Harris,29,742,30
112,Sem Verbeek,29,740,32
113,Franko Skugor,35,738,23
114,Marco Bortolotti,32,738,31
115,Bart Stevens,25,737,35
116,Pedro Martinez,26,731,18
117,Anirudh Chandrasekar,24,727,36
118,Cristian Rodriguez,33,726,23
119T,Ivan Sabanov,31,716,37
119T,Matej Sabanov,31,716,37
121,Aisam-Ul-Haq Qureshi,43,712,27
122,Theo Arribage,22,710,41
123,Diego Hidalgo,30,707,28
124,Fabian Fallert,26,704,21
125,Boris Arias,29,703,33
126,Federico Zeballos,35,695,33
127,Arjun Kadhe,29,679,31
128,Ruben Gonzales,37,664,32
129,Petr Nouza,24,659,28
130,Hans Hach Verdugo,33,656,34
131,Vijay Sundar Prashanth,36,653,35
132,Ben Shelton,20,634,18
133,Zdenek Kolar,26,634,25
134,Oleg Prihodko,25,631,32
135,Hubert Hurkacz,26,630,11
136,Jonny O'Mara,28,627,22
137,JiSung Nam,29,618,25
138,Andrea Pellegrino,26,615,18
139,Oriol Roca Batalla,30,615,28
140,Luca Sanchez,24,602,37
141,Luke Johnson,29,601,33
142,Miomir Kecmanovic,23,580,10
143,Szymon Walkow,27,566,36
144,Ivan Liutarevich,27,548,31
145,Hunter Reese,30,544,31
146,Purav Raja,37,543,29
147,Denis Shapovalov,24,540,6
148,Yuta Shimizu,24,535,20
149,Adrian Mannarino,34,525,9
150,Andrew Paulson,21,525,21
151,Yun seong Chung,25,524,20
152,Jan-Lennard Struff,33,520,9
153,Maximilian Neuchrist,31,515,21
154,Jiri Lehecka,21,505,5
155T,Toshihide Matsui,45,496,29
155T,Kaito Uesugi,28,496,29
157,Benjamin Bonzi,27,495,5
158,Alex de Minaur,24,495,10
159,Neil Oberleitner,23,487,32
160,Alex Lawson,29,485,34
161,Taylor Fritz,25,480,5
162,Joao Sousa,34,480,10
163,Artem Sitak,37,474,38
164,MinKyu Song,32,466,20
165,Divij Sharan,37,464,29
166,Inigo Cervantes,33,457,19
167,Jordan Thompson,29,455,9
168,Orlando Luz,25,451,20
169,Fernando Romboli,34,451,33
170,Stefanos Tsitsipas,24,450,8
171,Igor Zelenay,40,449,23
172,Piotr Matuszewski,25,444,37
173,Marc Polmans,26,437,11
174,Steve Johnson,33,430,5
175,Tallon Griekspoor,26,430,9
176,Michael Geerts,28,429,23
177,Marcelo Zormann,27,428,23
178,Jason Taylor,29,426,39
179,Nuno Borges,26,425,9
180,Marek Gengel,27,424,21
181,Gregoire Jacq,30,415,22
182,Rubin Statham,36,408,18
183,Felix Auger-Aliassime,22,405,3
184,Jaume Munar,26,405,11
185,Ramkumar Ramanathan,28,405,29
186,Benjamin Lock,30,400,27
187,Kai Wehnelt,27,398,38
188,Jakub Paul,24,397,23
189,Viktor Durasovic,26,397,24
190,Treat Huey,37,392,12
191,Manuel Guinard,27,392,14
192,Arthur Rinderknech,27,385,5
193,Luca Margaroli,31,383,35
194,Yu Hsiou Hsu,24,382,22
195,Oscar Otte,29,375,5
196,Tristan Schoolkate,22,373,23
197,John Isner,38,360,3
198,Holger Rune,20,360,4
199,Frances Tiafoe,25,360,10
200,Calum Puttergill,29,349,30
201,Quentin Halys,26,347,13
202,Skander Mansouri,27,343,25
203,Filip Bergevi,29,338,32
204,Thiago Seyboth Wild,23,333,15
205,Roberto Carballes Baena,30,330,10
206,Tim Sandkaulen,25,325,27
207,Kelsey Stevenson,33,325,36
208,Brandon Walkin,28,324,32
209,Charles Broom,25,323,27
210,Michail Pervolarakis,27,322,22
211,Colin Sinclair,28,321,21
212,Christopher Rungkat,33,321,23
213,Ezekiel Clark,24,319,33
214,Mikelis Libietis,30,312,23
215,Facundo Diaz Acosta,22,306,8
216,Conner Huertas del Pino,27,306,20
217,Arklon Huertas Del Pino Cordova,28,306,21
218,Ignacio Carou,23,306,30
219,Alfredo Perez,26,305,23
220,Santiago Rodriguez Taverna,23,304,19
221,Daniel Dutra da Silva,34,304,23
222,Tomas Martin Etcheverry,23,295,15
223,Alex Bolt,30,294,9
224,Giles Hussey,26,292,25
225,Mark Whitehouse,30,292,26
226,Jaime Faria,19,291,29
227,Ray Ho,23,288,32
228,Marcus Willis,32,285,26
229,Niklas Schell,24,285,29
230,Alexandru Jecan,35,282,33
231,Roman Andres Burruchaga,21,277,12
232,Kaichi Uchida,28,275,15
233,Murkel Dellien,25,275,22
234,Ignacio Monzon,25,274,29
235,Daniel Cukierman,27,273,23
236,Zvonimir Babic,27,271,32
237,Grigor Dimitrov,32,270,6
238,Marc-Andrea Huesler,27,270,7
239,Alexander Bublik,26,270,9
240,Francisco Cerundolo,24,270,13
241,Scott Duncan,28,264,33
242,Rithvik Choudary Bollipalli,22,259,25
243,Alexei Popyrin,23,255,8
244,Niki Kaliyanda Poonacha,28,255,27
245,Otto Virtanen,22,252,10
246,Renzo Olivo,31,252,14
247,Mick Veldheer,27,252,28
248,Hernan Casanova,29,247,18
249,Jesper de Jong,23,246,14
250,Adam Walton,24,246,23
251,Juan Pablo Paz,28,243,24
