Rank,Player,Age,Points,Tournaments Played
1,Mate Pavic,28,"9,320",27
2,Nikola Mektic,33,"8,985",27
3,Joe Salisbury,29,"8,173",26
4,Rajeev Ram,37,"7,923",24
5,Horacio Zeballos,36,"7,210",21
6,Marcel Granollers,35,"7,053",22
7,Nicolas Mahut,40,"6,965",25
8,Pierre-Hugues Herbert,30,"6,140",18
9T,Juan Sebastian Cabal,35,"5,210",25
9T,Robert Farah,35,"5,210",25
11,John Peers,33,"5,115",26
12,Tim Puetz,34,"5,080",27
13,Filip Polasek,36,"4,950",32
14,Kevin Krawietz,30,"4,763",32
15,Michael Venus,34,"4,646",25
16,Neal Skupski,32,"4,460",34
17,Horia Tecau,37,"4,140",18
18,Wesley Koolhof,32,"4,030",30
19,Bruno Soares,40,"3,930",22
20,Jamie Murray,36,"3,561",29
21,Simone Bolelli,36,"3,485",32
22,Ivan Dodig,37,"3,190",32
23,Jean-Julien Rojer,40,"2,923",32
24,Maximo Gonzalez,38,"2,865",28
25,Marcelo Arevalo,31,"2,830",39
26,Santiago Gonzalez,39,"2,643",43
27,Andrey Golubev,34,"2,589",42
28,Matwe Middelkoop,38,"2,578",45
29,Max Purcell,23,"2,543",31
30,Fabrice Martin,35,"2,453",45
31,Sander Gille,31,"2,450",41
32,Rohan Bopanna,41,"2,413",34
33,Andres Molteni,33,"2,390",41
34,Raven Klaasen,39,"2,386",33
35,Ben McLachlan,29,"2,357",38
36,Austin Krajicek,31,"2,295",34
37,Matthew Ebden,34,"2,294",21
38,Joran Vliegen,28,"2,290",37
39,Andreas Mies,31,"2,279",30
40,Gonzalo Escobar,33,"2,245",46
41,Ariel Behar,32,"2,245",53
42,Nick Kyrgios,26,"2,193",7
43,Marcelo Melo,38,"2,168",34
44,Tomislav Brkic,31,"2,125",42
45,Nikola Cacic,31,"2,125",46
46,Thanasi Kokkinakis,25,"2,038",4
47,Fabio Fognini,34,"1,993",16
48,Aisam-Ul-Haq Qureshi,41,"1,979",42
49,Robin Haase,34,"1,956",24
50,Harri Heliovaara,32,"1,911",43
51,Hugo Nys,31,"1,868",43
52,Edouard Roger-Vasselin,38,"1,805",22
53,Luke Saville,28,"1,793",50
54,Daniel Evans,31,"1,766",23
55,Steve Johnson,32,"1,715",12
56,Oliver Marach,41,"1,715",28
57,Lukasz Kubot,39,"1,703",18
58,Marcus Daniell,32,"1,695",36
59,Franko Skugor,34,"1,650",23
60,Andrey Rublev,24,"1,640",15
61,Ken Skupski,38,"1,634",27
62,Lloyd Glasspool,28,"1,599",36
63,Philipp Oswald,36,"1,590",36
64,Pedro Martinez,24,"1,534",26
65,Aleksandr Nedovyesov,35,"1,531",39
66,Jeremy Chardy,35,"1,506",16
67,Rafael Matos,26,"1,427",50
68,Andre Goransson,27,"1,404",47
69,Alexander Bublik,24,"1,400",28
70,Marcelo Demoliner,33,"1,384",32
71,Andrea Vavassori,26,"1,374",54
72,Jonathan Erlich,44,"1,338",37
73,Benoit Paire,32,"1,320",29
74,Hans Hach Verdugo,32,"1,301",40
75,Stefanos Tsitsipas,23,"1,295",14
76,Hubert Hurkacz,25,"1,270",20
77,Sam Querrey,34,"1,260",11
78,Denis Shapovalov,22,"1,245",11
79,Jan Zielinski,25,"1,235",35
80,Nathaniel Lammons,28,"1,234",54
81,Dominic Inglot,35,"1,231",29
82,Matt Reid,31,"1,204",44
83,Denys Molchanov,34,"1,201",43
84,Jonny O'Mara,26,"1,185",32
85,Feliciano Lopez,40,"1,170",11
86,Aslan Karatsev,28,"1,162",17
87,David Vega Hernandez,27,"1,153",50
88,Jackson Withrow,28,"1,150",44
89,John-Patrick Smith,33,"1,119",38
90,Romain Arneodo,29,"1,105",47
91,Matej Sabanov,29,"1,102",48
92,Felipe Meligeni Alves,24,"1,089",39
93,Szymon Walkow,26,"1,077",48
94,Ivan Sabanov,29,"1,074",47
95,Ramkumar Ramanathan,27,"1,071",30
96,Roman Jebavy,32,"1,057",41
97,Sander Arends,30,"1,055",28
98,Frederik Nielsen,38,"1,047",30
99,Fabien Reboul,26,"1,041",55
100,Sadio Doumbia,31,"1,041",59
101,Pablo Andujar,36,"1,035",8
102,Hunter Reese,29,"1,034",43
103,Andrei Vasilevski,30,997,36
104,Orlando Luz,24,981,49
105,Alexander Erler,24,969,33
106,Fernando Romboli,33,965,59
107,Dominik Koepfer,27,954,15
108,Goncalo Oliveira,27,945,50
109,Miguel Angel Reyes-Varela,34,937,45
110T,Bob Bryan,43,935,9
110T,Mike Bryan,43,935,9
112,Robert Galloway,29,934,38
113,Sam Weissborn,30,933,43
114,Alex Lawson,28,926,48
115,Albano Olivetti,30,923,48
116,Evan King,29,886,48
117,Lucas Miedler,25,885,36
118,David Pel,30,876,32
119,Sem Verbeek,27,873,36
120,Max Schnur,29,867,42
121,Jan-Lennard Struff,31,855,16
122,Henri Kontinen,31,855,16
123,Artem Sitak,36,841,52
124,Lorenzo Sonego,26,835,13
125,Felix Auger-Aliassime,21,825,14
126,Jannik Sinner,20,815,11
127,Nicholas Monroe,39,805,45
128,John Isner,36,790,7
129,Jurgen Melzer,40,768,16
130,Guillermo Duran,33,766,34
131,Dustin Brown,37,762,30
132,Luke Bambridge,27,756,23
133,Lloyd Harris,25,750,11
134,Nicolas Barrientos,34,741,34
135,Sergiy Stakhovsky,36,737,21
136,Benjamin Bonzi,25,733,24
137,Zdenek Kolar,25,727,32
138,Diego Hidalgo,28,727,39
139,Antonio Sancic,33,726,28
140,Luis David Martinez,32,723,56
141,Alex de Minaur,23,720,14
142,Divij Sharan,35,714,38
143,Francisco Cabral,25,696,46
144,Andre Begemann,37,695,32
145,Igor Zelenay,39,691,36
146,Jack Sock,29,690,12
147,Alexander Zverev,24,675,12
148,Nuno Borges,25,652,17
149,Joao Sousa,32,648,18
150,Treat Huey,36,648,29
151,Marc Polmans,24,645,21
152,Sergio Galdos,32,644,38
153,Jesper de Jong,21,642,37
154,Diego Schwartzman,29,638,14
155,Sergio Martos Gornes,27,629,57
156,N.Sriram Balaji,31,625,50
157,Cameron Norrie,26,608,13
158,Guido Pella,31,608,15
159,Karol Drzewiecki,26,606,39
160,William Blumberg,24,600,9
161,Jaume Munar,24,599,17
162,Andrej Martin,32,598,20
163,Arthur Rinderknech,26,597,15
164,Vitaliy Sachko,24,588,33
165,Jamie Cerretani,40,573,48
166,Marc-Andrea Huesler,25,569,23
167,Cristian Rodriguez,31,565,35
168,Marco Bortolotti,31,558,51
169,Reilly Opelka,24,550,9
170,Karen Khachanov,25,540,11
171,Alejandro Gomez,30,537,34
172,Dominic Stricker,19,514,12
173,Manuel Guinard,26,509,34
174,Victor Vlad Cornea,28,503,49
175,Peter Polansky,33,496,26
176,Arjun Kadhe,28,491,41
177,Fabian Fallert,24,489,35
178,Jordan Thompson,27,488,17
179,Radu Albot,32,477,20
180,Andy Murray,34,475,6
181,Antoine Hoang,26,474,15
182,Taylor Fritz,24,473,12
183,Luca Margaroli,30,472,52
184,Jeevan Nedunchezhiyan,33,470,38
185,Ruben Gonzales,36,467,42
186,Emil Ruusuvuori,22,464,15
187,Purav Raja,36,464,39
188,Ricardas Berankis,31,450,9
189,Federico Delbonis,31,450,15
190,Sebastian Korda,21,444,6
191,Dennis Novikov,28,434,28
192,Christopher Rungkat,32,431,20
193,Quentin Halys,25,428,20
194,Roberto Carballes Baena,28,424,15
195,Bart Stevens,24,418,38
196,Ruben Bemelmans,34,415,17
197,Martin Cuevas,30,413,29
198,Yu Hsiou Hsu,22,411,44
199,Tommy Paul,24,405,13
200,Jonathan Eysseric,31,404,30
201,Julian Lenz,29,403,23
202,Roberto Quiroz,30,392,31
203,Federico Zeballos,33,391,46
204,Vladyslav Manafov,28,389,37
205,Hunter Johnson,27,389,44
206,Petros Tsitsipas,21,384,38
207,Dan Added,22,369,35
208,Thiago Monteiro,27,368,12
209,JC Aragone,26,365,32
210,Gijs Brouwer,25,363,38
211,Daniil Medvedev,26,360,5
212,Casper Ruud,23,360,7
213,Frances Tiafoe,24,360,10
214,Adrian Mannarino,33,360,11
215,Robert Lindstedt,44,360,17
216,Dominic Thiem,28,345,4
217,Jiri Lehecka,20,343,18
218,Benjamin Lock,28,338,54
219,Marcos Giron,28,335,9
220,Renzo Olivo,29,331,19
221,Vasek Pospisil,31,330,7
222,Hugo Gaston,21,330,12
223,Daniel Masur,27,330,18
224,Saketh Myneni,34,330,18
225,Facundo Mena,29,327,27
226,Pablo Cuevas,36,326,13
227,Botic van de Zandschulp,26,324,13
228,Tristan Lamasine,28,322,18
229,Christian Harrison,27,319,16
230,Tim van Rijthoven,24,317,15
231,Denis Kudla,29,313,15
232,Enzo Couacaud,26,312,18
233,Piotr Matuszewski,23,307,36
234,Nino Serdarusic,25,306,18
235,Mark Vervoort,31,302,37
236,Adrian Menendez-Maceiras,36,296,25
237,Reese Stalder,25,296,34
238,Marton Fucsovics,30,293,10
239,Dane Sweeny,21,291,30
240,Hernan Casanova,28,289,32
241,Tomas Martin Etcheverry,22,284,29
242,Michail Pervolarakis,25,284,30
243,Markus Eriksson,32,284,39
244,Luciano Darderi,20,282,18
245,Tomas Barrios Vera,24,280,14
246,Alexei Popyrin,22,279,8
247,JiSung Nam,28,277,24
248,Carlos Gomez-Herrera,31,274,17
249,Marek Gengel,26,274,51
250,Skander Mansouri,26,272,27
251,Guido Andreozzi,30,271,18
252,Vishnu Vardhan,34,271,24
253,Jelle Sels,26,271,24
254,Matteo Berrettini,25,270,7
255,John Millman,32,270,8
256,Francisco Cerundolo,23,270,23
257,Francesco Forti,22,269,29
258,Facundo Bagnis,32,268,13
259,Nathan Pasha,29,268,21
260,Geoffrey Blancaneaux,23,267,30
261,Andrea Pellegrino,24,266,29
262,Jakub Paul,22,266,30
263,Federico Coria,29,263,21
264,Michael Geerts,27,261,33
265,Alexandr Cozbinov,26,261,46
266,Giulio Zeppieri,20,258,16
267,Alexander Merino,29,258,50
268,Teymuraz Gabashvili,36,255,32
269,Camilo Ugo Carabelli,22,254,33
270,Mitchell Krueger,28,253,18
271,Blaz Rola,31,251,9
272,Ante Pavic,32,250,19
273,Cristian Garin,25,248,16
274,Dusan Lajovic,31,248,21
275,Tennys Sandgren,30,243,11
276,Vit Kopriva,24,243,28
277,Mateus Alves,21,241,33
278,Corentin Denolly,24,240,31
279,Soonwoo Kwon,24,238,8
280,Li Tu,25,237,9
281,Stefano Travaglia,30,233,18
282,Pedro Cachin,26,232,15
283,Roman Safiullin,24,232,19
284,Nicolas Jarry,26,230,9
285,Christopher Eubanks,25,227,8
286,Ze Zhang,31,227,17
287,Riccardo Bonadio,28,227,29
288,Leander Paes,48,226,15
289,Mao-Xin Gong,34,226,15
290,Boris Arias,28,226,39
291,Miomir Kecmanovic,22,225,10
292,Filip Krajinovic,30,225,10
293,Liam Broady,28,225,15
294,Roberto Ortega-Olmedo,30,224,21
295,Franco Agamenone,28,224,29
296,Santiago Rodriguez Taverna,22,224,36
297,Thiago Agustin Tirante,20,222,20
298,Leandro Riedi,20,221,15
299,Mackenzie McDonald,26,221,16
300,David Pichler,26,217,38
301,Lukas Rosol,36,213,11
302,Jonas Forejtek,20,213,15
303,Luis Patino,28,213,31
304,Roberto Maytin,33,212,13
305,Denis Yevseyev,28,212,36
306,Stefan Kozlov,24,211,6
307,Michael Vrbensky,22,211,26
308,Grigoriy Lomakin,23,211,49
309,Cheng-Peng Hsieh,30,209,14
310,Alejandro Tabilo,24,208,16
311,Daniel Altmaier,23,205,17
312,Jacopo Berrettini,23,204,21
313,Andrew Paulson,20,204,25
314,Luca Castelnuovo,25,204,42
315,Leonardo Mayer,34,203,9
316,Maxime Janvier,25,203,18
317,Neil Oberleitner,22,203,31
318,Glenn Smits,31,203,34
319,Malek Jaziri,38,202,15
320,Kacper Zuk,23,202,20
321,Sekou Bangoura,30,200,26
322,David Marrero,41,200,26
323,Federico Gaio,29,199,8
324,Mats Hermans,25,199,31
325,Markos Kalovelonis,27,199,38
326,Igor Sijsling,34,198,15
327,Tristan Schoolkate,21,197,21
328,Thomas Fancutt,27,197,33
329,Yasutaka Uchiyama,29,196,11
330,Thai-Son Kwiatkowski,27,196,13
331,Sanjar Fayziev,27,196,34
332,Michael Mmoh,24,195,4
333,Julian Ocleppo,24,194,30
334,Alexandru Jecan,33,192,48
335,Hendrik Jebens,26,190,26
336,Junior A. Ore,29,189,31
337,Conner Huertas del Pino,26,189,35
338,Oscar Jose Gutierrez,28,189,40
339,Javier Barranco Cosano,23,187,31
340,Ernesto Escobedo,25,185,10
341,Fabricio Neis,31,183,14
342,Alberto Barroso Campos,25,183,29
343,Filip Bergevi,27,182,38
344,Novak Djokovic,34,180,3
345,Pablo Carreno Busta,30,180,6
346,Alejandro Davidovich Fokina,22,180,7
347,Yoshihito Nishioka,26,180,9
348,Lorenzo Musetti,19,180,11
349,Nikoloz Basilashvili,30,180,16
350,Altug Celikbilek,25,180,23
351,Facundo Diaz Acosta,21,179,24
352,Gregoire Barrere,28,178,12
353,Raul Brancaccio,24,178,31
354,Niklas Schell,23,174,21
355,Daniel Dutra da Silva,33,174,27
356,Pavel Kotov,23,173,23
357,Matias Franco Descotte,27,170,24
358,MinKyu Song,31,169,14
359,Oleksii Krutykh,21,169,30
360,Alexandre Muller,25,168,12
361,Maximilian Neuchrist,30,168,22
362,Jason Kubler,28,167,8
363,Oriol Roca Batalla,28,166,28
364,Alastair Gray,23,165,12
365,Jiri Vesely,28,165,15
366,Oleg Prihodko,24,165,42
367,Yannick Hanfmann,30,164,6
368,Liam Draxl,20,164,17
369,Jason Jung,32,164,17
370,Peter Heller,29,164,29
371,Yan Bondarevskiy,21,163,41
372,Tallon Griekspoor,25,162,11
373,Gustavo Heide,20,161,13
374,Nicolas Mejia,22,161,23
375,Gilbert Klier Junior,21,161,25
376,Juan Pablo Varillas,26,160,19
377,Yun seong Chung,23,160,22
378,Jo-Wilfried Tsonga,36,158,4
379,Gerard Granollers,33,158,15
380,Toshihide Matsui,43,158,26
381,Brayden Schnur,26,157,21
382,Rinky Hijikata,21,156,24
383,Igor Marcondes,24,155,25
384,Luke Johnson,27,154,32
385,Theo Arribage,21,154,32
386,Kai Wehnelt,26,154,40
387,Rudolf Molleker,21,153,12
388,Salvatore Caruso,29,152,10
389,Hugo Grenier,25,152,16
390,Elias Ymer,25,151,11
391,Khumoyun Sultanov,23,150,29
392,Ignacio Carou,22,150,46
393,Matheus Pucinelli De Almeida,20,149,24
394,Aleksandar Vukic,25,148,11
395,Alexander Ritschard,27,148,13
396,David Poljak,25,148,40
397,Yannik Steinegger,21,146,31
398,Aidan McHugh,21,145,16
399,Chun-Hsin Tseng,20,145,18
400,Arthur Bouquier,21,145,23
401,Ryan Nijboer,22,145,36
402,Mariano Kestelboim,26,145,37
403,Florin Mergea,37,144,9
404,Kyrian Jacquet,20,144,13
405,Flavio Cobolli,19,144,18
406,Adil Shamasdin,39,142,19
407,Gonzalo Villanueva,27,142,34
408,Joao Lucas Reis Da Silva,21,141,36
409,Evgenii Tiurnev,24,140,27
410,Alex Molcan,24,138,7
411,Eduard Esteve Lobato,27,138,23
412,Alexander Donski,23,138,35
413,Ruan Roelofse,32,137,26
414T,Marin Cilic,33,135,6
414T,Peter Gojowczyk,32,135,6
416,Bjorn Fratangelo,28,135,7
417,Marco Cecchinato,29,135,13
418,Scott Puodziunas,32,134,23
419,Goncalo Falcao,34,134,38
420,Matias Zukas,25,133,40
421,Jeremy Beale,27,132,17
422,Matteo Martineau,23,132,25
423,Paolo Lorenzi,40,131,7
424,Joao Menezes,25,131,10
425,Juan Pablo Ficovich,25,131,18
426,Kaito Uesugi,26,131,21
427,Jorge Panta,26,131,29
428,Mario Vilella Martinez,26,130,7
429,Oscar Otte,28,130,8
430,Shintaro Imai,28,130,27
431,Emilio Gomez,30,128,17
432,Francesco Passaro,21,128,26
433,Carlos Sanchez Jover,21,128,29
434,Tomas Machac,21,127,9
435,Alex Rybakov,25,127,15
436,Juan Bautista Torres,19,127,20
437,Ivan Gakhov,25,127,24
438,Vladyslav Orlov,26,127,33
439,Evan Hoyt,27,125,19
440,Pedro Sakamoto,28,125,20
441,Blake Ellis,23,125,25
442,Genaro Alberto Olivieri,23,125,26
443,Jose Fco. Vidal Azorin,28,125,38
444,Naoki Tajima,21,124,41
445,Jurij Rodionov,22,123,8
446,Filip Horansky,29,122,5
447,Andreas Siljestrom,40,122,12
448,Ergi Kirkin,23,122,19
449,Mick Veldheer,25,121,41
450,Zhe Li,35,120,10
451,Donald Young,32,119,8
452,Leonardo Aboian,23,119,28
453,Lucas Gerch,27,118,32
454,Juan Ignacio Galarza,27,118,32
455,Bogdan Bobrov,24,117,36
456,Martin Redlicki,26,116,15
457,Kimmer Coppejans,28,116,18
458,Holger Rune,18,113,4
459,Mischa Zverev,34,113,10
460,Zizou Bergs,22,113,14
461,Evgeny Karlovskiy,27,113,14
462,Jeroen Vanneste,28,113,23
463,Dan Alexandru Tomescu,22,113,27
464,Adam Pavlasek,27,112,16
465,Cezar Cretu,20,112,18
466,Andrea Collarini,30,112,20
467,Aziz Dougaz,24,112,25
468,Gabriel Roveri Sidney,24,112,26
469,Ugo Blanchet,23,112,28
470,Tomas Lipovsek Puches,28,112,29
471,Wilson Leite,30,112,37
472,Mats Moraing,29,111,10
473,Hugo Dellien,28,111,14
474,Yates Johnson,27,111,28
475,Damien Wenger,21,111,32
476,Christopher O'Connell,27,110,8
477,Gerald Melzer,31,109,5
478,Ray Ho,22,108,31
479,Juan Pablo Paz,27,108,34
480,Volodoymyr Uzhylovskyi,33,108,49
481,Brandon Nakashima,20,107,7
482,Borna Gojo,24,107,10
483,Nerman Fatic,27,107,18
484,Julian Cash,25,107,19
485,Mark Whitehouse,28,107,32
486,Ivan Liutarevich,26,106,19
487,Uladzimir Ignatik,31,106,20
488,Alessandro Bega,31,105,21
489,Beibit Zhukayev,21,105,21
490,Arthur Reymond,22,105,32
491,Kamil Majchrzak,26,104,8
492,Dmitry Popko,25,104,18
493,Constantin Schmitz,26,104,26
494,Arthur Cazaux,19,103,4
495,Matthew Christopher Romios,22,103,32
496,Tuna Altuna,33,103,39
497,Moez Echargui,29,101,13
498,Giovanni Fonio,23,101,18
499,Evan Zhu,23,101,31
500,Sebastian Fanselow,30,100,20
501,Timur Khabibulin,26,100,21
502,Vijay Sundar Prashanth,35,100,29
503,Oleksandr Ovcharenko,20,100,29
504,Kaichi Uchida,27,99,17
505,Ajeet Rai,23,99,23
506,Francisco Comesana,21,99,27
507,Michal Dembek,24,99,32
508,Charles Broom,23,98,20
509,Clement Tabur,22,98,25
510,Konstantin Kravchuk,37,97,18
511,Eric Vanshelboim,20,97,27
512,Lukas Klein,23,96,6
513,Akira Santillan,24,96,13
514,Felix Corwin,25,96,34
515,Mikael Torpegaard,27,95,3
516,Courtney John Lock,25,95,32
517,Patrik Rikl,23,94,10
518,Luis Faria,22,94,34
519,Alessandro Motti,43,93,11
520,Seongchan Hong,24,93,19
521,Mats Rosenkranz,23,93,20
522,Daniele Capecchi,26,93,22
523,Ben Jones,23,93,25
524,Francesco Vilardo,32,93,38
525,Anis Ghorbel,32,93,40
526,Peter Nagy,29,91,21
527,Martin Damm,18,91,22
528,Yuta Shimizu,22,91,25
529,Xavier Malisse,41,90,1
530,Yen-Hsun Lu,38,90,2
531,Aljaz Bedene,32,90,3
532,Kyle Edmund,27,90,3
533,Ilya Ivashka,28,90,4
534,Tomislav Draganja,27,90,10
535T,Laslo Djere,26,90,11
535T,Albert Ramos-Vinolas,34,90,11
537,Marc Lopez,39,90,13
538,Titouan Droguet,20,90,13
539,Aziz Ouakaa,22,90,39
540,Valerio Aboian,19,89,15
541,Benjamin Hassan,27,88,12
542,Murkel Dellien,24,88,15
543,Miguel Fernando Pereira,22,88,21
544,Nick Chappell,29,88,27
545,Jay Clarke,23,86,13
546,Aleksandre Metreveli,28,86,18
547,Alexis Galarneau,22,85,12
548,Calum Puttergill,28,85,14
549,Duje Ajdukovic,21,85,19
550,Zvonimir Babic,26,85,25
551,Darian King,29,84,9
552,Colin Sinclair,27,84,27
553,Mikhail Kukushkin,34,83,5
554,Mirza Basic,30,83,7
555,Lucas Pouille,28,83,11
556,Denis Istomin,35,83,11
557,Johannes Ingildsen,24,83,14
558,Shintaro Mochizuki,18,83,16
559,Martins Podzus,27,83,19
560,Marat Deviatiarov,27,83,28
561,Remy Bertola,23,83,33
562,Fabio Coelho,21,83,34
563,Mukund Sasikumar,25,82,9
564,John Paul Fruttero,40,82,14
565,Roberto Cid Subervi,28,82,16
566,Mariano Navone,21,82,26
567,Imanol Lopez Morillo,22,82,27
568,Dragos Nicolae Madaras,24,82,34
569,Roman Andres Burruchaga,20,81,20
570,Sergey Fomin,21,81,24
571,Rio Noguchi,23,81,41
572,Blaz Kavcic,34,80,2
573,Jack Draper,20,80,9
574,Daniel Cukierman,26,80,16
575,Alejo Lorenzo Lingua Lavallen,20,80,23
576,Carlos Lopez Montagud,21,80,24
577,Maximilian Marterer,26,79,5
578,Frederico Ferreira Silva,26,79,8
579,Alexander Weis,24,79,28
580,Facundo Juarez,24,79,36
581,Fermin Tenti,24,79,43
582,Zhizhen Zhang,25,78,13
583,Benjamin Winter Lopez,23,78,30
584,Runhao Hua,25,77,14
585,Franco Emanuel Egea,26,77,24
586,Fabian Marozsan,22,77,24
587,Guy Orly Iradukunda,25,77,25
588,Milos Karol,19,76,12
589,Ryan Peniston,26,76,15
590,Simon Freund,25,76,25
591,Takuto Niki,34,76,32
592,Thiago Seyboth Wild,21,75,12
593,Scott Clayton,28,75,14
594,Joshua Paris,25,75,18
595,Petr Nouza,23,75,22
596,Daniel Michalski,22,75,23
597,Ben Shelton,19,74,5
598,Dimitar Kuzmanov,28,74,6
599,Alejandro Gonzalez,33,74,20
600,Anirudh Chandrasekar,23,74,30
601,Nicholas David Ionel,19,74,30
602,Andrew Harris,27,73,7
603,Sanchai Ratiwatana,40,73,15
604,Vasil Kirkov,22,72,20
605,Pedro Araujo,19,72,22
606,Emiliano Maggioli,20,72,24
607,Jaime Faria,18,71,12
608,Petros Chrysochos,25,71,13
609,Eero Vasa,25,71,17
610,Guy Den Ouden,19,70,15
611,Tung-Lin Wu,23,70,16
612,Samuel Vincent Ruggeri,19,70,18
613,Robert Strombachs,22,70,30
614,Thiemo de Bakker,33,69,3
615,Luca Van Assche,17,69,6
616,Dennis Novak,28,69,8
617,Harold Mayot,20,69,13
618,Tsung-Hua Yang,30,69,16
619,Alfredo Perez,24,69,16
620,Manuel Pena Lopez,24,69,19
621,Harry Bourchier,26,69,20
622,Nikolas Sanchez Izquierdo,22,69,25
623,Giorgio Ricca,27,69,33
624,Ignacio Monzon,24,69,33
625,Milos Raonic,31,68,2
626,Inigo Cervantes,32,68,7
627,Jaroslav Pospisil,41,68,16
628,Brandon Walkin,27,68,20
