Rank,Player,Age,Points,Tournaments Played
1,Joe Salisbury,30,"7,530",21
2,Rajeev Ram,38,"7,280",19
3,Horacio Zeballos,37,"5,505",18
4,Marcel Granollers,36,"5,355",17
5,Neal Skupski,32,"5,115",26
6,Wesley Koolhof,33,"5,060",23
7,Marcelo Arevalo,31,"4,670",26
8,Mate Pavic,29,"4,600",25
9,Jean-Julien Rojer,40,"4,510",26
10,Nikola Mektic,33,"4,350",24
11,Michael Venus,34,"4,275",23
12,Tim Puetz,34,"3,825",17
13,John Peers,33,"3,695",22
14,Filip Polasek,37,"3,670",23
15,Jamie Murray,36,"3,505",25
16,Ivan Dodig,37,"3,480",28
17,Austin Krajicek,32,"3,465",26
18,Rohan Bopanna,42,"3,425",28
19,John Isner,37,"3,410",9
20T,Juan Sebastian Cabal,36,"3,250",21
20T,Robert Farah,35,"3,250",21
22,Matwe Middelkoop,38,"3,165",32
23,Nicolas Mahut,40,"3,100",25
24,Kevin Krawietz,30,"2,840",23
25,Harri Heliovaara,33,"2,786",31
26,Pierre-Hugues Herbert,31,"2,760",11
27,Thanasi Kokkinakis,26,"2,720",7
28,Santiago Gonzalez,39,"2,715",31
29,Nick Kyrgios,27,"2,675",7
30,Fabio Fognini,35,"2,615",16
31,Bruno Soares,40,"2,560",18
32,Simone Bolelli,36,"2,435",20
33,Matthew Ebden,34,"2,388",16
34,Lloyd Glasspool,28,"2,387",29
35,Andreas Mies,31,"2,370",29
36,Rafael Matos,26,"2,341",33
37,Hubert Hurkacz,25,"2,310",17
38,Max Purcell,24,"2,294",18
39,Andres Molteni,34,"2,205",29
40,David Vega Hernandez,28,"2,070",37
41,Steve Johnson,32,"1,875",8
42,Marcelo Melo,38,"1,845",28
43,Andrey Golubev,35,"1,780",33
44,Ariel Behar,32,"1,700",37
45,Gonzalo Escobar,33,"1,655",28
46,Maximo Gonzalez,39,"1,605",20
47,Fabrice Martin,35,"1,600",30
48,Robin Haase,35,"1,540",21
49,Francisco Cabral,25,"1,538",33
50,Tomislav Brkic,32,"1,525",31
51,Raven Klaasen,39,"1,475",24
52,Sander Gille,31,"1,470",27
53,Ben McLachlan,30,"1,452",33
54,Aisam-Ul-Haq Qureshi,42,"1,450",29
55,Nikola Cacic,31,"1,410",29
56,Jan Zielinski,25,"1,404",28
57,Andrey Rublev,24,"1,390",12
58,Jack Sock,29,"1,360",9
59,Denis Shapovalov,23,"1,350",11
60,Horia Tecau,37,"1,340",8
61,Aleksandr Nedovyesov,35,"1,323",30
62,Joran Vliegen,29,"1,310",26
63,Hugo Nys,31,"1,305",33
64,Ramkumar Ramanathan,27,"1,267",28
65,Jonny O'Mara,27,"1,259",26
66,Jackson Withrow,29,"1,234",37
67,Alexander Erler,24,"1,231",31
68,Feliciano Lopez,40,"1,190",8
69,Andrea Vavassori,27,"1,188",31
70,Edouard Roger-Vasselin,38,"1,185",22
71,Miguel Angel Reyes-Varela,35,"1,182",37
72,Nathaniel Lammons,28,"1,181",39
73,Roman Jebavy,32,"1,180",33
74,Luke Saville,28,"1,170",29
75,Sadio Doumbia,31,"1,161",44
76,Fabien Reboul,26,"1,160",44
77,Lucas Miedler,26,"1,149",33
78,Nicolas Barrientos,35,"1,129",38
79,Cristian Rodriguez,32,"1,127",32
80,Aslan Karatsev,28,"1,113",19
81,Diego Hidalgo,29,"1,092",34
82,Hans Hach Verdugo,32,"1,057",34
83,Nuno Borges,25,"1,054",15
84,Hunter Reese,29,"1,054",30
85,Stefanos Tsitsipas,23,"1,040",11
86,Philipp Oswald,36,"1,033",27
87,Felipe Meligeni Alves,24,"1,033",28
88,Albano Olivetti,30,"1,016",37
89,Sam Querrey,34,990,7
90,Robert Galloway,29,986,31
91,Pedro Martinez,25,971,21
92,Denys Molchanov,35,964,30
93,Max Schnur,29,961,33
94,Andre Goransson,28,925,34
95,Romain Arneodo,29,897,35
96,Sam Weissborn,30,887,30
97,John-Patrick Smith,33,858,28
98,Matej Sabanov,30,857,38
99,Ivan Sabanov,30,856,36
100,Szymon Walkow,26,849,34
101,Alex Lawson,28,816,38
102,Lorenzo Sonego,27,810,12
103,Tommy Paul,25,810,15
104,Fernando Romboli,33,796,40
105,William Blumberg,24,775,14
106,Luis David Martinez,33,771,40
107,Luciano Darderi,20,770,24
108,Evan King,30,765,36
109,Treat Huey,36,756,24
110,N.Sriram Balaji,32,733,34
111,Jonathan Eysseric,32,731,26
112,Alexander Zverev,25,720,9
113,Marco Bortolotti,31,714,38
114,Diego Schwartzman,29,713,10
115,Ken Skupski,39,713,21
116,Andrej Martin,32,708,25
117,David Pel,31,703,26
118,Zdenek Kolar,25,701,19
119,Igor Zelenay,39,701,21
120,Artem Sitak,36,700,34
121,Saketh Myneni,34,682,24
122,Taylor Fritz,24,675,10
123,Sergio Martos Gornes,27,666,40
124,Bart Stevens,24,665,31
125,Jannik Sinner,20,655,8
126,Orlando Luz,24,653,27
127,Jan-Lennard Struff,32,650,10
128,Guillermo Duran,34,636,20
129,Antonio Sancic,33,632,18
130,Jeevan Nedunchezhiyan,33,631,32
131,Victor Vlad Cornea,28,622,40
132,Lloyd Harris,25,615,11
133,Fabian Fallert,25,587,33
134,Arjun Kadhe,28,586,36
135,Sander Arends,30,568,18
136,Benjamin Bonzi,26,567,12
137,Adam Pavlasek,27,564,20
138,Marcus Daniell,32,563,12
139,Ruben Gonzales,36,563,35
140,Oliver Marach,42,555,8
141,Arthur Rinderknech,27,555,10
142,Sem Verbeek,28,552,23
143,Cameron Norrie,26,540,12
144,Henry Patten,26,535,22
145,Julian Cash,25,529,27
146,Benoit Paire,33,528,14
147,Goncalo Oliveira,27,523,30
148,Dustin Brown,37,514,20
149,Karol Drzewiecki,26,513,32
150,Jesper de Jong,22,498,23
151,Dominik Koepfer,28,495,7
152,Jonathan Erlich,45,492,22
153,Pablo Andujar,36,490,7
154,Nicholas Monroe,40,475,28
155,Luca Margaroli,30,475,38
156,Ruben Bemelmans,34,468,14
157,Yuki Bhambri,30,468,18
158,Marcelo Demoliner,33,458,10
159,Petros Tsitsipas,21,457,36
160,Franko Skugor,34,456,15
161,Federico Delbonis,31,450,13
162,Federico Zeballos,34,450,35
163,Daniel Masur,27,444,13
164,Alejandro Gomez,30,444,16
165,Manuel Guinard,26,443,17
166,Marek Gengel,26,436,35
167,Purav Raja,36,435,23
168,Gijs Brouwer,26,431,26
169,Yu Hsiou Hsu,23,431,32
170,Geoffrey Blancaneaux,23,430,25
171,Lukasz Kubot,40,412,16
172,Dan Added,23,409,26
173,Martin Cuevas,30,408,27
174,Alex de Minaur,23,405,11
175,Reese Stalder,25,405,32
176,Nicolas Mejia,22,398,22
177,Sanjar Fayziev,27,395,30
178,Renzo Olivo,30,386,15
179,Dane Sweeny,21,381,30
180,Frances Tiafoe,24,380,8
181,Markos Kalovelonis,28,376,31
182,Jordan Thompson,28,375,9
183,Michail Pervolarakis,26,375,22
184,Jamie Cerretani,40,372,35
185,Quentin Halys,25,371,17
186,Divij Sharan,36,368,27
187,Matt Reid,32,362,20
188,Ricardas Berankis,32,360,5
189,Karen Khachanov,26,360,11
190,Vitaliy Sachko,25,352,24
191,Hendrik Jebens,26,350,32
192,Piotr Matuszewski,24,346,33
193,Dominic Inglot,36,345,8
194,Felix Auger-Aliassime,21,345,10
195,Nicolas Jarry,26,340,5
196,Andrei Vasilevski,31,340,10
197,Christian Harrison,28,340,16
198,Vladyslav Manafov,29,338,25
199,Andrea Collarini,30,337,24
200,Marcos Giron,29,335,8
201,Jaume Munar,25,335,11
202,Alexander Bublik,25,335,24
203,Hernan Casanova,28,335,25
204,Boris Arias,28,331,35
205,Frederik Nielsen,38,322,11
206,Li Tu,26,318,19
207,Andrew Harris,28,317,12
208,Roberto Quiroz,30,317,21
209,Sebastian Korda,22,315,5
210,Mackenzie McDonald,27,315,9
211,Botic van de Zandschulp,26,315,10
212,Enzo Couacaud,27,314,14
213,JiSung Nam,28,312,16
214,Grigoriy Lomakin,24,311,42
215,Santiago Rodriguez Taverna,23,310,23
216,Theo Arribage,21,303,32
217,JC Aragone,27,302,25
218,Marc-Andrea Huesler,26,296,15
219,Daniel Evans,32,295,14
220,Kaichi Uchida,27,294,17
221,Andrew Paulson,20,294,25
222,Adrian Menendez-Maceiras,36,293,18
223,Jelle Sels,26,290,15
224,Altug Celikbilek,25,289,14
225,Malek Jaziri,38,282,15
226,Sergio Galdos,32,282,20
227,MinKyu Song,31,280,11
228,Andre Begemann,38,277,11
229,Oleg Prihodko,24,277,31
230,Roberto Carballes Baena,29,273,6
231,Emil Ruusuvuori,23,270,8
232,Dusan Lajovic,32,270,10
233,Oriol Roca Batalla,29,270,22
234,Murkel Dellien,24,269,27
235,Hunter Johnson,28,263,15
236,Patrik Niklas-Salminen,25,258,23
237,Benjamin Lock,29,253,39
238,Tomas Barrios Vera,24,252,10
239,Reilly Opelka,24,250,5
240,Mateus Alves,21,250,20
241,Arklon Huertas Del Pino Cordova,28,249,23
242,Maxime Cressy,25,248,9
243,Tristan Schoolkate,21,248,30
244,Alexandr Cozbinov,27,246,25
245,Michael Geerts,27,245,27
246,Alberto Barroso Campos,26,243,24
247,Kyrian Jacquet,21,241,9
248,Conner Huertas del Pino,26,239,24
249,Niklas Schell,23,237,25
