Rank,Player,Age,Points,Tournaments Played
1,Robert Farah,33,"8,380",20
2,Juan Sebastian Cabal,33,"8,380",21
3,Nicolas Mahut,38,"5,975",21
4,Horacio Zeballos,34,"5,780",23
5T,Lukasz Kubot,37,"5,140",25
5T,Marcelo Melo,36,"5,140",25
7,Joe Salisbury,27,"4,950",26
8,Filip Polasek,34,"4,930",25
9,Rajeev Ram,35,"4,860",24
10,Ivan Dodig,35,"4,800",26
11,Michael Venus,32,"4,700",22
12,Raven Klaasen,37,"4,680",24
13,Kevin Krawietz,28,"4,330",30
14,Andreas Mies,29,"4,295",30
15,Mate Pavic,26,"3,990",27
16,Marcel Granollers,33,"3,910",21
17,Wesley Koolhof,30,"3,880",29
18,Edouard Roger-Vasselin,36,"3,700",28
19,Pierre-Hugues Herbert,28,"3,540",13
20,Horia Tecau,35,"3,440",23
21,Jean-Julien Rojer,38,"3,440",26
22,Nikola Mektic,31,"3,440",27
23,Oliver Marach,39,"3,360",28
24,Fabrice Martin,33,"3,335",33
25,Bruno Soares,38,"3,230",23
26,Jamie Murray,34,"3,125",30
27T,Bob Bryan,41,"3,020",16
27T,Mike Bryan,41,"3,020",16
29,Neal Skupski,30,"3,015",31
30,Henri Kontinen,29,"2,890",22
31,John Peers,31,"2,850",24
32,Franko Skugor,32,"2,810",26
33,Robin Haase,32,"2,784",21
34,Jeremy Chardy,33,"2,395",18
35,Jurgen Melzer,38,"2,365",29
36,Joran Vliegen,26,"2,225",30
37,Rohan Bopanna,40,"2,200",31
38,Luke Saville,26,"2,177",30
39,Max Purcell,21,"2,019",27
40,Philipp Oswald,34,"2,015",27
41,Santiago Gonzalez,37,"1,973",29
42,Maximo Gonzalez,36,"1,965",20
43,Sander Gille,29,"1,913",32
44,Denis Shapovalov,20,"1,895",16
45,Diego Schwartzman,27,"1,815",18
46,Jan-Lennard Struff,29,"1,810",19
47,Austin Krajicek,29,"1,805",26
48,Marcelo Demoliner,31,"1,745",29
49,Marcus Daniell,30,"1,730",28
50,Aisam-Ul-Haq Qureshi,39,"1,710",30
51,Ken Skupski,36,"1,693",25
52,Luke Bambridge,25,"1,640",29
53,Dominic Inglot,34,"1,635",28
54,Jonny O'Mara,25,"1,613",26
55,Frederik Nielsen,36,"1,610",24
56,Divij Sharan,34,"1,605",32
57,Marcelo Arevalo,29,"1,565",28
58,Ben McLachlan,27,"1,560",31
59,Nikola Cacic,29,"1,556",31
60,Matwe Middelkoop,36,"1,550",33
61,Feliciano Lopez,38,"1,465",16
62,Tim Puetz,32,"1,405",24
63,Guido Pella,29,"1,395",20
64,Jonathan Erlich,42,"1,360",29
65,Joao Sousa,30,"1,305",18
66,Andres Molteni,32,"1,279",30
67,Mikhail Kukushkin,32,"1,260",9
68,Hugo Nys,29,"1,246",31
69,Gonzalo Escobar,31,"1,229",32
70,Igor Zelenay,37,"1,200",30
71,Simone Bolelli,34,"1,176",25
72,Ariel Behar,30,"1,176",38
73,Artem Sitak,34,"1,090",34
74,Jackson Withrow,26,"1,087",29
75,Andrei Vasilevski,28,"1,041",31
76,Karen Khachanov,23,"1,000",15
77,Sander Arends,28,994,33
78,Goncalo Oliveira,25,992,38
79,Guillermo Duran,31,983,23
80,Robert Lindstedt,42,973,26
81,Christopher Rungkat,30,964,27
82,Andrey Rublev,22,960,13
83,Stefanos Tsitsipas,21,960,14
84,Nicholas Monroe,37,954,40
85,Andy Murray,32,950,6
86,Benoit Paire,30,938,23
87,Andre Goransson,25,937,32
88,Miguel Angel Reyes-Varela,32,933,36
89,Romain Arneodo,27,921,35
90,Roman Jebavy,30,904,34
91,John-Patrick Smith,31,898,29
92,Andre Begemann,35,895,33
93,Fernando Romboli,31,885,42
94,Denys Molchanov,32,883,32
95,Cheng-Peng Hsieh,28,871,29
96,Dominic Thiem,26,870,7
97,Leonardo Mayer,32,869,14
98,Matt Reid,29,863,30
99,David Pel,28,860,30
100,Alexander Bublik,22,855,10
101,Ramkumar Ramanathan,25,838,21
102,Dusan Lajovic,29,835,14
103,JiSung Nam,26,830,27
104,Matthew Ebden,32,825,14
105,Pablo Carreno Busta,28,815,11
106,Tomislav Brkic,30,814,30
107,Nathaniel Lammons,26,799,40
108,Sam Weissborn,28,791,32
109,Ante Pavic,31,782,32
110,David Vega Hernandez,25,782,37
111,Pablo Cuevas,34,760,18
112,Purav Raja,34,758,33
113,MinKyu Song,29,753,27
114,Evan King,27,749,33
115,Leander Paes,46,748,21
116,Orlando Luz,22,736,29
117,Marc Polmans,22,735,13
118,Antonio Sancic,31,710,28
119,Andrea Vavassori,24,698,31
120,Hans Hach Verdugo,30,686,35
121,Treat Huey,34,682,25
122,Fabio Fognini,32,665,11
123,Andrey Golubev,32,661,24
124,Taylor Fritz,22,660,12
125,Nathan Pasha,27,641,29
126,Jack Sock,27,630,6
127,Mao-Xin Gong,32,624,24
128,Sem Verbeek,25,614,25
129,Roberto Carballes Baena,26,610,12
130,Luis David Martinez,30,608,37
131,Alex de Minaur,21,595,11
132,Aleksandr Nedovyesov,33,595,18
133,Luca Margaroli,28,592,36
134,Hunter Reese,27,586,36
135,Felipe Meligeni Alves,22,582,26
136,Florin Mergea,35,581,19
137,Radu Albot,30,580,19
138,Ze Zhang,29,579,20
139,Harri Heliovaara,30,574,25
140,Novak Djokovic,32,570,7
141,Rafael Matos,24,544,29
142,Reilly Opelka,22,540,8
143,N.Sriram Balaji,29,540,28
144,Roberto Maytin,31,534,21
145,Alex Lawson,26,533,32
146,Gerard Granollers,31,529,29
147,Teymuraz Gabashvili,34,526,28
148,Robert Galloway,27,520,24
149,Federico Delbonis,29,510,8
150,Jamie Cerretani,38,502,34
151,Jeevan Nedunchezhiyan,31,498,31
152,Daniel Evans,29,495,11
153,Max Schnur,27,491,23
154T,Ivan Sabanov,27,481,29
154T,Matej Sabanov,27,481,29
156,Sam Querrey,32,475,8
157,Quentin Halys,23,466,15
158,Nicolas Jarry,24,465,9
159,Dennis Novikov,26,464,24
160,Daniel Masur,25,463,21
161,Kyle Edmund,25,450,7
162,Alexander Zverev,22,450,11
163,Jaume Munar,22,450,11
164,Fabien Reboul,24,446,28
165,Federico Gaio,28,440,9
166,Ruben Bemelmans,32,438,18
167,Salvatore Caruso,27,435,8
168,Sadio Doumbia,29,433,31
169,Peter Polansky,31,431,24
170,Karol Drzewiecki,24,431,30
171,Adil Shamasdin,37,424,26
172,Scott Puodziunas,30,412,35
173,Tsung-Hua Yang,28,411,23
174,Szymon Walkow,24,409,30
175,Fabricio Neis,29,408,19
176,Benjamin Bonzi,23,406,22
177,Sergiy Stakhovsky,34,404,10
178,Pedro Martinez,22,403,19
179,Lloyd Glasspool,26,403,23
180,Saketh Myneni,32,401,12
181,Daniil Medvedev,24,400,6
182,Zhe Li,33,400,18
183,Sergio Martos Gornes,25,399,36
184,Guido Andreozzi,28,398,7
185,Toshihide Matsui,41,389,25
186,Andrea Pellegrino,22,383,23
187,Gregoire Barrere,26,380,6
188,Juan Ignacio Londero,26,375,16
189,Mischa Zverev,32,375,19
190,Julian Lenz,27,370,15
191,Tristan Lamasine,27,364,15
192,James Duckworth,28,360,2
193,Janko Tipsarevic,35,360,6
194,John Isner,34,360,6
195,Casper Ruud,21,355,7
196,Sekou Bangoura,28,350,24
197,Sergio Galdos,30,348,25
198,Manuel Guinard,24,347,24
199,Vishnu Vardhan,32,345,25
200,Martin Redlicki,24,342,26
201,Vasek Pospisil,29,340,5
202,Marius Copil,29,340,11
203,Steve Johnson,30,330,8
204,Matteo Berrettini,23,330,9
205,Julian Ocleppo,22,325,31
206,JC Aragone,24,322,20
207,Lucas Pouille,26,315,10
208,Cameron Norrie,24,315,10
209,Adrian Mannarino,31,315,12
210,Viktor Troicki,34,312,5
211,Tennys Sandgren,28,310,10
212,Thiago Monteiro,25,310,13
213,Ruben Gonzales,34,307,29
214,Facundo Bagnis,30,305,14
215,Zdenek Kolar,23,303,19
216,Facundo Mena,27,286,20
217,Ruan Roelofse,30,284,24
218,Andreas Siljestrom,38,283,18
219,Dan Added,20,283,26
220,Enzo Couacaud,25,281,11
221,Xin Gao,25,281,24
222,Maxime Cressy,22,277,22
223,Sanchai Ratiwatana,38,277,26
224,Alejandro Davidovich Fokina,20,275,4
225,Lucas Miedler,23,274,17
226,Scott Clayton,26,272,26
227,Nikoloz Basilashvili,28,270,8
228,Miomir Kecmanovic,20,270,9
229,Paolo Lorenzi,38,270,10
230,Hubert Hurkacz,23,270,13
231,Arjun Kadhe,26,270,21
232,Benjamin Lock,27,270,34
233,Fajing Sun,23,267,21
234,Oriol Roca Batalla,26,262,22
235,Nick Kyrgios,24,260,11
236,Darian King,27,255,9
237,Vladyslav Manafov,26,255,30
238,Antoine Hoang,24,253,6
239,Marco Bortolotti,29,252,29
240,Albano Olivetti,28,248,26
241,Boris Arias,26,247,33
242,Thai-Son Kwiatkowski,25,236,10
243,Pavel Kotov,21,236,15
244,Martin Cuevas,28,234,18
245,Tomislav Draganja,25,234,19
246,Alejandro Gomez,28,234,27
247,Federico Zeballos,31,233,34
248,Arthur Rinderknech,24,231,12
249,Brydan Klein,30,228,17
250,Jonathan Eysseric,29,227,20
251,Yates Johnson,25,226,36
252,Hunter Johnson,25,226,37
253,Stan Wawrinka,34,225,5
254,Jordan Thompson,25,225,12
255,Marek Gengel,24,225,36
256,Christopher Eubanks,23,224,9
257,Nicolas Barrientos,32,223,15
258,Emil Ruusuvuori,20,221,10
259,Andrew Harris,26,221,11
260,Carlos Gomez-Herrera,29,221,12
261,Cristian Garin,23,220,17
262,Diego Hidalgo,26,220,28
263,Skander Mansouri,24,216,23
264,Markus Eriksson,30,214,26
265,Denis Kudla,27,213,8
266,Kimmer Coppejans,26,213,13
267,Chris Guccione,34,210,4
268,Roberto Quiroz,28,209,20
269,Junior A. Ore,27,209,28
270,Adrian Menendez-Maceiras,34,208,10
271,Dustin Brown,35,207,11
272,Mitchell Krueger,26,206,12
273,Evan Hoyt,25,206,19
274,Alexander Merino,27,206,34
275,Elliot Benchetrit,21,205,8
276,Marc-Andrea Huesler,23,203,18
277,David Marrero,39,203,20
278,Corentin Denolly,22,203,20
279,Harry Bourchier,24,201,25
280,Hugo Dellien,26,200,15
281,Bradley Klahn,29,198,8
282,Illya Marchenko,32,198,9
283,Jan Zielinski,23,198,18
284,Jesper de Jong,19,198,25
285,Alejandro Tabilo,22,195,17
286,Brayden Schnur,24,192,14
287,John Paul Fruttero,38,192,20
288,Michael Vrbensky,20,191,21
289,Akira Santillan,22,190,17
290,Patrik Niklas-Salminen,23,185,14
291,Tomas Barrios Vera,22,184,11
292,Geoffrey Blancaneaux,21,184,18
293,Pedro Sakamoto,26,184,20
294,Konstantin Kravchuk,35,182,17
295,Mikhail Elgin,38,181,9
296,David Goffin,29,180,4
297,Malek Jaziri,36,180,8
298,Marc Lopez,37,180,10
299,Ricardas Berankis,29,180,12
300,Vijay Sundar Prashanth,33,180,25
301,Mark Vervoort,29,179,26
302,Manuel Pena Lopez,22,179,31
303,Timur Khabibulin,24,176,27
304,Sonchat Ratiwatana,38,175,20
305,Denis Yevseyev,26,175,27
306,Guillermo Garcia-Lopez,36,172,10
307,Pedro Sousa,31,171,15
308,Felix Auger-Aliassime,19,170,9
309,Liam Broady,26,169,16
310,Aziz Dougaz,22,169,18
311,Alexandru Jecan,31,169,33
312,Thomas Fabbiano,30,168,7
313,Jurij Rodionov,20,168,8
314,Donald Young,30,168,9
315,Soonwoo Kwon,22,165,7
316,Sebastian Korda,19,165,9
317,Yunseong Chung,21,165,12
318,Alex Bolt,27,163,8
319,Korey Lovett,23,163,24
320,Ryan Nijboer,20,159,20
321,Thiemo de Bakker,31,158,4
322,Brandon Walkin,25,157,28
323,Conner Huertas del Pino,24,155,31
324,Jonas Forejtek,19,154,10
325,Ryan Harrison,27,153,6
326,Roman Safiullin,22,153,14
327,Courtney John Lock,23,153,33
328,Denis Istomin,33,152,8
329,Mario Vilella Martinez,24,152,9
330,Botic van de Zandschulp,24,152,10
331,Tallon Griekspoor,23,150,7
332,Runhao Hua,24,150,15
333,Calum Puttergill,26,150,18
334,Kacper Zuk,21,150,22
335,Jakub Paul,20,149,21
336,Austin Rapp,23,148,29
337,Arklon Huertas Del Pino Cordova,25,147,30
338,Roberto Ortega-Olmedo,28,144,14
339,Yan Bai,30,143,7
340,Shintaro Imai,26,143,15
341,Yu Hsiou Hsu,20,143,24
342,Ivan Gakhov,23,141,14
343,David Pichler,24,141,29
344,Grigoriy Lomakin,21,141,34
345T,Mackenzie McDonald,24,135,8
345T,Gilles Simon,35,135,8
347,Marton Fucsovics,28,135,10
348,Jaume Pla Malfeito,24,134,26
349,Julian Bradley,27,134,34
350,Roberto Cid Subervi,26,133,13
351,Juan Pablo Varillas,24,133,15
352,Nicolas Alvarez,23,132,17
353,Tomas Martin Etcheverry,20,132,25
354,Alexandr Cozbinov,24,132,31
355,Nicolas Alberto Arreche,25,132,31
356,Laurynas Grigelis,28,131,10
357,Victor Vlad Cornea,26,131,18
358,Petr Nouza,21,131,26
359,Artem Dubrivnyy,21,130,18
360,Rameez Junaid,38,128,16
361,Mateusz Kowalczyk,32,127,9
362,Inigo Cervantes,30,127,11
363,Peter Heller,27,127,24
364,Alexander Igoshin,28,126,26
365,Andrej Martin,30,124,5
366,Stefano Travaglia,28,123,10
367,Bernardo Saraiva,26,123,18
368,Vladyslav Orlov,24,123,25
369,Simon Freund,23,123,26
370,Ivan Liutarevich,24,122,18
371,Matteo Martineau,21,122,18
372,Vit Kopriva,22,122,24
373,Luke Johnson,25,121,23
374,Camilo Ugo Carabelli,20,121,26
375,Andres Artunedo Martinavarro,26,120,12
376,Enrique Lopez Perez,28,120,17
377,Raul Brancaccio,22,120,21
378,Maximiliano Estevez,30,120,24
379,George Goldhoff,25,120,24
380,Dominik Koepfer,25,119,6
381,Bart Stevens,22,119,25
382,Elias Ymer,23,118,9
383,Martin Damm,16,116,6
384,Jannik Sinner,18,115,5
385,Eduard Esteve Lobato,25,115,17
386,Altug Celikbilek,23,115,18
387,Aslan Karatsev,26,114,11
388,Jose Hernandez-Fernandez,30,114,13
389,Juan Manuel Cerundolo,18,114,22
390,Toby Kodat,17,112,10
391,Thomas Fancutt,25,112,24
392,Matias Zukas,23,112,31
