Rank,Player,Age,Points,Tournaments Played
1T,Wesley Koolhof,34,"6,640",23
1T,Neal Skupski,33,"6,640",23
3,Rajeev Ram,39,"6,132",20
4,Joe Salisbury,31,"6,042",19
5,Austin Krajicek,32,"5,790",25
6T,Marcelo Arevalo,32,"5,380",23
6T,Jean-Julien Rojer,41,"5,380",23
8,Ivan Dodig,38,"5,190",23
9,Rohan Bopanna,43,"4,560",26
10T,Lloyd Glasspool,29,"4,415",27
10T,Harri Heliovaara,33,"4,415",27
12,Jan Zielinski,26,"4,230",26
13,Mate Pavic,29,"4,055",24
14,Hugo Nys,32,"3,835",31
15,Nikola Mektic,34,"3,805",23
16,Edouard Roger-Vasselin,39,"3,725",28
17,Michael Venus,35,"3,630",25
18,Matthew Ebden,35,"3,600",28
19,Horacio Zeballos,38,"3,472",22
20,Santiago Gonzalez,40,"3,455",28
21,Marcel Granollers,37,"3,292",22
22,Fabrice Martin,36,"3,245",32
23,Matwe Middelkoop,39,"2,960",32
24,Tim Puetz,35,"2,925",22
25,Andres Molteni,35,"2,815",28
26,Kevin Krawietz,31,"2,805",23
27,Jason Kubler,30,"2,725",14
28,Jamie Murray,37,"2,500",28
29,Andreas Mies,32,"2,475",26
30,Robin Haase,36,"2,470",28
31,Maximo Gonzalez,39,"2,455",25
32,Nathaniel Lammons,29,"2,405",36
33,Jackson Withrow,29,"2,370",32
34,Rinky Hijikata,22,"2,329",21
35,Alexander Erler,25,"2,311",35
36,Lucas Miedler,26,"2,275",34
37,John Peers,34,"2,230",29
38,Nicolas Mahut,41,"2,220",28
39,Rafael Matos,27,"2,145",29
40,Sander Gille,32,"2,102",29
41,Joran Vliegen,29,"2,092",27
42,David Vega Hernandez,28,"2,085",33
43,Marcelo Melo,39,"1,930",30
44,Andrea Vavassori,28,"1,909",27
45,Simone Bolelli,37,"1,865",25
46,Fabien Reboul,27,"1,820",40
47,Sadio Doumbia,32,"1,775",30
48,Julian Cash,26,"1,660",37
49,Juan Sebastian Cabal,37,"1,650",21
50,Henry Patten,27,"1,630",32
51,Romain Arneodo,30,"1,565",32
52,Fabio Fognini,36,"1,505",19
53,Max Purcell,25,"1,487",25
54,Nick Kyrgios,28,"1,445",7
55,Gonzalo Escobar,34,"1,435",27
56,Sam Weissborn,31,"1,435",31
57,Francisco Cabral,26,"1,427",29
58,Andrey Rublev,25,"1,380",14
59,Albano Olivetti,31,"1,380",36
60,Mackenzie McDonald,28,"1,375",14
61,Botic van de Zandschulp,27,"1,360",14
62,Robert Farah,36,"1,350",21
63,Andre Goransson,29,"1,330",31
64,Aleksandr Nedovyesov,36,"1,320",29
65,Nicolas Barrientos,36,"1,305",34
66,Maxime Cressy,26,"1,300",14
67,Karen Khachanov,27,"1,290",11
68,Nikola Cacic,32,"1,285",24
69,Daniel Evans,33,"1,275",14
70,Ariel Behar,33,"1,261",29
71,Marcelo Demoliner,34,"1,259",19
72,Philipp Oswald,37,"1,257",35
73,Ben McLachlan,31,"1,225",32
74,Yuki Bhambri,30,"1,195",27
75,Saketh Myneni,35,"1,195",30
76,Miguel Angel Reyes-Varela,35,"1,195",34
77,Guido Andreozzi,31,"1,137",30
78,Guillermo Duran,34,"1,087",31
79,Jeevan Nedunchezhiyan,34,"1,086",33
80,Robert Galloway,30,"1,082",36
81,Thanasi Kokkinakis,27,"1,080",7
82,Andrey Golubev,35,"1,080",26
83,Tomislav Brkic,33,"1,055",21
84,N.Sriram Balaji,33,"1,048",32
85,David Pel,31,"1,048",32
86,Luke Saville,29,"1,028",29
87,Adam Pavlasek,28,"1,023",32
88,Reese Stalder,26,"1,006",33
89,Victor Vlad Cornea,29,"1,001",38
90,Raven Klaasen,40,"1,000",12
91,William Blumberg,25,995,18
92,Denys Molchanov,36,970,34
93,Dustin Brown,38,969,30
94,Jack Sock,30,950,4
95,Luis David Martinez,34,921,39
96,Patrik Niklas-Salminen,26,900,35
97,John-Patrick Smith,34,896,31
98,Sander Arends,31,892,27
99,Dan Added,24,887,24
100,Hubert Hurkacz,26,880,11
101,Hendrik Jebens,27,860,37
102,Aisam-Ul-Haq Qureshi,43,857,29
103,Vladyslav Manafov,30,839,36
104,Evan King,31,827,37
105,Sergio Martos Gornes,28,824,37
106,Roman Jebavy,33,817,34
107,Denis Shapovalov,24,810,8
108,Lorenzo Sonego,28,810,8
109,Diego Hidalgo,30,802,30
110,Franko Skugor,35,799,27
111,Jeremy Chardy,36,797,7
112,Andrew Harris,29,787,29
113,Jonathan Eysseric,33,785,37
114,Cristian Rodriguez,32,771,26
115,Petros Tsitsipas,22,768,38
116,Marco Bortolotti,32,753,31
117,Bart Stevens,25,753,34
118,Hunter Reese,30,749,31
119,Jonny O'Mara,28,732,23
120,Ivan Sabanov,30,725,37
121,Matej Sabanov,30,725,38
122,Fabian Fallert,26,720,24
123,Arjun Kadhe,29,708,32
124,Constantin Frantzen,25,706,39
125,Sem Verbeek,29,700,29
126,Pedro Martinez,26,686,19
127,Miomir Kecmanovic,23,670,10
128,Ruben Gonzales,37,668,33
129,Oleg Prihodko,25,664,34
130,Karol Drzewiecki,27,663,37
131,Yun seong Chung,25,660,20
