Rank,Player,Age,Points,Tournaments Played
1,Rajeev Ram,38,"6,800",19
2,Joe Salisbury,30,"6,710",18
3,Neal Skupski,32,"6,540",24
4,Wesley Koolhof,33,"6,450",23
5,Jean-Julien Rojer,41,"5,270",25
6,Marcelo Arevalo,32,"5,210",22
7,Mate Pavic,29,"4,725",26
8,Nikola Mektic,33,"4,520",25
9,Michael Venus,35,"4,410",23
10,Tim Puetz,34,"4,305",19
11,Horacio Zeballos,37,"4,110",20
12,Marcel Granollers,36,"3,960",18
13,Ivan Dodig,37,"3,810",29
14,Nick Kyrgios,27,"3,740",10
15,Austin Krajicek,32,"3,650",28
16,Harri Heliovaara,33,"3,423",30
17,Thanasi Kokkinakis,26,"3,420",11
18,Lloyd Glasspool,28,"3,375",30
19,Rohan Bopanna,42,"3,330",27
20,John Isner,37,"3,320",8
21,Nicolas Mahut,40,"3,320",27
22T,Juan Sebastian Cabal,36,"2,975",21
22T,Robert Farah,35,"2,975",21
24,Simone Bolelli,37,"2,940",23
25,Matwe Middelkoop,39,"2,895",30
26,Santiago Gonzalez,39,"2,880",32
27,Fabio Fognini,35,"2,820",20
28,Andreas Mies,32,"2,730",29
29,Kevin Krawietz,30,"2,705",26
30,Rafael Matos,26,"2,703",33
31,Matthew Ebden,34,"2,675",22
32,David Vega Hernandez,28,"2,543",34
33,John Peers,34,"2,500",25
34,Jamie Murray,36,"2,485",29
35,Jan Zielinski,25,"2,459",26
36,Edouard Roger-Vasselin,38,"2,445",30
37,Max Purcell,24,"2,436",21
38,Hubert Hurkacz,25,"2,420",15
39,Pierre-Hugues Herbert,31,"2,275",9
40,Andres Molteni,34,"2,260",32
41,Marcelo Melo,39,"2,000",31
42,Gonzalo Escobar,33,"1,900",30
43,Ariel Behar,32,"1,880",31
44,Hugo Nys,31,"1,855",32
45,Jack Sock,30,"1,725",7
46,Maximo Gonzalez,39,"1,720",22
47,Nathaniel Lammons,29,"1,720",39
48,Robin Haase,35,"1,708",23
49,Francisco Cabral,25,"1,612",31
50,Alexander Erler,25,"1,576",35
51,Jackson Withrow,29,"1,576",37
52,Andrey Golubev,35,"1,575",28
53,Fabrice Martin,36,"1,515",33
54,Andrea Vavassori,27,"1,512",29
55,Lucas Miedler,26,"1,492",33
56,Filip Polasek,37,"1,485",15
57,Aleksandr Nedovyesov,35,"1,445",29
58,Aisam-Ul-Haq Qureshi,42,"1,380",28
59,Raven Klaasen,40,"1,375",22
60,Sander Gille,31,"1,355",31
61,Joran Vliegen,29,"1,345",28
62,Tomislav Brkic,32,"1,345",30
63,Nicolas Barrientos,35,"1,315",30
64,Bruno Soares,40,"1,290",16
65,Fabien Reboul,27,"1,284",42
66,Miguel Angel Reyes-Varela,35,"1,251",33
67,Nikola Cacic,31,"1,250",25
68,Lorenzo Sonego,27,"1,240",14
69,Albano Olivetti,30,"1,210",37
70,Sadio Doumbia,32,"1,199",36
71,Ramkumar Ramanathan,27,"1,175",29
72,Philipp Oswald,36,"1,170",30
73,Feliciano Lopez,41,"1,145",7
74,Andre Goransson,28,"1,140",32
75,Stefanos Tsitsipas,24,"1,130",11
76,Daniel Evans,32,"1,120",14
77,Pedro Martinez,25,"1,105",22
78,Luke Saville,28,"1,098",28
79,Diego Hidalgo,29,"1,088",31
80,Denis Shapovalov,23,"1,080",11
81,Ben McLachlan,30,"1,080",31
82,Cristian Rodriguez,32,"1,063",31
83,Saketh Myneni,35,"1,003",29
84,David Pel,31,994,29
85,Roman Jebavy,32,981,30
86,William Blumberg,24,970,16
87,Hunter Reese,29,968,31
88,Nuno Borges,25,966,13
89,Jonny O'Mara,27,965,27
90,Sam Weissborn,31,965,32
91,Treat Huey,37,913,24
92,John-Patrick Smith,33,907,30
93,Mackenzie McDonald,27,905,12
94,Adam Pavlasek,28,903,26
95,Henry Patten,26,899,29
96,Ivan Sabanov,30,899,34
97,Yuki Bhambri,30,896,27
98,Julian Cash,26,886,29
99,Matej Sabanov,30,886,36
100,Robert Galloway,30,877,32
101,Guillermo Duran,34,866,22
102,Hans Hach Verdugo,32,853,33
103,Denys Molchanov,35,819,29
104,Romain Arneodo,30,812,33
105,Jonathan Eysseric,32,810,33
106,Max Schnur,29,805,31
107,Sander Arends,31,785,22
108,Szymon Walkow,27,784,32
109,Fabian Fallert,25,769,32
110,Tommy Paul,25,765,15
111,Luis David Martinez,33,761,38
112,Felipe Meligeni Alves,24,755,19
113,Botic van de Zandschulp,27,745,13
114,Diego Schwartzman,30,735,10
115,Marco Bortolotti,31,732,35
116,N.Sriram Balaji,32,708,28
117,Alex Lawson,28,707,37
118,Zdenek Kolar,26,705,19
119,Dustin Brown,37,701,23
120,Andrey Rublev,25,700,11
121,Jeevan Nedunchezhiyan,34,659,32
122,Sergio Martos Gornes,28,656,38
123,Luciano Darderi,20,648,19
124,Fernando Romboli,33,644,33
125,Igor Zelenay,40,643,18
126,Victor Vlad Cornea,29,641,35
127,Bart Stevens,24,638,30
128,Marcelo Demoliner,33,631,8
129,Adrian Mannarino,34,615,7
130,Dan Added,23,605,26
131,Artem Sitak,36,576,35
132,Vladyslav Manafov,29,568,29
133,Reese Stalder,25,561,31
134,Benjamin Bonzi,26,556,11
135,Maxime Cressy,25,555,8
136,Sem Verbeek,28,554,25
137,Alexander Zverev,25,540,6
138,Taylor Fritz,25,540,6
139,Joao Sousa,33,540,10
140,Karol Drzewiecki,26,539,31
141,Hendrik Jebens,27,536,33
142,Ruben Gonzales,37,531,30
143,Divij Sharan,36,528,31
144,Arjun Kadhe,28,522,31
145,Federico Zeballos,34,516,36
146,Oleg Prihodko,25,515,30
147,Guido Andreozzi,31,498,14
148,Quentin Halys,26,497,16
149,Andrej Martin,33,497,17
150,Steve Johnson,32,495,8
151,Pablo Andujar,36,490,7
152,Patrik Niklas-Salminen,25,488,30
153,Theo Arribage,22,483,40
154,Jesper de Jong,22,477,19
155,Manuel Guinard,26,475,16
156,Jan-Lennard Struff,32,470,7
157,Nicolas Mejia,22,469,24
158,Purav Raja,36,467,22
159,Franko Skugor,35,466,21
160,Sanjar Fayziev,28,451,31
161,Boris Arias,28,451,37
162,Cameron Norrie,27,450,8
163,Jason Kubler,29,445,11
164,Petros Tsitsipas,22,441,36
165,Yu Hsiou Hsu,23,436,29
166,Lloyd Harris,25,435,7
167,Michael Geerts,27,435,25
168,Kaichi Uchida,28,430,17
169,Alexander Bublik,25,425,19
170,Daniel Masur,27,421,15
171,Hernan Casanova,28,417,22
172,Dane Sweeny,21,416,26
173,Viktor Durasovic,25,415,18
174,Andrew Harris,28,411,18
175,Marek Gengel,27,410,27
176,Aslan Karatsev,29,405,14
177,Orlando Luz,24,396,19
178,Luca Margaroli,30,393,36
179,MinKyu Song,32,392,13
180,Nicholas Monroe,40,390,22
181,Gijs Brouwer,26,389,21
182,Evan King,30,386,34
183,Miomir Kecmanovic,23,385,8
184,Christopher Rungkat,32,384,15
185,Benjamin Lock,29,384,36
186,Santiago Rodriguez Taverna,23,383,18
187,Andrew Paulson,20,383,27
188,Holger Rune,19,380,4
189,Jaume Munar,25,380,11
190,Ruben Bemelmans,34,379,13
191,Michail Pervolarakis,26,378,21
192,Maximilian Neuchrist,31,378,21
193,JiSung Nam,29,374,17
194,Neil Oberleitner,23,374,25
195,Roman Andres Burruchaga,20,370,18
196,Martin Cuevas,30,365,21
197,Antonio Sancic,33,361,11
198,Federico Delbonis,32,360,9
199,Alex de Minaur,23,360,10
200,Yunseong Chung,24,359,14
201,Markos Kalovelonis,28,355,24
202,Malek Jaziri,38,350,17
203,Francisco Cerundolo,24,349,14
204,Geoffrey Blancaneaux,24,348,21
205,Piotr Matuszewski,24,344,33
206,Constantin Frantzen,24,342,33
207,Arthur Rinderknech,27,340,8
208,Facundo Diaz Acosta,21,336,15
209,Marcos Giron,29,335,8
210,Grigoriy Lomakin,24,331,39
211,Adrian Menendez-Maceiras,37,330,17
212,Li Tu,26,330,19
213,Ken Skupski,39,328,14
214,Enzo Couacaud,27,328,17
215,Oriol Roca Batalla,29,324,20
216,Renzo Olivo,30,321,11
217,Tallon Griekspoor,26,315,11
218,Andrea Collarini,30,309,21
219,Jakub Paul,23,306,24
220,Luca Sanchez,23,306,31
221,Tomas Martin Etcheverry,23,304,19
222,Skander Mansouri,27,303,23
223,Murkel Dellien,25,300,26
224,Anirudh Chandrasekar,24,298,33
225,Leandro Riedi,20,297,14
226,Kaito Uesugi,27,296,27
227,Grigor Dimitrov,31,290,6
228,Soonwoo Kwon,24,290,6
229,Frances Tiafoe,24,290,10
230,Oscar Otte,29,290,10
231,Courtney John Lock,26,289,39
232,Goncalo Oliveira,27,288,20
233,Vitaliy Sachko,25,286,22
234,Ignacio Carou,23,286,26
235,Luke Johnson,28,283,21
236,Tristan Schoolkate,21,283,26
237,David Pichler,26,280,30
238,Jelle Sels,27,279,15
239,Charles Broom,24,278,26
240,Facundo Mena,30,273,16
241,Roberto Carballes Baena,29,270,8
242,Karen Khachanov,26,270,10
243,Arklon Huertas Del Pino Cordova,28,270,21
244,Brandon Walkin,28,270,32
245,Calum Puttergill,29,268,23
246,Christian Harrison,28,267,12
247,Inigo Cervantes,32,265,13
248,Alexander Merino,30,265,30
249,Akira Santillan,25,264,26
250,Alexander Donski,24,259,28
251,Tung-Lin Wu,24,258,11
252,Daniel Dutra da Silva,34,257,26
253,Felix Auger-Aliassime,22,255,6
254,Kai Wehnelt,26,253,28
255,Lukas Rosol,37,252,20
256,Altug Celikbilek,26,250,11
257,Franco Agamenone,29,246,13
258,Titouan Droguet,21,243,10
259,Ivan Liutarevich,26,243,24
260,Conner Huertas del Pino,26,241,19
261,Niklas Schell,23,237,27
262,Roberto Quiroz,30,236,16
263,Alberto Barroso Campos,26,236,20
264,Keegan Smith,24,233,13
265,Vijay Sundar Prashanth,36,233,28
266,Denis Kudla,30,230,13
267,Daniel Cukierman,27,227,23
268,Alexandru Jecan,34,227,31
269,Damien Wenger,22,224,22
270,Otto Virtanen,21,222,9
271,Evgeny Karlovskiy,28,222,14
272,Mili Poljicak,18,222,14
273,Mateus Alves,21,222,15
274,Filip Bergevi,28,222,26
275,Jason Taylor,28,222,28
276,Petr Nouza,24,221,19
277,Marc-Andrea Huesler,26,220,11
278,Pedro Cachin,27,219,12
279,Benoit Paire,33,218,10
280,Aleksandar Kovacevic,24,218,12
281,Kelsey Stevenson,32,216,31
282,Christopher Eubanks,26,212,5
283,Toshihide Matsui,44,212,20
284,Ben Shelton,20,207,8
285,Rinky Hijikata,21,207,15
286,Hugo Gaston,22,205,6
287,Vit Kopriva,25,205,12
288,JC Aragone,27,202,16
289,Francis Casey Alcantara,30,202,20
290,Giles Hussey,25,202,24
291,Horia Tecau,37,200,2
292,Gonzalo Villanueva,27,200,21
293,Arthur Bouquier,21,200,23
294,Julian Lenz,29,199,11
295,Ezekiel Clark,24,199,28
296,Matteo Arnaldi,21,198,12
297,Alibek Kachmazov,20,198,14
298,Ignacio Monzon,24,198,26
299,Thiago Agustin Tirante,21,197,14
300,Marc Polmans,25,195,6
301,Mark Whitehouse,29,195,30
302,Francisco Comesana,22,194,14
303,Yuta Shimizu,23,194,15
304,Aidan McHugh,22,193,13
305,Vishnu Vardhan,35,193,15
306,Camilo Ugo Carabelli,23,192,12
307,Francesco Forti,23,192,20
308,Tomas Lipovsek Puches,29,192,26
309,Jaroslav Pospisil,41,191,10
310,Alejandro Gomez,31,189,5
311,Matheus Pucinelli De Almeida,21,189,8
312,Zvonimir Babic,27,188,28
313,Lukasz Kubot,40,187,17
314,Marcelo Zormann,26,187,17
315,Evgeny Donskoy,32,186,11
316,Alfredo Perez,25,183,20
317,Tim Sandkaulen,24,183,23
318,Francesco Passaro,21,182,18
319,Roman Safiullin,25,181,4
320,Matias Franco Descotte,28,181,18
321,Marc Lopez,40,180,2
322,Marton Fucsovics,30,180,4
323,Nicolas Jarry,27,180,4
324,Sam Querrey,35,180,5
325,Pablo Carreno Busta,31,180,7
326,Daniel Altmaier,24,180,10
327,Albert Ramos-Vinolas,34,180,12
328,Frederik Nielsen,39,178,5
329,Luca Nardi,19,176,9
330,Kyrian Jacquet,21,176,9
331,Timo Stodder,26,176,19
332,Nicolas Alvarez Varona,21,175,11
333,Tomas Barrios Vera,24,174,7
334,Genaro Alberto Olivieri,24,174,16
335,Jerome Kym,19,173,9
336,Dmitry Popko,26,173,15
337,Billy Harris,27,173,20
338,Ray Ho,22,172,31
339,Johannes Ingildsen,25,171,22
340,David Poljak,26,170,23
341,Denis Yevseyev,29,169,20
342,Michael Vrbensky,22,168,20
343,Mick Veldheer,26,168,21
344,Dalibor Svrcina,20,166,9
345,Chun-Hsin Tseng,21,166,10
346,Jamie Cerretani,41,166,24
347,Yoshihito Nishioka,27,165,6
348,Federico Gaio,30,165,8
349,Milos Karol,19,165,22
