match_id,tournament,year,surface,stage_code,same_country,same_language,rank_mean,opp_rank_mean,rank_gap,single_top100,exp_mean,exp_mean_sq,age_mean,win,pre_olympic,olympic_period,won_tb,tb_set,tb_type,ling_prox,ling_prox_binary,ling_prox_psw_tree,ling_prox_psw_cognet
35,Australian Open,2018,Hard,3,0,0,79.5,60.0,5.0,0,16.0,256.0,37.5,0,0,0,0,2,7pt,0.36250001192092896,1,0.32067871000000003,0.46761107
35,Australian Open,2018,Hard,3,1,1,60.0,79.5,36.0,1,12.5,156.25,27.0,1,0,0,1,2,7pt,1.0,1,1.0,1.0
36,Australian Open,2018,Hard,3,1,1,8.5,58.5,5.0,0,13.0,169.0,31.5,0,0,0,0,1,7pt,1.0,1,1.0,1.0
36,Australian Open,2018,Hard,3,0,0,58.5,8.5,1.0,0,11.0,121.0,28.5,1,0,0,1,1,7pt,0.25,0,0.14313637999999995,0.16881076
36,Australian Open,2018,Hard,3,1,1,8.5,58.5,5.0,0,13.0,169.0,31.5,0,0,0,0,3,7pt,1.0,1,1.0,1.0
36,Australian Open,2018,Hard,3,0,0,58.5,8.5,1.0,0,11.0,121.0,28.5,1,0,0,1,3,7pt,0.25,0,0.14313637999999995,0.16881076
38,Australian Open,2018,Hard,3,0,0,181.0,22.5,100.0,0,12.5,156.25,30.0,0,0,0,0,2,7pt,0.75,0,0.57849321,0.63389355
38,Australian Open,2018,Hard,3,0,0,22.5,181.0,7.0,0,15.0,225.0,38.0,1,0,0,1,2,7pt,0.0,0,0.15970169999999995,0.12863554
39,Australian Open,2018,Hard,3,0,0,54.5,16.5,3.0,0,13.5,182.25,30.5,0,0,0,1,1,7pt,0.5,0,0.50285801,0.49603325
39,Australian Open,2018,Hard,3,0,0,16.5,54.5,1.0,0,13.5,182.25,31.5,1,0,0,0,1,7pt,0.25,0,0.35156208,0.21645801
40,Australian Open,2018,Hard,3,0,0,9.5,64.5,1.0,0,15.5,240.25,34.0,0,0,0,0,1,7pt,0.25,0,0.25448393999999996,0.44476289
40,Australian Open,2018,Hard,3,1,1,64.5,9.5,7.0,0,20.0,400.0,39.0,1,0,0,1,1,7pt,1.0,1,1.0,1.0
40,Australian Open,2018,Hard,3,0,0,9.5,64.5,1.0,0,15.5,240.25,34.0,0,0,0,0,3,7pt,0.25,0,0.25448393999999996,0.44476289
40,Australian Open,2018,Hard,3,1,1,64.5,9.5,7.0,0,20.0,400.0,39.0,1,0,0,1,3,7pt,1.0,1,1.0,1.0
41,Australian Open,2018,Hard,3,0,0,41.5,25.0,21.0,0,15.0,225.0,34.0,0,0,0,0,1,7pt,0.25,0,0.35156208,0.21645801
41,Australian Open,2018,Hard,3,1,1,25.0,41.5,4.0,0,10.5,110.25,31.5,1,0,0,1,1,7pt,1.0,1,1.0,1.0
43,Australian Open,2018,Hard,3,0,0,7.5,129.0,1.0,0,15.0,225.0,35.0,0,0,0,0,1,7pt,0.25,0,0.26572764000000004,0.31916791
43,Australian Open,2018,Hard,3,1,1,129.0,7.5,86.0,0,16.0,256.0,34.0,1,0,0,1,1,7pt,1.0,1,1.0,1.0
44,Australian Open,2018,Hard,3,0,0,41.5,12.0,5.0,0,18.5,342.25,36.5,0,0,0,1,1,7pt,0.25,0,0.22969455000000005,0.13042375
44,Australian Open,2018,Hard,3,1,1,12.0,41.5,0.0,0,20.0,400.0,40.0,1,0,0,0,1,7pt,1.0,1,1.0,1.0
46,Australian Open,2018,Hard,3,0,0,53.5,39.5,25.0,0,20.0,400.0,36.0,0,0,0,0,1,7pt,0.25,0,0.32245827000000005,0.35521922
46,Australian Open,2018,Hard,3,0,0,39.5,53.5,15.0,0,17.5,306.25,37.5,1,0,0,1,1,7pt,0.25,0,0.20640218,0.11449017
47,Australian Open,2018,Hard,3,0,0,3.5,304.0,1.0,0,8.5,72.25,29.0,0,0,0,0,2,7pt,0.0,0,0.32045548999999995,0.40157098
47,Australian Open,2018,Hard,3,0,0,304.0,3.5,184.0,0,7.0,49.0,25.5,1,0,0,1,2,7pt,0.0,0,0.03610062999999997,0.068012953
48,Australian Open,2018,Hard,4,0,1,35.0,1.0,26.0,0,14.0,196.0,33.0,0,0,0,0,2,7pt,0.0,1,0.23402292000000002,0.18278809
48,Australian Open,2018,Hard,4,0,0,1.0,35.0,0.0,0,18.0,324.0,35.5,1,0,0,1,2,7pt,0.25,0,0.14773548000000003,0.23890541
49,Australian Open,2018,Hard,4,1,1,60.0,115.0,36.0,1,12.5,156.25,27.0,0,0,0,0,2,7pt,1.0,1,1.0,1.0
49,Australian Open,2018,Hard,4,0,0,115.0,60.0,84.0,0,6.5,42.25,27.0,1,0,0,1,2,7pt,0.0,0,0.04517572999999997,0.20310442
51,Australian Open,2018,Hard,4,0,0,22.5,16.5,7.0,0,15.0,225.0,38.0,0,0,0,1,2,7pt,0.0,0,0.15970169999999995,0.12863554
