Rank,Player,Age,Points,Tournaments Played
1,Joe Salisbury,30,"7,350",20
2,Rajeev Ram,38,"7,190",20
3,Neal Skupski,32,"5,680",25
4,Wesley Koolhof,33,"5,670",24
5,Jean-Julien Rojer,41,"4,630",27
6,Michael Venus,34,"4,500",23
7,Tim Puetz,34,"4,395",18
8,Marcelo Arevalo,31,"4,375",23
9,Horacio Zeballos,37,"4,290",18
10,John Peers,34,"4,220",23
11,Marcel Granollers,36,"4,140",16
12,Mate Pavic,29,"4,135",25
13,Nikola Mektic,33,"3,930",24
14,Jamie Murray,36,"3,800",27
15,Filip Polasek,37,"3,535",19
16,John Isner,37,"3,410",9
17,Ivan Dodig,37,"3,405",28
18,Nick Kyrgios,27,"3,380",8
19,Rohan Bopanna,42,"3,380",27
20,Nicolas Mahut,40,"3,145",25
21,Harri Heliovaara,33,"3,141",31
22,Thanasi Kokkinakis,26,"3,060",9
23,Kevin Krawietz,30,"3,020",23
24,Santiago Gonzalez,39,"2,985",33
25,Matwe Middelkoop,38,"2,855",29
26,Lloyd Glasspool,28,"2,853",29
27,Andreas Mies,32,"2,820",28
28,Pierre-Hugues Herbert,31,"2,760",11
29,Simone Bolelli,36,"2,760",20
30T,Juan Sebastian Cabal,36,"2,755",21
30T,Robert Farah,35,"2,755",21
32,Austin Krajicek,32,"2,745",26
33,Bruno Soares,40,"2,650",19
34,Matthew Ebden,34,"2,615",19
35,Fabio Fognini,35,"2,595",16
36,Hubert Hurkacz,25,"2,490",17
37,Max Purcell,24,"2,361",17
38,Rafael Matos,26,"2,296",33
39,Andres Molteni,34,"2,205",31
40,David Vega Hernandez,28,"2,110",35
41,Jack Sock,29,"1,905",9
42,Jan Zielinski,25,"1,841",27
43,Gonzalo Escobar,33,"1,810",29
44,Ariel Behar,32,"1,790",33
45,Marcelo Melo,38,"1,725",29
46,Andrey Golubev,35,"1,680",27
47,Francisco Cabral,25,"1,641",32
48,Edouard Roger-Vasselin,38,"1,635",24
49,Maximo Gonzalez,39,"1,515",19
50,Fabrice Martin,35,"1,510",29
51,Tomislav Brkic,32,"1,505",28
52,Aisam-Ul-Haq Qureshi,42,"1,430",29
53,Andrey Rublev,24,"1,390",13
54,Hugo Nys,31,"1,385",33
55,Robin Haase,35,"1,372",20
56,Denis Shapovalov,23,"1,350",13
57,Nikola Cacic,31,"1,320",25
58,Aleksandr Nedovyesov,35,"1,308",29
59,Steve Johnson,32,"1,305",9
60,Ramkumar Ramanathan,27,"1,267",28
61,Jonny O'Mara,27,"1,242",25
62,Jackson Withrow,29,"1,226",36
63,Andrea Vavassori,27,"1,223",28
64,Stefanos Tsitsipas,24,"1,220",11
65,Nathaniel Lammons,29,"1,191",39
66,Nicolas Barrientos,35,"1,181",33
67,Sander Gille,31,"1,171",28
68,Ben McLachlan,30,"1,170",30
69,Fabien Reboul,26,"1,151",41
70,Feliciano Lopez,40,"1,145",7
71,Philipp Oswald,36,"1,140",28
72,Miguel Angel Reyes-Varela,35,"1,132",33
73,Raven Klaasen,39,"1,125",22
74,Pedro Martinez,25,"1,122",20
75,Sadio Doumbia,31,"1,122",38
76,William Blumberg,24,"1,115",16
77,Andre Goransson,28,"1,115",34
78,Hunter Reese,29,"1,084",30
79,Diego Hidalgo,29,"1,077",32
80,Cristian Rodriguez,32,"1,072",29
81,Lorenzo Sonego,27,"1,060",12
82,Nuno Borges,25,"1,052",14
83,Alexander Erler,24,"1,014",33
84,Roman Jebavy,32,"1,000",31
85,Sam Querrey,34,990,6
86,Hans Hach Verdugo,32,975,32
87,Albano Olivetti,30,973,36
88,Max Schnur,29,967,31
89,Felipe Meligeni Alves,24,954,23
90,Joran Vliegen,29,950,25
91,Robert Galloway,29,950,32
92,Denys Molchanov,35,934,30
93,Luke Saville,28,932,28
94,Aslan Karatsev,28,915,16
95,Lucas Miedler,26,907,32
96,Sam Weissborn,30,905,29
97,Daniel Evans,32,895,15
98,John-Patrick Smith,33,893,29
99,Ivan Sabanov,30,867,34
100,Tommy Paul,25,855,17
101,Matej Sabanov,30,854,36
102,Szymon Walkow,26,850,32
103,Treat Huey,37,801,24
104,Romain Arneodo,30,791,33
105,Jonathan Eysseric,32,781,29
106,Alex Lawson,28,779,37
107,Saketh Myneni,34,768,25
108,Luciano Darderi,20,758,22
109,Sergio Martos Gornes,27,757,36
110,Evan King,30,756,35
111,Artem Sitak,36,751,34
112,David Pel,31,748,26
113,Fernando Romboli,33,748,37
114,Marco Bortolotti,31,746,34
115,N.Sriram Balaji,32,741,32
116,Horia Tecau,37,740,5
117,Adam Pavlasek,27,736,22
118,Andrej Martin,32,708,23
119,Diego Schwartzman,30,690,9
120,Luis David Martinez,33,687,36
121,Bart Stevens,24,672,28
122,Ruben Gonzales,36,672,33
123,Jeevan Nedunchezhiyan,33,648,34
124,Benjamin Bonzi,26,646,11
125,Alexander Zverev,25,630,8
126,Taylor Fritz,24,630,8
127,Henry Patten,26,627,26
128,Ken Skupski,39,623,19
129,Yuki Bhambri,30,623,21
130,Victor Vlad Cornea,28,618,36
131,Zdenek Kolar,25,617,16
132,Julian Cash,25,617,29
133,Fabian Fallert,25,617,32
134,Lloyd Harris,25,615,11
135,Antonio Sancic,33,611,16
136,Guillermo Duran,34,591,20
137,Sem Verbeek,28,587,22
138,Arthur Rinderknech,27,580,10
139,Igor Zelenay,39,576,19
140,Dustin Brown,37,562,21
141,Jan-Lennard Struff,32,560,9
142,Arjun Kadhe,28,531,33
143,Sander Arends,31,515,17
144,Dominik Koepfer,28,495,6
145,Reese Stalder,25,494,32
146,Pablo Andujar,36,490,7
147,Purav Raja,36,489,24
148,Vladyslav Manafov,29,483,29
149,Manuel Guinard,26,468,16
150,Karol Drzewiecki,26,468,29
151,Ruben Bemelmans,34,459,14
152,Cameron Norrie,27,450,9
153,Federico Delbonis,31,450,12
154,Jesper de Jong,22,449,20
155,Oleg Prihodko,24,448,31
156,Daniel Masur,27,444,13
157,Orlando Luz,24,439,20
158,Luca Margaroli,30,430,36
159,Yu Hsiou Hsu,23,429,28
160,Federico Zeballos,34,425,38
161,Marek Gengel,26,423,29
162,Franko Skugor,34,421,15
163,Nicolas Mejia,22,421,22
164,Jonathan Erlich,45,420,19
165,Gijs Brouwer,26,414,25
166,Hendrik Jebens,27,407,33
167,Neil Oberleitner,23,406,29
168,Mackenzie McDonald,27,405,11
169,Goncalo Oliveira,27,404,24
170,Alejandro Gomez,31,400,10
171,Sanjar Fayziev,28,398,31
172,Martin Cuevas,30,395,24
173,Marcelo Demoliner,33,390,9
174,Dan Added,23,390,23
175,Miomir Kecmanovic,22,385,6
176,Benoit Paire,33,380,10
177,Dane Sweeny,21,380,28
178,Divij Sharan,36,377,29
179,Geoffrey Blancaneaux,24,375,24
180,Markos Kalovelonis,28,373,28
181,Quentin Halys,25,371,17
182,Michail Pervolarakis,26,361,20
183,Ricardas Berankis,32,360,5
184,Karen Khachanov,26,360,11
185,Alex de Minaur,23,360,12
186,Renzo Olivo,30,351,14
187,Andrew Harris,28,347,13
188,Petros Tsitsipas,22,347,34
189,Felix Auger-Aliassime,22,345,8
190,Jamie Cerretani,40,345,32
191,Patrik Niklas-Salminen,25,342,26
192,Nicolas Jarry,26,340,5
193,Andrew Paulson,20,338,24
194,Hernan Casanova,28,337,22
195,Andrea Collarini,30,337,23
196,Marcos Giron,29,335,7
197,Jaume Munar,25,335,10
198,Alexander Bublik,25,335,20
199,Roberto Quiroz,30,331,19
200,Oliver Marach,42,330,5
201,Boris Arias,28,329,37
202,Enzo Couacaud,27,327,15
203,Theo Arribage,21,327,35
204,Grigoriy Lomakin,24,326,40
205,Vitaliy Sachko,25,325,21
206,Murkel Dellien,24,323,30
207,Frederik Nielsen,39,322,10
208,Tomas Martin Etcheverry,23,319,19
209,Li Tu,26,318,21
210,Nicholas Monroe,40,317,26
211,Marcus Daniell,32,315,7
212,Emil Ruusuvuori,23,315,8
213,Botic van de Zandschulp,26,315,11
214,Adrian Menendez-Maceiras,36,313,17
215,Christian Harrison,28,311,15
216,Jason Kubler,29,310,12
217,Kaichi Uchida,28,310,16
218,Benjamin Lock,29,301,33
219,Piotr Matuszewski,24,293,30
220,Oriol Roca Batalla,29,292,21
221,Holger Rune,19,290,3
222,Grigor Dimitrov,31,290,7
223,Frances Tiafoe,24,290,9
224,MinKyu Song,32,287,12
225,Santiago Rodriguez Taverna,23,276,17
226,Roberto Carballes Baena,29,273,7
227,Marc-Andrea Huesler,26,271,13
228,Facundo Mena,29,271,17
229,Dominic Inglot,36,270,7
230,JiSung Nam,29,269,15
231,Altug Celikbilek,25,265,12
232,Sergio Galdos,32,264,20
233,Tristan Schoolkate,21,263,29
234,Luca Sanchez,23,258,24
235,Maximilian Neuchrist,31,256,22
236,Kaito Uesugi,27,254,25
237,Tomas Barrios Vera,24,252,10
238,Alexander Merino,29,251,32
239,Kyrian Jacquet,21,250,10
240,Lukas Rosol,37,250,16
241,Alexandr Cozbinov,27,249,23
242,Luke Johnson,28,248,20
243,Arklon Huertas Del Pino Cordova,28,245,21
244,Matt Reid,32,243,15
245,Jelle Sels,27,242,14
