countrycode_1,countrycode_2,lingdist_tree_weighted,lingprox_CogNet_weighted,lingprox_GLED_weighted,common_official
CHE,TZA,.96883661,.029523514,.038420156,0
CHE,UGA,.81493729,.17883505,.22980699,0
CHE,UKR,.82425755,.12730116,.24787986,0
CHE,URY,.66607761,.35113832,.47599551,0
CHE,USA,.58742452,.40541878,.52588463,0
CHE,UZB,.94761336,.038585152,.076789431,0
CHE,VAT,.69697666,.29939529,.50766993,1
CHE,VCT,.98349756,.011941773,.023355898,0
CHE,VEN,.698753,.32992333,.45301157,0
CHE,VGB,.90314364,.098198056,.12983568,0
CHE,VIR,.7571463,.24298672,.30941874,0
CHE,VNM,.99684584,.021543059,.0038574811,0
CHE,VUT,.81245738,.19593704,.23217848,1
CHE,WLF,.80636901,.21683595,.23742041,1
CHE,WSM,.80920613,.18669677,.23815338,0
CHE,YEM,.96711022,.030012626,.032673404,0
CHE,ZAF,.88988149,.10236579,.14964387,0
CHE,ZMB,.89114028,.10402931,.13595168,0
CHE,ZWE,.88812226,.10875646,.13980573,0
CHL,ABW,.61277527,.47606435,.43664959,0
CHL,AFG,.88767803,.017063344,.12168505,0
CHL,AGO,.65688097,.34893444,.38003406,0
CHL,AIA,.99007356,.016310744,.01394489,0
CHL,ALA,.87272602,.17645827,.31822652,0
CHL,ALB,.84415191,.012278687,.20960683,0
CHL,AND,.36089155,.6929636,.73743004,1
CHL,ARE,.90318143,.15344691,.15152442,0
CHL,ARG,.21930918,.81991625,.81099206,1
CHL,ARM,.84833759,.092501089,.26684216,0
CHL,ASM,.89439428,.21492383,.18081298,0
CHL,ATG,.96411622,.068770014,.058795005,0
CHL,AUS,.79389113,.36704877,.32631683,0
CHL,AUT,.77871275,.22807378,.23111272,0
CHL,AZE,.95519233,.052195065,.09367577,0
CHL,BDI,.9577862,.047713347,.052557621,0
CHL,BEL,.68996292,.37364385,.42837495,0
CHL,BEN,.8719241,.14175652,.15551023,0
CHL,BES,.88065666,.19176228,.15440795,0
CHL,BFA,.89554995,.1182889,.13022214,0
CHL,BGD,.8700614,.096048519,.21850152,0
CHL,BGR,.83619142,.18927787,.25756872,0
CHL,BHR,.96685106,.02371403,.035753846,0
CHL,BHS,.97850853,.043102533,.033808041,0
CHL,BIH,.43441981,.029103292,.17257336,0
CHL,BLM,.55135995,.51001245,.55973047,0
CHL,BLR,.85686362,.16881076,.29089579,0
CHL,BLZ,.58484805,.49381015,.47028869,0
CHL,BMU,.77368665,.42765367,.3718164,0
CHL,BOL,.27969179,.73706782,.7322889,1
CHL,BRA,.31491494,.70420337,.76048076,0
CHL,BRB,.969154,.058591176,.050092597,0
CHL,BRN,.94026995,.12064873,.1020793,0
CHL,BTN,.98829454,.0032566497,.0059029269,0
CHL,BWA,.93944943,.15093584,.10360521,0
CHL,CAF,.92219579,.086314984,.094998762,0
CHL,CAN,.7247104,.39807799,.3902005,0
CHL,CCK,.94590586,.10416634,.08905714,0
CHL,CHE,.6854043,.33960298,.46280193,0
CHL,CHL,.18572775,.85266614,.84211099,1
CHL,CHN,.99732578,.012039289,.0042689419,0
CHL,CIV,.85944301,.14211948,.15540271,0
CHL,CMR,.8402977,.21571763,.21719186,0
CHL,COD,.86098886,.15850496,.17336278,0
CHL,COG,.76779467,.26231453,.28861344,0
CHL,COK,.90027899,.19969635,.17073064,0
CHL,COL,.13982601,.88857991,.88066614,1
CHL,COM,.88745844,.1274512,.14032078,0
CHL,CPV,.69002879,.31359211,.34155691,0
CHL,CRI,.16677514,.86762208,.85786748,1
CHL,CUB,.10981052,.91164064,.90577042,1
CHL,CUW,.92470884,.14343292,.091327257,0
CHL,CXR,.90604955,.18921566,.15945053,0
CHL,CYM,.77109921,.42611477,.36658147,0
CHL,CYP,.83271462,.22849399,.29160544,0
CHL,CZE,.85269517,.18465447,.26102349,0
CHL,DEU,.79746699,.29791296,.32588351,0
CHL,DJI,.82663739,.20004632,.21623826,0
CHL,DMA,.86891037,.23959528,.2082478,0
CHL,DNK,.81973433,.29441825,.33839265,0
CHL,DOM,.16396639,.86228651,.85282868,1
CHL,DZA,.91611803,.1089756,.10636345,0
CHL,ECU,.18238452,.83837986,.83306295,1
CHL,EGY,.96231186,.080385707,.061143316,0
CHL,ERI,.99988389,.0089635095,.000098882861,0
CHL,ESH,.88527834,.1354271,.13894157,0
CHL,ESP,.29309601,.73696089,.73000675,1
CHL,EST,.89465839,.1663103,.20009986,0
CHL,ETH,.99957907,.0065468149,.00066440133,0
CHL,FIN,.87941658,.23532426,.21800682,0
CHL,FJI,.91958952,.086276315,.072190978,0
CHL,FLK,.79197425,.41666538,.35622856,0
CHL,FRA,.58014435,.50289494,.53559667,0
CHL,FRO,.84645098,.10839243,.3071557,0
CHL,FSM,.92634493,.14808109,.12610152,0
CHL,GAB,.69750011,.34227854,.37678298,0
CHL,GBR,.72060531,.43090299,.40646631,0
CHL,GEO,.94505793,.083160169,.1112557,0
CHL,GGY,.79088753,.41520387,.35497904,0
CHL,GHA,.93087798,.13420276,.11544785,0
CHL,GIB,.56044829,.56968647,.53209507,0
CHL,GIN,.88092238,.13485053,.14846727,0
CHL,GLP,.75790727,.27410832,.29823965,0
CHL,GMB,.9033882,.11354385,.12246112,0
CHL,GNB,.91492474,.088520892,.09542989,0
CHL,GNQ,.49329326,.527385,.53457779,1
CHL,GRC,.81932825,.21949683,.3096562,0
CHL,GRD,.98783875,.020834558,.017812531,0
CHL,GRL,.98337197,.038610425,.035179928,0
CHL,GTM,.28151634,.73577219,.73101169,1
CHL,GUF,.7390734,.29211414,.31632188,0
CHL,GUM,.81354576,.2947197,.24629568,0
CHL,GUY,.96877617,.057026803,.048753433,0
CHL,HKG,.9435901,.1158525,.094845921,0
CHL,HND,.11893696,.90296894,.89692575,1
CHL,HRV,.60624593,.26488775,.33559793,0
CHL,HTI,.83676124,.24479914,.20220445,0
CHL,HUN,.92641103,.15453036,.11925285,0
CHL,IDN,.99982649,.045154028,.00015509131,0
CHL,IMN,.79354721,.40933025,.3522926,0
CHL,IND,.84854013,.10770659,.19927081,0
CHL,IOT,.79197425,.41666538,.35622856,0
CHL,IRL,.77205449,.376858,.37190795,0
CHL,IRN,.8932932,.00055760914,.13003957,0
CHL,IRQ,.95307797,.07867676,.070775636,0
CHL,ISL,.81938314,.29402548,.34012133,0
CHL,ISR,.90537041,.16545305,.15117048,0
CHL,ITA,.57536328,.37962887,.62432176,0
CHL,JAM,.98432279,.025119742,.025906224,0
CHL,JEY,.76343042,.42423403,.37054208,0
CHL,JOR,.96418995,.080477759,.06107102,0
CHL,JPN,.9804033,.1425216,.031489901,0
CHL,KAZ,.91839546,.11747231,.16623345,0
CHL,KEN,.91462517,.16878793,.14448528,0
CHL,KGZ,.95457214,.069339126,.095001422,0
CHL,KHM,.95446354,.09381672,.072567977,0
CHL,KIR,.94957101,.10364911,.086323187,0
CHL,KNA,.99130529,.0097293584,.015728826,0
CHL,KOR,.96121055,.098278284,.066344969,0
CHL,KWT,.98187125,.025936579,.040169645,0
CHL,LAO,.98587936,.023909712,.017600294,0
CHL,LBN,.88113666,.16529913,.16182645,0
CHL,LBR,.89881313,.0025282328,.0021538583,0
CHL,LBY,.99401224,.015471289,.0026887255,0
CHL,LCA,.93420303,.1123032,.10636275,0
CHL,LIE,.85928333,.011616726,.31242317,0
CHL,LKA,.89059865,.10022628,.065550193,0
CHL,LSO,.96053606,.097775623,.067673191,0
CHL,LTU,.85129589,.15743472,.26358584,0
CHL,LUX,.6994651,.36864898,.37524509,0
CHL,LVA,.85000217,.14476667,.241456,0
CHL,MAC,.94996154,.092998557,.077865794,0
CHL,MAF,.90642226,.14856437,.13163336,0
CHL,MAR,.89651507,.13374057,.1304092,0
CHL,MCO,.49442902,.46065685,.66349405,0
CHL,MDA,.7284382,.3059642,.54952776,0
CHL,MDG,.84626955,.17213772,.19030808,0
CHL,MDV,.88049549,.0068543074,0,0
CHL,MEX,.18180257,.84818912,.83982289,1
CHL,MHL,.88648653,.22733898,.19436374,0
CHL,MKD,.84239602,.089697279,.22697216,0
CHL,MLI,.93193191,.078006096,.084866099,0
CHL,MLT,.79920763,.301606,.33335447,0
CHL,MMR,.99678046,.010747262,.0025494823,0
CHL,MNE,.59459704,.11147009,.15865996,0
CHL,MNG,.96303159,.04456741,.077503227,0
CHL,MNP,.87654561,.26932639,.21138412,0
CHL,MOZ,.75232047,.25145379,.27452117,0
CHL,MRT,.95464599,.060350928,.056331754,0
CHL,MSR,.99304879,.010297813,.0088041285,0
CHL,MTQ,.76071084,.26757196,.29459044,0
CHL,MUS,.75827837,.27558824,.3000758,0
CHL,MWI,.98861235,.019534858,.017453359,0
CHL,MYS,.94910562,.097940512,.08452566,0
CHL,MYT,.79360533,.23372664,.25732756,0
CHL,NAM,.9528963,.085298084,.079575449,0
CHL,NCL,.61929125,.43129408,.47463745,0
CHL,NER,.92104858,.061488699,.063374192,0
CHL,NFK,.89129686,.21637373,.1841726,0
CHL,NGA,.96114653,.062146433,.051819179,0
CHL,NIC,.12397192,.8973307,.89144605,1
CHL,NIU,.92859596,.14297342,.12223529,0
CHL,NLD,.80337721,.29897648,.32802561,0
CHL,NOR,.82715511,.19661064,.36913443,0
CHL,NPL,.89423108,.0026113151,.0038448751,0
CHL,NRU,.89395463,.21327291,.18157281,0
CHL,NZL,.80748761,.35838404,.31597367,0
CHL,OMN,.97927785,.019119887,.027093582,0
CHL,PAK,.76212871,.1247801,.091479942,0
CHL,PAN,.25903472,.7721529,.76592714,1
CHL,PCN,.99761409,.0019770255,0,0
CHL,PER,.22321934,.79548556,.79035389,1
CHL,PHL,.93649179,.16950257,.10711448,0
CHL,PLW,.87837875,.24892946,.2082599,0
CHL,PNG,.98132145,.05597014,.030261949,0
CHL,POL,.84507394,.21920624,.30289093,0
CHL,PRI,.33000785,.75246036,.7290436,1
CHL,PRK,.99996454,.025321716,.000063200656,0
CHL,PRT,.40832037,.64487255,.68616241,0
CHL,PRY,.5350309,.47604287,.47559562,1
CHL,PSE,.99967283,.01527572,.00024253149,0
CHL,PYF,.59091425,.46329778,.51005358,0
CHL,QAT,.96692181,.033802107,.02724175,0
CHL,REU,.70430654,.32483095,.36017644,0
CHL,ROU,.65856993,.41422161,.62171185,0
CHL,RUS,.87174916,.15563896,.26237309,0
CHL,RWA,.94780248,.087055452,.077204548,0
CHL,SAU,.97789788,.01972121,.015788572,0
CHL,SDN,.99849606,.0094851013,.000060474849,0
CHL,SEN,.93736947,.072010189,.07808093,0
CHL,SGP,.92040247,.15406664,.13050899,0
CHL,SHN,.79197425,.41666538,.35622856,0
CHL,SLB,.95639038,.085415848,.072987027,0
CHL,SLE,.98273379,.032757688,.026779521,0
CHL,SLV,.10797051,.91387123,.90793204,1
CHL,SMR,.52725756,.3915346,.80270213,0
CHL,SOM,.99894261,.0085839881,.00077331701,0
CHL,SPM,.48215491,.58645058,.64566833,0
CHL,SRB,.57229114,.036882579,.078865923,0
CHL,SSD,.99970067,.0049660737,.000030389441,0
CHL,STP,.47125274,.55153596,.59862167,0
CHL,SUR,.91765833,.11897264,.11240228,0
CHL,SVK,.85875487,.16278282,.25804842,0
CHL,SVN,.58050394,.22162586,.2807197,0
CHL,SWE,.80734485,.30246562,.35447836,0
CHL,SWZ,.98517781,.029428765,.026035991,0
CHL,SXM,.82907617,.22287457,.218854,0
CHL,SYC,.79973143,.2599802,.26567113,0
CHL,SYR,.99388927,.014180765,.011852971,0
CHL,TCA,.96411347,.060704179,.040895548,0
CHL,TCD,.91812289,.092899457,.10016409,0
CHL,TGO,.8260988,.1971934,.21669637,0
